rank,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
9,ESEA,9.09090909090909,Euroseas Ltd.,27.969999313354492,28.719999313354492,227.27,8.13,233.49,2.74,1.0
2,WFRD,9.09090909090909,Weatherford International plc,35.0,35.66999816894531,227.27,6.49,231.5,1.86,2.0
5,DAC,9.09090909090909,Danaos Corporation,93.62000274658203,95.12999725341797,227.27,2.43,231.17,1.72,3.0
1,VRTV,9.09090909090909,Veritiv Corporation,117.2300033569336,118.63999938964844,227.27,1.94,230.16,1.27,4.0
11,SBLK,9.09090909090909,Star Bulk Carriers Corp.,29.889999389648438,30.1299991607666,227.27,7.6,228.99,0.76,5.0
4,SBOW,9.09090909090909,"SilverBow Resources, Inc.",30.329999923706055,30.530000686645508,227.27,7.49,228.67,0.62,6.0
3,OBE,9.09090909090909,Obsidian Energy Ltd.,8.15999984741211,8.039999961853027,227.27,27.85,223.91,-1.48,7.0
10,GDEN,9.09090909090909,"Golden Entertainment, Inc.",54.779998779296875,53.5099983215332,227.27,4.15,222.07,-2.29,8.0
6,OAS,9.09090909090909,Oasis Petroleum Inc.,144.80999755859375,141.3000030517578,227.27,1.57,221.84,-2.39,9.0
7,VIST,9.09090909090909,"Vista Oil & Gas, S.A.B. de C.V.",8.65999984741211,8.420000076293945,227.27,26.24,220.94,-2.79,10.0
8,BCRX,9.09090909090909,"BioCryst Pharmaceuticals, Inc.",16.940000534057617,16.1200008392334,227.27,13.42,216.33,-4.81,11.0
