,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
9,VRTV,3.59501100513573,Veritiv Corporation,117.2300033569336,118.63999938964844,89.88,0.77,91.35,1.64,1.0
5,EQT,6.148202494497433,EQT Corporation,26.649999618530273,27.0,153.71,5.77,155.79,1.35,2.0
11,GSL,2.1423330887747616,"Global Ship Lease, Inc.",29.030000686645508,29.43000030517578,53.56,1.84,54.15,1.1,3.0
14,WFRD,0.4548789435069699,Weatherford International plc,35.0,35.66999816894531,11.37,0.32,11.41,0.35,4.0
8,TECK,4.108584005869405,Teck Resources Limited,41.790000915527344,41.86000061035156,102.71,2.46,102.98,0.26,5.0
13,OAS,1.3646368305209096,Oasis Petroleum Inc.,144.80999755859375,141.3000030517578,34.12,0.24,33.91,-0.62,6.0
3,PXD,14.600146735143063,Pioneer Natural Resources Company,234.55999755859375,232.49000549316406,365.0,1.56,362.68,-0.64,7.0
2,CMRE,18.121790168745413,Costamare Inc.,16.100000381469727,15.960000038146973,453.04,28.14,449.11,-0.87,8.0
1,TRGP,23.43360234776229,Targa Resources Corp.,69.4800033569336,68.51000213623047,585.84,8.43,577.54,-1.42,9.0
10,GDEN,2.905355832721937,"Golden Entertainment, Inc.",54.779998779296875,53.5099983215332,72.63,1.33,71.17,-2.01,10.0
4,VIST,10.931768158473954,"Vista Oil & Gas, S.A.B. de C.V.",8.65999984741211,8.420000076293945,273.29,31.56,265.74,-2.76,11.0
7,HPK,5.150403521643433,"HighPeak Energy, Inc.",22.15999984741211,21.290000915527344,128.76,5.81,123.69,-3.94,12.0
12,BXC,1.7021276595744677,BlueLinx Holdings Inc.,91.7300033569336,88.31999969482422,42.55,0.46,40.63,-4.51,13.0
6,BCRX,5.341159207630227,"BioCryst Pharmaceuticals, Inc.",16.940000534057617,16.1200008392334,133.53,7.88,127.03,-4.87,14.0
