no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
23,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2736.22,5.55,7.32,0.56,0.72,1.05,,3.71,,0.00%,17.07,218.90%,-26.13%,115.40%,10.00%,12.00%,40.70%,25.50%,29.02,27.18,0.30%,-41.05%,,1.15%,15.51%,8.23,8.20%,20.50%,7.80%,0.8,0.8,0.64,0.9,57.00%,16.90%,13.20%,2.28%,9.78%,12.61%,42.19%,71.17%,0.73%,1.12,2.55,2.18%,2.64%,6.05%,8.23%,25.92%,-0.20%,21.41%,-0.20%,88.79%,68.69,0.02%,0.71%,2.0,512.4,0.92,94.81,0.73%,472929,11/3/2021 8:30:00 AM,105.57,7/21/2004,94.81,0.00%,69.0,89,1.32,94.81,89.79,87.89,75.47,50.22,96.3,27.0,11.35,61.666666666666664,True
79,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2508.08,33.94,20.98,1.7,4.33,5.03,9.25,25.46,,0.00%,2.26,190.80%,36.73%,24.70%,20.00%,9.50%,155.80%,60.10%,33.54,32.69,2.40%,-6.81%,89.40%,0.85%,2.96%,2.44,11.80%,15.70%,9.80%,4.2,2.7,0.09,0.09,43.20%,16.40%,13.40%,5.40%,19.97%,68.65%,98.42%,168.43%,2.96%,1.49,3.21,3.49%,4.93%,14.37%,23.02%,61.12%,1.82%,58.40%,1.82%,169.84%,70.96,1.86%,1.09%,1.8,395.69,1.65,76.77,2.96%,652878,11/3/2021 4:30:00 PM,79.33,7/11/2000,76.77,0.00%,75.0,98,2.07,76.77,67.86,62.95,47.84,28.45,77.17,19.0,3.33,64.0,True
327,AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA,7796.89,,112.82,,25.66,15.03,17.03,324.87,,,-0.83,-27.30%,21.88%,-22.50%,,-6.80%,103.90%,64.30%,36.79,34.47,5.30%,-4.34%,84.10%,3.68%,4.59%,2.15,-4.90%,-5.90%,-13.40%,6.8,6.2,0.0,0.0,62.10%,-10.30%,-9.80%,3.23%,7.89%,45.24%,108.11%,136.65%,6.54%,1.14,13.18,3.92%,6.85%,8.08%,12.04%,64.02%,-5.02%,26.88%,-5.02%,161.73%,60.56,5.44%,1.04%,2.3,735.71,1.43,216.16,6.54%,1054689,11/30/2021 4:30:00 PM,218.0,10/10/2012,216.1,-0.03%,59.0,97,1.83,216.16,201.13,193.71,132.34,82.59,227.59,15.0,0.85,57.0,True
334,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,178626.35,46.51,45.04,1.32,12.03,25.55,49.51,60.27,,0.00%,3.23,604.70%,26.65%,34.80%,35.32%,19.60%,133.20%,54.00%,1214.0,1202.52,0.50%,-18.38%,70.50%,0.99%,5.79%,1.28,38.90%,59.90%,40.90%,2.2,1.7,0.0,0.04,46.80%,19.90%,26.70%,-2.67%,-0.29%,49.73%,59.03%,62.77%,4.41%,1.9,7.12,3.84%,4.93%,5.17%,5.94%,43.52%,-8.65%,29.23%,-8.65%,107.23%,55.53,3.60%,0.78%,2.3,54367.75,1.09,150.24,4.41%,59334700,10/26/2021 4:30:00 PM,142.5,10/15/1979,150.55,0.21%,59.0,87,1.26,150.24,143.16,142.44,105.04,72.5,164.46,16.0,-5.15,54.0,True
345,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA,5664.31,26.3,19.69,1.36,1.74,5.53,41.35,25.97,,0.00%,4.59,-38.10%,-13.35%,-2.40%,19.35%,10.30%,181.60%,59.10%,47.74,46.86,0.40%,-15.97%,96.60%,-0.13%,2.03%,1.86,8.50%,23.70%,7.60%,1.4,1.4,0.81,0.81,33.30%,10.40%,6.80%,-2.77%,7.39%,2.52%,23.49%,75.28%,-1.25%,0.26,4.37,3.20%,3.75%,3.92%,8.73%,20.63%,-6.44%,28.29%,-6.44%,79.23%,58.62,-1.28%,0.03%,1.7,510.74,0.99,120.8,-1.25%,504764,11/4/2021 4:30:00 PM,133.33,11/13/2001,120.8,0.00%,78.0,90,1.35,120.8,116.76,111.55,100.36,67.4,129.12,16.0,10.37,61.333333333333336,True
367,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1017.45,23.59,17.5,,4.13,1.58,4.75,24.88,0.17%,0.00%,1.47,-103.50%,19.91%,-16.20%,,4.60%,900.60%,-0.80%,37.13,18.07,1.10%,-9.44%,40.80%,6.45%,1.56%,2.79,0.70%,7.00%,21.20%,,,0.15,0.15,,,22.70%,-0.55%,16.72%,36.44%,62.56%,129.48%,0.03%,1.38,1.45,3.72%,4.54%,5.16%,13.57%,41.71%,-5.88%,34.95%,-5.88%,153.57%,61.92,-0.29%,0.32%,2.2,100.61,0.87,34.56,0.03%,87623,,34.0,8/29/2018,34.56,0.00%,63.0,96,1.77,34.56,33.12,30.59,24.46,13.63,36.72,14.0,-1.62,57.666666666666664,True
382,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,42993.46,57.77,41.31,3.16,15.51,11.32,12.7,47.02,,0.00%,2.46,-24.90%,24.12%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.42,0.10%,-89.31%,65.90%,0.97%,1.74%,1.76,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,-3.13%,15.38%,65.53%,51.75%,100.93%,-1.05%,1.18,4.23,2.13%,3.26%,5.40%,12.32%,46.41%,-4.26%,47.48%,-4.26%,117.09%,61.75,-1.28%,0.24%,2.3,2228.57,1.03,142.24,-1.05%,2296603,11/1/2021 4:30:00 PM,129.49,6/6/2014,142.24,0.00%,59.0,94,1.55,142.24,136.01,127.51,97.51,65.52,148.57,16.0,-8.96,56.333333333333336,True
438,APTS,"Preferred Apartment Communities, Inc.",Real Estate,REIT - Residential,USA,1016.02,,,,2.18,0.93,18.61,9.32,3.73%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.54,0.20%,-0.25%,53.00%,5.18%,1.97%,2.23,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,12.60%,40.18%,51.86%,88.45%,161.79%,3.93%,1.19,0.69,4.09%,4.20%,22.73%,32.96%,61.19%,2.34%,54.36%,2.34%,166.62%,79.99,2.29%,1.61%,2.3,454.17,4.36,18.77,3.93%,1979102,11/8/2021 4:30:00 PM,14.21,4/1/2011,18.77,0.00%,59.0,98,2.02,18.77,15.57,14.25,11.69,7.04,19.27,15.0,-24.29,57.333333333333336,True
448,AQUA,Evoqua Water Technologies Corp.,Industrials,Pollution & Treatment Controls,USA,5765.22,114.77,51.02,7.11,3.94,9.99,39.43,55.76,,0.00%,0.42,-56.00%,20.41%,32.00%,16.14%,5.20%,-16.00%,11.00%,121.25,119.12,0.30%,-31.21%,,-0.80%,1.94%,3.05,2.80%,9.60%,3.70%,1.7,1.3,1.26,1.3,31.50%,4.20%,3.50%,1.31%,3.66%,26.61%,44.20%,81.15%,2.37%,1.84,1.58,2.96%,3.16%,4.02%,6.44%,32.54%,-3.08%,21.38%,-3.08%,117.55%,59.49,1.98%,0.39%,2.2,757.72,1.82,47.86,2.37%,1377749,11/16/2021 8:30:00 AM,49.2,11/2/2017,48.0,0.29%,63.0,91,1.4,47.86,46.12,45.11,36.22,22.0,49.38,14.0,2.8,56.0,True
456,ARCB,ArcBest Corporation,Industrials,Trucking,USA,2786.33,17.59,12.6,0.75,0.77,3.01,5.95,12.76,0.28%,4.80%,6.41,78.10%,14.81%,10.00%,23.30%,2.00%,115.20%,27.90%,25.63,25.16,0.80%,-6.51%,92.50%,-0.60%,5.55%,3.17,9.40%,19.40%,6.90%,1.5,1.5,0.18,0.25,77.00%,6.20%,4.80%,-7.48%,8.57%,33.27%,94.46%,161.54%,-5.99%,1.53,6.14,5.91%,5.13%,2.95%,6.11%,42.08%,-9.86%,33.62%,-9.86%,165.36%,53.06,-7.39%,1.51%,1.9,439.78,2.15,112.67,-5.99%,946502,11/2/2021 8:30:00 AM,128.56,5/13/1992,112.31,-0.32%,72.0,98,2.02,112.67,109.89,106.67,79.51,42.46,125.0,25.0,14.1,65.0,True
