"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",41006.77,33.86,24.86,2.26,6.36,7.78,35.41,39.43,0.63%,19.40%,3.94,71.00%,10.04%,22.90%,15.00%,8.50%,0.20%,8.10%,301.00,300.03,0.20%,-17.45%,91.10%,0.22%,1.63%,2.42,11.50%,23.70%,14.70%,2.20,1.60,0.53,0.00,54.00%,21.60%,18.70%,0.08%,-5.07%,-13.36%,-25.44%,11.06%,-16.53%,1.05,4.37,3.43%,3.23%,-0.45%,-5.34%,-12.31%,-18.05%,8.29%,-25.79%,13.37%,47.36,0.31%,2.73%,,2022.48,0.89,133.26,3.05%,1805537,2/22/2022 4:30:00 PM,164.94,11/18/1999,132.47,-0.59%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",13479.43,36.56,10.69,,1.11,3.11,7.43,25.43,0.50%,4.40%,2.17,347.00%,-11.67%,24.80%,,5.50%,,39.60%,185.40,184.47,0.70%,-32.07%,84.30%,8.19%,5.35%,1.12,2.90%,11.00%,5.00%,1.60,1.00,0.37,0.37,24.70%,7.80%,3.50%,-3.68%,24.74%,69.41%,73.89%,148.66%,33.47%,2.27,5.48,8.58%,7.10%,2.84%,18.82%,59.79%,-13.86%,49.31%,-13.86%,193.32%,56.26,1.95%,-5.31%,2.00,8769.62,1.36,79.52,-3.46%,11913306,1/19/2022 4:30:00 PM,73.27,10/18/2016,79.31,-0.26%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.40%,9.34%,11.56%,11.30%,15.33%,8.86%,,0.30,1.53%,1.16%,4.60%,7.62%,9.73%,-3.79%,11.74%,-3.79%,18.28%,65.11,0.00%,-2.94%,,661.36,1.81,19.79,-2.94%,1198310,,,8/15/2018,19.67,-0.61%
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1217.48,43.53,,,,1.30,1352.76,,,,0.22,,,,,,,,125.00,100.00,,,74.60%,8.13%,0.07%,0.25,,,,1.70,1.70,0.00,0.00,,,,0.00%,-0.10%,-0.41%,0.41%,,0.10%,,0.02,0.14%,0.23%,-0.01%,0.02%,-0.15%,-0.41%,0.52%,-2.50%,2.63%,49.41,-0.10%,0.10%,,277.83,0.40,9.75,0.00%,111334,,,3/25/2021,,
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",41.79,,,,1.39,1.35,3.51,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.10%,-2.45%,0.08%,0.03,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,4.00%,-18.24%,-15.03%,-52.03%,-71.11%,21.44%,1.44,0.12,7.03%,8.63%,-6.91%,-17.94%,-43.25%,-55.78%,30.00%,-78.55%,30.00%,42.25,3.17%,1.61%,1.50,682.54,0.02,1.30,4.84%,16089,,32.50,1/29/2008,,
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",203.79,,,,,1.37,509.47,,,,-0.09,,,,,,,,20.71,15.16,26.79%,0.00%,61.60%,,1.24%,5.02,,,,0.40,0.40,0.00,0.00,,,,0.41%,0.24%,0.51%,,,0.51%,,0.03,0.12%,0.25%,0.11%,0.20%,0.37%,-1.11%,1.03%,-1.11%,5.35%,52.89,-0.40%,0.51%,,37.29,0.28,9.84,0.10%,10505,,,11/10/2021,,
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,,,,,,-0.09,,,,,,,,,10.72,,,7.66%,,0.00%,0.08,,,,,,,,,,,-1.60%,-1.70%,-0.40%,,,-1.89%,,0.09,0.12%,0.31%,-1.45%,-1.35%,-1.00%,-6.55%,0.20%,-6.55%,0.82%,41.88,0.00%,0.00%,,5.27,0.00,9.84,0.00%,0,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,67.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.52%,36.03%,-34.34%,,,-39.27%,,0.04,2.32%,14.95%,9.56%,-17.02%,-22.33%,-49.26%,61.58%,-49.26%,61.58%,51.36,-0.03%,-2.86%,,33.69,0.02,0.34,-2.89%,800,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",400.96,,,,4009.65,1.21,2.48,,,,-11.63,82.30%,52.60%,30.90%,,,-705.00%,,20.89,13.65,1.45%,0.00%,59.60%,9.59%,4.60%,3.78,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,9.63%,-1.95%,-9.25%,-30.86%,-19.79%,-20.79%,1.55,1.16,5.81%,6.33%,6.10%,-4.56%,-26.16%,-26.42%,21.85%,-61.59%,33.67%,54.64,4.48%,2.52%,1.60,166.27,0.50,19.13,7.11%,82366,,48.75,8/8/2017,19.13,0.00%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.07%,-11.16%,-8.75%,-18.41%,-11.06%,-12.51%,,1.60,2.61%,1.87%,-5.90%,-8.89%,-12.87%,-13.47%,6.42%,-18.96%,6.42%,40.75,1.35%,2.67%,,3.98,0.32,56.21,4.06%,1269,,,7/21/2010,56.21,0.00%
