,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14576.17,76.5,18.0,78,1.21,230.0,240.65,4.63,-2.74%,2.32%,10.61%,18.97%,56.60%,47.24%,231.54,,200.73,142.59,243.05,57.5,True
1,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,2596.5,81.5,27.0,81,1.27,89.66,105.57,17.74,5.08%,14.61%,17.65%,21.05%,60.21%,64.50%,85.34,,70.78,50.22,91.77,63.166666666666664,True
5,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2087.42,86.5,18.0,93,1.79,62.56,68.5,9.49,2.98%,25.98%,48.05%,59.04%,142.58%,116.17%,58.62,,43.83,26.0,65.16,65.83333333333333,True
7,ADNT,Adient plc,Consumer Cyclical,Auto Parts,4147.0,71.5,14.0,81,1.27,46.1,50.9,10.41,5.34%,5.55%,24.28%,-3.55%,67.65%,34.57%,44.59,,42.73,27.28,53.17,55.5,True
8,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,12606.2,74.0,20.0,77,1.19,140.45,157.33,12.02,4.60%,11.43%,14.42%,34.88%,103.06%,101.49%,140.54,,126.68,79.21,146.63,57.0,True
9,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,3706.48,89.0,37.0,81,1.27,53.17,61.0,14.73,-0.34%,-2.79%,7.48%,13.89%,68.83%,69.26%,54.75,,47.46,29.73,56.95,69.0,True
12,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,53776.39,86.5,15.0,75,1.16,683.29,761.83,11.49,-0.30%,12.44%,0.33%,15.56%,53.80%,27.97%,666.31,,622.4,439.86,737.45,58.833333333333336,True
13,ALPN,"Alpine Immune Sciences, Inc.",Healthcare,Biotechnology,388.33,91.5,31.0,83,1.32,13.57,20.67,52.32,2.23%,24.44%,46.85%,11.03%,66.96%,5.48%,12.78,,10.83,7.7,16.37,68.5,True
14,ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,6059.04,76.5,20.0,76,1.18,79.77,86.29,8.17,0.50%,4.08%,5.95%,20.26%,58.38%,34.07%,78.3,,68.54,49.99,82.96,57.5,True
17,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,7083.73,79.0,14.0,90,1.55,174.22,213.83,22.74,-3.56%,7.39%,9.36%,11.77%,103.49%,73.35%,178.71,,159.64,84.18,191.62,61.0,True
18,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,33654.9,84.0,26.0,80,1.26,299.55,333.78,11.43,-0.96%,2.17%,15.89%,19.23%,65.37%,56.01%,304.31,,257.56,179.77,312.15,63.333333333333336,True
20,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,764.13,81.5,55.0,92,1.66,67.04,91.0,35.74,-3.91%,2.92%,52.61%,30.75%,143.65%,181.01%,72.56,,48.9,25.08,80.93,76.16666666666667,True
21,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,1174.79,76.5,15.0,94,1.82,31.33,32.33,3.19,5.43%,18.41%,30.37%,35.10%,145.08%,108.16%,28.66,,22.35,12.6,31.92,61.833333333333336,True
22,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,10097.66,74.0,16.0,88,1.45,128.96,499.11,287.03,1.69%,34.33%,43.35%,59.64%,94.90%,82.47%,121.68,,88.88,65.52,134.14,59.333333333333336,True
23,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,2803.53,76.5,16.0,91,1.64,45.19,52.0,15.07,5.63%,26.52%,25.85%,28.77%,140.09%,135.02%,43.88,,38.13,18.69,48.97,61.166666666666664,True
24,APA,APA Corporation,Energy,Oil & Gas E&P,10005.47,71.5,15.0,93,1.72,26.0,32.73,25.88,-6.22%,0.47%,71.62%,32.02%,149.82%,94.36%,28.32,,21.01,11.16,31.14,59.833333333333336,True
25,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,47264.12,76.5,13.0,75,1.17,176.06,183.92,4.46,4.29%,4.31%,13.97%,25.49%,53.20%,35.28%,173.34,,153.91,113.92,180.81,54.833333333333336,True
26,ARCB,ArcBest Corporation,Industrials,Trucking,2759.82,84.0,24.0,96,2.2,110.04,127.56,15.92,-1.58%,27.42%,68.64%,38.96%,183.69%,154.84%,104.74,,72.89,37.34,116.79,68.0,True
29,ASIX,AdvanSix Inc.,Basic Materials,Chemicals,1355.51,94.0,19.0,96,2.11,48.06,58.0,20.68,-1.35%,9.40%,43.61%,60.70%,187.14%,144.62%,48.32,,33.91,16.89,50.95,69.66666666666667,True
31,ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,Specialty Retail,4608.91,86.5,20.0,97,2.4,50.14,54.3,8.3,6.56%,19.86%,34.14%,47.25%,226.81%,139.94%,46.01,,36.31,15.46,50.97,67.83333333333333,True
32,ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure,1257.11,89.0,15.0,91,1.58,16.48,19.67,19.36,0.98%,19.90%,24.81%,74.81%,118.75%,66.84%,15.89,,11.66,7.48,19.05,65.0,True
34,ATLC,Atlanticus Holdings Corporation,Financial,Credit Services,1205.13,81.5,19.0,99,3.46,67.65,72.5,7.17,-15.96%,1.05%,41.20%,76.52%,377.44%,181.36%,77.54,,44.58,14.13,91.98,66.5,True
35,AVID,"Avid Technology, Inc.",Communication Services,Electronic Gaming & Multimedia,1582.28,71.5,38.0,96,2.18,35.36,42.5,20.19,0.38%,14.08%,30.23%,12.15%,182.87%,117.45%,30.92,,28.23,11.58,40.48,68.5,True
36,AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,5559.86,91.5,15.0,82,1.28,60.02,62.64,4.37,2.98%,16.33%,25.36%,17.88%,71.75%,51.07%,57.56,,49.58,34.99,61.46,62.833333333333336,True
37,AX,"Axos Financial, Inc.",Financial,Banks - Regional,3591.58,91.5,20.0,85,1.37,59.53,61.38,3.11,0.99%,12.19%,23.41%,31.40%,76.74%,60.11%,57.32,,48.73,32.48,61.28,65.5,True
40,BAC,Bank of America Corporation,Financial,Banks - Diversified,383773.7,71.5,14.0,82,1.28,45.4,47.58,4.8,-2.46%,-1.64%,14.74%,9.25%,71.68%,52.82%,47.23,,40.83,26.63,48.69,55.833333333333336,True
41,BANC,"Banc of California, Inc.",Financial,Banks - Regional,1371.07,81.5,13.0,79,1.23,21.36,24.0,12.36,-1.33%,12.52%,21.08%,20.54%,59.94%,46.02%,21.2,,18.49,12.94,21.89,57.833333333333336,True
43,BDC,Belden Inc.,Industrials,Electrical Equipment & Parts,3043.73,79.0,15.0,85,1.37,67.08,74.67,11.31,0.77%,12.30%,24.74%,31.58%,83.79%,62.08%,64.53,,52.15,36.33,68.87,59.666666666666664,True
47,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,13524.68,94.0,14.0,89,1.49,70.24,82.07,16.84,5.53%,22.13%,44.96%,61.94%,97.48%,74.44%,64.28,,49.26,34.42,72.08,65.66666666666667,True
48,BLFS,"BioLife Solutions, Inc.",Healthcare,Medical Instruments & Supplies,2214.16,79.0,26.0,77,1.19,50.8,63.43,24.86,6.56%,22.50%,14.59%,59.85%,57.62%,30.36%,51.63,,42.11,28.15,60.67,60.666666666666664,True
50,BPOP,"Popular, Inc.",Financial,Banks - Regional,6640.12,89.0,52.0,82,1.28,83.01,102.0,22.88,-0.90%,1.77%,10.96%,2.09%,66.87%,48.17%,83.17,,75.31,48.42,85.59,74.33333333333333,True
52,BSIG,BrightSphere Investment Group Inc.,Financial,Asset Management,2420.35,76.5,18.0,80,1.26,30.38,31.75,4.51,-0.56%,13.83%,15.82%,35.14%,66.81%,57.99%,29.75,,24.1,17.45,30.88,58.166666666666664,True
53,BVH,Bluegreen Vacations Holding Corporation,Consumer Cyclical,Resorts & Casinos,706.64,81.5,18.0,96,2.13,32.88,50.0,52.07,2.99%,37.64%,60.68%,59.66%,187.11%,141.91%,28.7,,20.86,11.3,33.04,65.16666666666667,True
54,BWB,"Bridgewater Bancshares, Inc.",Financial,Banks - Regional,541.4,81.5,19.0,78,1.21,18.51,21.0,13.45,-5.11%,6.53%,21.11%,6.11%,64.18%,51.56%,18.58,,16.66,11.3,20.05,59.5,True
57,BXC,BlueLinx Holdings Inc.,Industrials,Building Products & Equipment,725.41,74.0,15.0,96,2.13,73.68,96.33,30.74,3.64%,49.90%,41.21%,37.12%,191.22%,157.18%,62.99,,49.38,24.01,76.94,61.666666666666664,True
60,CARE,"Carter Bankshares, Inc.",Financial,Banks - Regional,413.14,81.5,41.0,87,1.43,15.45,18.75,21.36,-4.94%,4.47%,30.04%,3.35%,86.79%,43.75%,15.61,,13.46,8.09,16.4,69.83333333333333,True
61,CARG,"CarGurus, Inc.",Communication Services,Internet Content & Information,4512.86,79.0,19.0,80,1.26,37.9,42.75,12.8,-1.86%,12.80%,41.98%,34.75%,71.69%,20.01%,36.2,,28.81,22.05,39.76,59.333333333333336,True
62,CASH,"Meta Financial Group, Inc.",Financial,Banks - Regional,1981.03,89.0,17.0,85,1.37,62.84,68.5,9.01,-0.79%,2.59%,28.62%,24.56%,85.06%,72.46%,61.56,,50.73,32.76,65.96,63.666666666666664,True
63,CBNK,"Capital Bancorp, Inc.",Financial,Banks - Regional,373.46,89.0,20.0,92,1.66,27.0,30.25,12.04,-1.20%,11.15%,14.42%,26.60%,118.63%,95.41%,26.71,,21.78,11.6,28.16,67.0,True
64,CBZ,"CBIZ, Inc.",Industrials,Specialty Business Services,2015.54,99.0,16.0,77,1.2,38.64,44.5,15.17,-1.04%,10.39%,17.75%,15.23%,55.89%,46.11%,38.4,,33.32,23.92,40.62,64.0,True
68,CDXS,"Codexis, Inc.",Healthcare,Biotechnology,2430.74,91.5,14.0,91,1.62,37.22,39.38,5.8,-0.99%,27.10%,62.83%,90.13%,129.00%,70.36%,36.18,,24.52,16.32,42.01,65.5,True
69,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,21265.88,81.5,19.0,75,1.16,49.61,54.41,9.68,2.08%,-1.45%,18.42%,1.52%,54.23%,40.21%,48.72,,45.74,31.83,51.14,58.5,True
71,CLAR,Clarus Corporation,Consumer Cyclical,Leisure,1050.76,89.0,15.0,89,1.48,28.27,35.5,25.57,1.06%,-2.96%,6.69%,25.85%,97.85%,85.26%,28.47,,23.86,14.08,32.36,64.33333333333333,True
72,CLF,Cleveland-Cliffs Inc.,Basic Materials,Steel,10823.77,74.0,16.0,93,1.8,21.95,30.57,39.27,-4.41%,-0.97%,-6.57%,18.94%,140.27%,47.53%,22.92,,20.46,9.15,26.51,61.0,True
73,CLFD,"Clearfield, Inc.",Technology,Communication Equipment,880.66,81.5,24.0,96,2.17,66.92,71.0,6.1,0.76%,28.42%,57.50%,81.23%,192.57%,172.57%,62.01,,40.99,22.52,72.0,67.16666666666667,True
76,CNOB,"ConnectOne Bancorp, Inc.",Financial,Banks - Regional,1355.42,91.5,14.0,88,1.47,34.25,38.4,12.12,-2.52%,4.86%,16.19%,21.45%,95.69%,72.26%,34.17,,27.92,17.27,35.48,64.5,True
78,CNXC,Concentrix Corporation,Technology,Information Technology Services,9708.75,106.5,13.0,93,1.76,186.22,208.67,12.06,2.83%,1.17%,13.36%,24.31%,,88.88%,182.05,,157.67,80.0,191.35,70.83333333333333,True
80,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,9822.53,76.5,17.0,85,1.37,62.59,79.33,26.75,0.33%,24.44%,18.55%,23.06%,100.90%,53.36%,60.72,,53.87,33.36,69.26,59.5,True
82,CPT,Camden Property Trust,Real Estate,REIT - Residential,17013.61,74.0,36.0,80,1.26,166.25,168.8,1.53,-0.37%,4.93%,12.99%,34.86%,69.28%,65.89%,163.19,,134.34,94.59,167.95,63.333333333333336,True
83,CR,Crane Co.,Industrials,Specialty Industrial Machinery,6169.3,81.5,18.0,77,1.19,103.71,126.0,21.49,-1.11%,12.22%,6.84%,11.71%,62.63%,35.66%,104.45,,94.7,64.75,108.67,58.833333333333336,True
84,CRAI,"CRA International, Inc.",Industrials,Consulting Services,730.36,81.5,18.0,93,1.8,104.37,125.0,19.77,4.86%,-3.63%,10.05%,25.39%,133.05%,103.12%,103.14,,85.08,43.0,116.71,64.16666666666667,True
85,CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,10162.19,79.0,20.0,96,2.17,175.5,193.88,10.47,0.45%,30.20%,24.70%,79.66%,205.77%,182.44%,170.92,,117.63,58.01,183.88,65.0,True
86,CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,12374.75,84.0,16.0,78,1.22,238.28,255.29,7.14,1.65%,10.09%,16.18%,24.24%,65.83%,53.73%,232.99,,191.76,143.52,243.99,59.333333333333336,True
87,CSV,"Carriage Services, Inc.",Consumer Cyclical,Personal Services,853.71,94.0,15.0,85,1.36,51.76,63.75,23.16,3.54%,17.62%,29.00%,35.27%,80.85%,65.20%,49.25,,39.74,27.15,52.76,64.66666666666667,True
89,CUBE,CubeSmart,Real Estate,REIT - Industrial,11032.35,71.5,17.0,80,1.25,54.82,57.33,4.58,0.13%,3.28%,6.10%,27.56%,65.11%,62.06%,54.36,,46.08,31.44,56.64,56.166666666666664,True
90,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,1859.08,79.0,22.0,97,2.54,56.83,65.75,15.7,-3.56%,21.23%,48.24%,57.24%,271.52%,214.74%,55.82,,38.37,16.65,61.48,66.0,True
91,CURO,CURO Group Holdings Corp.,Financial,Credit Services,771.44,91.5,15.0,92,1.68,19.52,24.0,22.95,12.36%,3.99%,23.27%,24.76%,115.78%,36.43%,17.73,,16.2,7.67,20.81,66.16666666666667,True
95,DCOM,"Dime Community Bancshares, Inc.",Financial,Banks - Regional,1503.02,86.5,26.0,80,1.26,36.26,40.6,11.97,-3.50%,4.42%,10.33%,2.95%,73.94%,51.57%,36.74,,32.96,21.23,38.35,64.16666666666667,True
96,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,11917.38,94.0,15.0,84,1.33,434.5,476.33,9.63,3.54%,22.00%,0.87%,30.54%,73.98%,52.83%,412.12,,368.51,241.24,451.49,64.33333333333333,True
97,DELL,Dell Technologies Inc.,Technology,Computer Hardware,42914.99,79.0,14.0,77,1.2,55.02,84.16,52.96,-0.52%,-1.15%,12.03%,12.06%,63.24%,50.56%,55.86,,49.6,34.09,58.29,56.666666666666664,True
98,DFIN,"Donnelley Financial Solutions, Inc.",Financial,Capital Markets,1594.78,74.0,30.0,97,2.29,46.16,47.0,1.82,-4.86%,26.61%,53.44%,61.46%,215.47%,182.38%,44.87,,32.18,14.85,52.33,67.0,True
100,DIOD,Diodes Incorporated,Technology,Semiconductors,4926.28,79.0,16.0,84,1.34,110.03,117.67,6.94,-1.24%,19.68%,19.99%,45.41%,72.35%,53.57%,103.64,,84.57,62.13,111.35,59.666666666666664,True
101,DKS,"DICK'S Sporting Goods, Inc.",Consumer Cyclical,Specialty Retail,12346.21,76.5,22.0,93,1.79,138.59,152.33,9.91,7.59%,17.91%,33.16%,75.58%,169.37%,160.17%,130.06,,101.91,51.51,147.39,63.833333333333336,True
106,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,29423.81,86.5,23.0,97,2.34,40.6,47.69,17.46,1.40%,5.89%,70.84%,74.57%,249.50%,182.08%,42.14,,28.7,13.04,44.79,68.83333333333333,True
111,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,1751.12,76.5,19.0,85,1.37,58.92,66.75,13.29,0.00%,15.41%,25.41%,35.08%,75.84%,52.45%,56.85,,45.54,29.21,60.75,60.166666666666664,True
115,ENVA,"Enova International, Inc.",Financial,Credit Services,1405.35,81.5,20.0,87,1.43,39.56,44.5,12.49,-3.07%,11.00%,27.59%,9.88%,87.24%,61.69%,37.72,,34.33,20.81,43.47,62.833333333333336,True
116,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,37479.41,81.5,18.0,88,1.47,663.84,780.53,17.58,-0.63%,5.74%,5.37%,39.13%,102.46%,85.28%,675.55,,521.21,311.82,725.4,62.5,True
