no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,252293.54,33.8,11.64,8.24,4.57,18.54,20.6,23.49,3.97%,133.00%,4.2,-48.50%,-13.83%,-2.80%,4.10%,14.90%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.61%,68.40%,0.06%,0.91%,2.27,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,0.97%,3.44%,21.76%,21.92%,35.97%,4.88%,0.8,2.75,1.46%,2.11%,3.45%,6.85%,19.64%,-1.67%,22.85%,-1.67%,39.16%,66.83,-0.56%,0.07%,2.0,7106.02,0.91,142.01,-0.49%,6474124.0,2/2/2022 8:30:00 AM,148.05,12/10/2012,141.91,-0.07%,69.0,89,1.21,141.42,137.98,133.92,119.01,102.05,144.42,11.0,4.69,56.333333333333336,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29601.86,18.21,12.12,1.76,0.13,120.9,8.36,16.47,1.31%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.72%,65.40%,0.59%,1.13%,1.62,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,2.66%,3.34%,11.58%,17.29%,33.33%,5.53%,0.47,3.34,2.30%,2.48%,3.24%,7.41%,14.32%,-2.35%,23.36%,-2.35%,39.25%,61.65,-1.02%,0.10%,2.2,1050.47,1.19,140.24,-0.92%,1249609.0,2/2/2022 8:30:00 AM,153.5,4/4/1995,140.24,0.00%,63.0,89,1.2,139.58,136.28,131.57,122.87,100.71,143.61,11.0,9.97,54.333333333333336,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,42763.55,15.99,14.71,2.42,0.5,1.96,39.49,,1.94%,35.50%,4.78,24.80%,0.19%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.34,0.50%,-16.76%,82.00%,1.10%,0.99%,2.0,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,1.00%,8.59%,15.62%,22.55%,37.24%,13.14%,0.8,1.61,1.69%,2.31%,4.26%,10.93%,18.83%,-2.00%,23.74%,-2.00%,41.72%,67.72,0.07%,-0.03%,1.9,2737.94,0.94,76.47,0.04%,2563590.0,1/25/2022 8:30:00 AM,73.23,12/24/1924,76.39,-0.10%,72.0,89,1.21,75.81,73.84,69.5,64.48,54.94,78.03,23.0,-3.4,61.333333333333336,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,51661.19,9.53,11.43,0.31,1.08,0.8,19.14,17.0,2.11%,19.90%,6.37,-286.60%,12.44%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-5.38%,92.90%,-0.75%,0.98%,1.64,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,-0.41%,-1.03%,3.19%,11.23%,46.71%,6.82%,1.33,1.89,2.67%,3.41%,1.82%,5.40%,12.09%,-4.41%,17.51%,-4.41%,47.53%,55.22,-2.38%,0.00%,2.2,4970.18,1.46,60.74,-2.38%,7241144.0,2/16/2022 4:30:00 PM,64.85,4/3/1972,61.11,0.61%,63.0,91,1.26,59.38,59.47,57.92,54.3,41.17,63.54,15.0,9.21,56.333333333333336,True
688,AXP,American Express Company,Financial,Credit Services,USA,151433.99,19.19,16.89,0.56,3.54,6.17,5.54,18.12,0.90%,20.00%,9.99,-52.90%,17.14%,-5.70%,34.57%,2.20%,73.70%,23.30%,786.0,766.95,0.10%,-38.09%,86.70%,-0.48%,1.31%,2.39,3.70%,28.40%,2.10%,,,1.41,4.96,68.60%,21.40%,16.20%,3.21%,9.94%,5.80%,15.49%,47.98%,17.24%,1.14,5.29,2.72%,3.21%,8.48%,12.96%,14.18%,-3.48%,27.97%,-3.48%,52.14%,67.35,-1.85%,-0.04%,2.4,4223.42,1.14,191.81,-1.89%,4834046.0,1/25/2022 8:30:00 AM,195.52,4/4/1972,192.23,0.22%,56.0,94,1.32,193.29,178.99,171.38,168.38,126.08,198.72,12.0,1.15,54.0,True
715,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,401429.18,13.46,12.64,0.56,8.42,1.62,0.46,,1.75%,23.90%,3.56,-32.00%,16.25%,7.40%,23.89%,0.80%,69.00%,7.40%,8430.7,8103.31,0.10%,-1.54%,72.80%,0.04%,0.74%,1.17,0.90%,10.50%,7.30%,,,1.11,2.03,,89.10%,54.90%,-0.75%,-1.92%,0.91%,15.11%,43.60%,7.71%,1.41,1.35,2.44%,2.97%,2.16%,4.26%,10.78%,-4.37%,12.52%,-4.37%,47.22%,54.96,-1.46%,-0.86%,2.4,51165.1,1.19,47.92,-2.30%,60992745.0,1/19/2022 8:30:00 AM,51.73,6/5/1979,47.99,0.16%,56.0,90,1.24,47.67,46.85,46.1,43.33,33.7,50.11,16.0,8.52,54.0,True
919,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,52415.17,15.76,10.8,1.25,17.36,1.35,0.26,,2.18%,31.20%,3.96,-15.10%,21.21%,7.20%,12.65%,4.30%,-2.80%,-15.50%,844.09,823.92,0.10%,0.00%,85.50%,-0.82%,1.11%,2.09,0.70%,8.50%,2.80%,,,0.66,0.66,,93.70%,,0.84%,-1.92%,3.90%,15.70%,48.65%,7.32%,1.09,1.8,2.31%,3.36%,2.45%,5.16%,13.75%,-3.56%,15.22%,-3.56%,49.90%,57.41,-1.30%,-0.50%,2.1,4364.89,1.46,62.33,-1.80%,6374396.0,1/18/2022 8:30:00 AM,68.75,12/4/1969,62.63,0.48%,66.0,93,1.29,61.69,60.68,59.54,54.92,41.9,64.63,29.0,11.44,62.666666666666664,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,28444.72,,16.99,,1.39,1.47,6.57,58.77,2.47%,,-0.36,2200.00%,35.36%,-27.10%,50.90%,5.60%,103.70%,0.90%,851.0,829.21,0.10%,-99.01%,93.60%,1.00%,8.10%,7.81,-0.10%,-0.20%,-70.90%,1.6,1.2,0.4,0.4,19.70%,3.00%,-0.20%,9.59%,9.02%,19.72%,34.53%,28.37%,21.11%,1.52,1.13,4.38%,4.62%,7.43%,13.50%,20.81%,2.61%,28.00%,2.61%,55.41%,67.66,5.31%,0.84%,2.0,8603.87,1.17,29.14,6.20%,10091009.0,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.28,0.48%,69.0,81,1.09,28.44,27.32,25.87,24.2,18.75,29.28,4.0,13.94,51.333333333333336,True
1370,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,15819.95,55.65,6.92,0.89,3.1,5.61,20.9,16.87,1.56%,86.40%,1.38,-33.80%,142.93%,-13.10%,62.70%,-0.90%,-557.70%,60.80%,214.9,213.64,0.40%,-37.92%,94.90%,0.55%,2.07%,1.42,2.50%,9.90%,8.60%,1.8,1.4,1.18,1.18,27.70%,14.50%,5.90%,2.24%,13.02%,20.28%,58.62%,72.99%,8.42%,1.06,3.5,5.19%,5.29%,9.35%,13.21%,35.24%,0.41%,34.04%,0.41%,80.86%,63.13,4.21%,-0.16%,2.1,3115.45,1.51,76.74,4.04%,4715502.0,2/15/2022 4:30:00 PM,73.74,8/11/2005,76.85,0.14%,66.0,95,1.37,69.72,70.9,68.38,56.98,42.85,77.24,14.0,5.76,58.333333333333336,True
1377,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,23441.17,10.56,10.73,,4.83,1.08,1.49,,2.86%,34.70%,5.16,-41.70%,19.55%,7.50%,-2.76%,6.80%,74.50%,-4.50%,426.09,424.13,0.10%,0.00%,97.10%,-0.58%,3.08%,2.7,1.00%,9.10%,12.90%,,,0.32,0.32,,91.80%,39.50%,0.78%,-1.34%,10.89%,21.67%,34.43%,15.28%,1.47,1.57,2.11%,3.08%,2.03%,7.96%,14.63%,-4.44%,25.05%,-4.44%,38.74%,59.84,-0.07%,-0.89%,2.0,4828.71,0.91,54.47,-0.96%,4406842.0,1/19/2022 8:30:00 AM,60.53,9/24/2014,54.47,0.00%,69.0,86,1.15,54.08,53.21,50.73,47.6,39.56,57.0,14.0,11.93,56.333333333333336,True
