"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",47838.80,39.59,32.28,2.83,7.57,9.58,33.50,46.72,0.50%,24.40%,3.95,-31.60%,14.09%,12.00%,14.00%,5.70%,35.30%,25.80%,303.00,302.58,0.30%,-8.93%,90.30%,0.01%,1.44%,2.87,9.20%,19.00%,8.90%,2.10,1.60,0.55,0.58,53.90%,18.10%,14.60%,3.18%,-1.57%,-9.36%,8.07%,31.91%,31.90%,1.00,4.08,1.89%,2.68%,0.32%,0.36%,5.83%,-5.67%,6.83%,-12.96%,38.96%,51.43,-0.67%,0.69%,,1517.30,0.93,156.29,0.02%,1413801,11/22/2021 4:30:00 PM,,11/18/1999,156.29,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",9092.06,11.12,7.03,,0.81,2.30,6.26,202.05,0.84%,0.00%,4.29,85.00%,7.62%,28.00%,,-3.70%,769.80%,31.50%,187.00,184.14,0.10%,-49.13%,77.50%,-1.62%,5.28%,1.18,5.60%,23.00%,5.60%,1.50,0.90,0.44,0.44,22.00%,12.60%,7.30%,4.87%,-6.70%,-0.46%,31.66%,109.19%,107.29%,2.41,2.62,5.02%,4.95%,-0.26%,-1.48%,17.73%,-17.01%,10.45%,-17.01%,176.18%,49.94,-2.93%,0.86%,1.80,8245.07,0.59,47.78,-2.09%,4853089,10/14/2021 4:30:00 PM,59.02,10/18/2016,50.30,5.27%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51%,-4.08%,-1.00%,-3.95%,-2.95%,-6.18%,,0.15,0.41%,0.74%,-1.01%,-0.45%,-0.26%,-4.33%,2.19%,-8.59%,6.47%,46.74,0.11%,0.17%,,232.02,0.69,17.77,0.28%,161082,,,8/15/2018,17.77,0.00%
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1223.73,43.75,,,,1.31,1359.70,,,,0.22,,,,,,,,125.00,100.00,,,67.60%,11.78%,0.07%,0.26,,,,1.70,1.70,0.00,0.00,,,,0.10%,-0.41%,0.31%,0.00%,,-0.71%,,0.03,0.26%,0.33%,-0.08%,-0.02%,0.15%,-0.61%,0.62%,-2.00%,3.16%,49.57,0.10%,0.00%,,274.95,2.91,9.80,0.10%,800299,,,3/25/2021,9.79,-0.10%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",50.67,,,,1.69,1.48,4.29,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,4.59%,0.08%,0.51,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,2.16%,-35.75%,-49.82%,-54.49%,22.39%,19.33%,1.77,0.15,16.29%,9.51%,-17.40%,-31.99%,-51.52%,-51.03%,14.73%,-92.81%,22.41%,32.69,-10.13%,0.64%,1.50,45.02,0.51,1.42,-9.55%,23037,11/10/2021 4:30:00 PM,32.50,1/29/2008,1.44,1.41%
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",201.92,,,,,1950.00,,,,,,,,,,,,,20.71,,25.41%,0.00%,,,,0.00,,,,,,,,,,,-0.31%,,,,,0.00%,,0.08,0.19%,,-0.06%,-0.06%,-0.06%,-1.42%,4.39%,-1.42%,4.39%,,0.00%,-0.10%,,102.04,0.00,9.75,-0.10%,257,,,11/10/2021,,
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,2002.00,,,,,,,,,,,,,,,,,87.84%,,,0.02,,,,,,,,,,,0.25%,0.60%,,,,2.14%,,0.07,1.18%,0.54%,0.29%,0.73%,0.90%,-4.94%,2.14%,-4.94%,2.56%,55.86,0.00%,0.00%,,129.99,0.04,10.01,0.00%,0,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,92.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.43%,,,,,-7.98%,,0.03,3.35%,,-9.60%,-9.60%,-9.60%,-23.32%,-6.10%,-23.32%,-6.10%,,-6.10%,0.00%,,74.88,0.37,0.46,-6.10%,27900,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",513.82,,,,5138.16,1.49,3.18,,,,-11.63,82.30%,48.40%,30.90%,,,-705.00%,,20.89,12.38,0.10%,0.00%,54.40%,336.66%,1.33%,1.29,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,15.55%,8.87%,-15.02%,-15.05%,-29.78%,61.22%,1.46,1.96,6.72%,10.26%,4.91%,-5.92%,-8.71%,-27.08%,26.40%,-52.41%,65.60%,52.28,5.52%,-0.62%,1.70,128.09,1.69,23.70,4.87%,217031,,50.00,8/8/2017,23.75,0.21%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01%,-4.98%,-7.71%,-7.13%,5.62%,2.19%,,0.81,0.61%,0.82%,-1.66%,-3.24%,-4.49%,-6.23%,2.11%,-10.29%,7.54%,42.31,-0.66%,-0.30%,,2.82,0.54,62.22,-0.97%,1519,,,7/21/2010,,
11,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",115.17,,13.74,,5.70,0.62,5.43,23.50,,,-0.15,-743.40%,19.91%,7.90%,-9.37%,,-126.40%,-46.80%,31.93,30.53,3.10%,2.62%,34.90%,-22.59%,0.77%,1.60,-0.50%,-2.40%,,,,0.49,3.43,53.10%,,-23.80%,-0.55%,-5.45%,-3.96%,-10.78%,0.00%,-3.70%,1.76,0.07,1.87%,2.01%,-1.50%,-3.93%,-7.03%,-9.90%,1.68%,-17.65%,4.00%,41.28,-0.82%,-0.54%,2.70,146.55,0.77,3.64,-1.36%,112267,11/9/2021 4:30:00 PM,4.62,12/23/1997,,
12,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",11619.00,,,,0.47,,0.80,,,,-5.50,-583.80%,99.20%,-29.60%,16.09%,-15.80%,105.40%,182.70%,648.56,641.17,0.10%,0.00%,56.30%,3.97%,15.42%,2.89,-4.80%,43.30%,-30.50%,1.00,0.90,,,54.10%,-11.40%,-13.20%,-4.52%,-19.74%,-10.88%,-24.88%,0.41%,8.56%,1.67,0.97,4.24%,5.06%,-7.77%,-12.67%,-19.03%,-23.40%,6.01%,-34.38%,16.38%,38.18,-2.28%,-2.72%,3.10,34254.99,1.18,17.12,-4.94%,40453220,10/21/2021 8:30:00 AM,19.11,12/9/2013,17.11,-0.06%
13,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",77.05,5.85,,,0.37,0.54,5.39,385.24,0.54%,3.20%,0.63,,,24.30%,,3.30%,-161.10%,6.50%,20.40,4.02,2.90%,0.00%,5.80%,-10.56%,2.72%,5.34,3.30%,9.30%,7.70%,,,0.24,0.24,,8.80%,6.20%,-2.38%,-10.65%,-5.63%,-12.35%,62.56%,79.13%,0.23,0.18,4.85%,4.52%,-6.59%,-10.91%,-10.28%,-19.61%,1.93%,-76.89%,81.77%,35.34,-1.07%,0.27%,,20.52,0.18,3.69,-0.81%,3770,,,3/17/1980,,
