no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,255882.26,34.28,11.8,8.36,4.64,18.8,20.89,23.83,3.92%,133.00%,4.2,-48.50%,-13.83%,-2.80%,4.10%,14.90%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.61%,68.40%,0.06%,0.91%,2.17,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.42%,8.27%,23.03%,21.22%,34.53%,6.37%,0.8,2.83,1.87%,2.08%,3.18%,6.35%,20.56%,-2.17%,19.28%,-2.17%,41.14%,65.79,-0.46%,-0.19%,7452.24,1.01,144.03,-0.65%,7556586,2/2/2022 8:30:00 AM,148.05,12/10/2012,144.15,0.08%,69.0,90,1.23,144.03,140.19,135.88,119.61,102.05,147.22,12.0,2.79,57.0,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29867.82,18.37,12.23,1.78,0.14,121.98,8.43,16.62,1.30%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.72%,65.40%,0.59%,1.13%,1.56,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,0.90%,6.49%,13.66%,18.37%,33.34%,6.48%,0.47,3.14,1.98%,2.47%,2.78%,6.39%,14.89%,-1.80%,18.47%,-1.80%,40.50%,61.96,-0.42%,-0.01%,1087.02,1.01,141.5,-0.43%,1099296,2/2/2022 8:30:00 AM,153.5,4/4/1995,141.5,0.00%,63.0,89,1.2,141.5,138.17,133.42,123.28,100.71,144.22,13.0,8.48,55.0,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,52503.22,9.69,11.61,0.32,1.1,0.82,19.45,17.28,2.07%,19.90%,6.37,-286.60%,12.44%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-0.82%,92.90%,-0.75%,0.98%,1.59,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,1.63%,4.91%,10.00%,15.23%,39.98%,8.56%,1.33,1.92,3.11%,3.46%,3.53%,5.91%,13.31%,-2.85%,19.05%,-2.85%,48.80%,58.19,2.24%,-1.63%,5120.75,1.07,61.73,0.57%,5488007,2/16/2022 4:30:00 PM,64.85,4/3/1972,61.73,0.00%,63.0,93,1.3,61.73,59.85,58.42,54.54,42.08,63.54,15.0,5.05,57.0,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,28415.44,,16.97,,1.38,1.47,6.56,58.71,2.47%,,-0.36,2200.00%,35.36%,-27.10%,50.90%,5.60%,103.70%,0.90%,851.0,829.21,0.10%,-99.01%,93.60%,1.00%,8.10%,7.71,-0.10%,-0.20%,-70.90%,1.6,1.2,0.4,0.4,19.70%,3.00%,-0.20%,-0.10%,8.94%,21.65%,42.49%,20.64%,20.99%,1.52,1.14,3.34%,4.35%,4.98%,11.24%,19.71%,-3.31%,27.87%,-3.31%,55.25%,62.16,0.31%,-1.39%,8712.53,0.58,29.11,-1.09%,5038953,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.11,0.00%,69.0,83,1.12,29.11,27.82,26.25,24.35,18.75,30.11,4.0,11.34,52.0,True
1377,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,22916.14,10.32,10.49,,4.72,1.06,1.45,,2.93%,34.70%,5.16,-41.70%,19.55%,7.50%,-2.76%,6.80%,74.50%,-4.50%,426.09,424.13,0.10%,0.00%,97.10%,-0.58%,3.08%,2.74,1.00%,9.10%,12.90%,,,0.32,0.32,,91.80%,39.50%,-2.24%,2.09%,6.20%,25.77%,23.15%,12.70%,1.47,1.57,2.58%,2.89%,-0.00%,4.11%,11.65%,-6.58%,22.25%,-6.58%,34.62%,50.22,0.47%,-0.17%,4760.08,0.8,53.25,0.30%,3803841,1/19/2022 8:30:00 AM,60.53,9/24/2014,53.25,0.00%,69.0,84,1.13,53.25,53.38,51.26,47.71,39.56,57.0,12.0,13.67,55.0,True
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,116181.99,14.77,11.42,8.32,2.54,2.71,11.05,54.62,1.70%,146.30%,6.07,-139.20%,-9.72%,6.80%,1.78%,-8.60%,526.20%,158.20%,1332.29,1317.82,0.10%,-20.39%,80.50%,0.09%,1.30%,2.09,2.30%,4.60%,-2.40%,1.9,1.8,0.42,0.45,48.20%,5.90%,4.00%,-4.16%,4.67%,23.60%,70.32%,76.65%,24.18%,1.45,3.05,2.37%,3.51%,-0.36%,9.86%,33.14%,-5.58%,36.06%,-5.58%,89.18%,54.32,0.02%,-1.70%,8177.88,0.8,89.63,-1.68%,6572873,2/3/2022 8:30:00 AM,99.98,1/13/1978,89.9,0.30%,75.0,98,1.66,89.63,90.3,81.96,67.63,47.51,94.93,13.0,11.55,62.0,True
1785,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,17525.1,25.85,6.63,0.35,10.42,3.88,229.69,58.75,1.99%,47.80%,0.87,-69.30%,16.56%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.51%,64.10%,16.68%,3.55%,3.47,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,-6.30%,12.78%,8.76%,61.75%,27.18%,18.89%,-0.2,0.89,3.39%,3.98%,2.05%,6.80%,20.60%,-7.38%,22.84%,-7.38%,63.34%,53.7,0.36%,-1.23%,8157.21,0.83,22.59,-0.88%,6763625,2/23/2022 4:30:00 PM,27.52,2/8/1990,22.63,0.18%,59.0,81,1.09,22.59,22.3,21.19,19.08,14.28,24.39,30.0,21.82,56.666666666666664,True
1833,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,252059.73,16.4,14.46,,1.62,1.88,41.79,,4.02%,279.00%,8.13,-291.90%,-11.97%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-63.37%,67.80%,0.68%,1.22%,1.87,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,-3.88%,3.87%,16.57%,41.48%,35.60%,13.69%,1.17,3.21,1.81%,2.50%,-0.56%,5.85%,20.56%,-4.32%,20.49%,-4.32%,43.68%,53.17,0.76%,-0.90%,12430.74,0.86,133.42,-0.14%,10684092,1/28/2022 8:30:00 AM,141.05,6/24/1921,133.57,0.11%,63.0,91,1.25,133.42,134.5,126.34,110.79,92.86,139.44,12.0,5.72,55.333333333333336,True
2432,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,63019.54,21.58,10.47,0.29,4.06,2.98,14.68,12.49,2.69%,31.00%,5.17,-122.20%,23.49%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.90%,87.80%,-0.53%,1.14%,1.5,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-4.39%,7.85%,27.44%,77.16%,74.99%,25.66%,1.82,4.07,2.79%,3.80%,0.67%,11.66%,32.54%,-4.51%,38.37%,-4.51%,91.31%,57.06,0.95%,-1.80%,4424.25,0.75,111.62,-0.87%,3314693,2/25/2022 8:30:00 AM,116.55,10/4/1989,112.0,0.34%,69.0,97,1.6,111.62,111.43,100.56,86.06,60.79,116.89,18.0,4.42,61.333333333333336,True
2621,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,40640.46,24.37,18.55,1.52,1.17,1.2,13.74,,3.68%,89.40%,1.71,-33.30%,-20.14%,-4.60%,16.00%,2.30%,139.40%,0.60%,979.0,975.59,0.10%,-25.87%,82.60%,0.35%,1.89%,1.74,1.30%,5.10%,3.40%,0.9,0.8,1.05,1.23,58.10%,6.80%,4.80%,-1.19%,2.46%,9.04%,18.28%,43.80%,1.08%,0.48,0.94,1.93%,2.56%,-0.23%,2.97%,15.43%,-5.43%,12.43%,-5.43%,52.21%,51.5,-0.86%,0.57%,10597.1,0.84,41.63,-0.29%,8933873,,50.78,7/6/1943,41.63,0.00%,66.0,92,1.27,41.63,41.79,40.51,36.12,27.35,44.02,18.0,21.98,58.666666666666664,True
