"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research",45704.38,47.65,0.51%,12.00%,5.70%,303.00,0.20%,-14.71%,90.30%,-0.04%,1.53%,20.40%,-5.31%,-3.30%,-11.88%,11.22%,33.39%,29.10%,0.99,2.30%,-3.80%,-4.17%,4.73%,-13.75%,4.56%,-14.81%,37.28%,38.47,2.00,152.97,-1.17%,2286339,175.88
"AA","Alcoa Corporation","Basic Materials","Aluminum",9461.25,11.75,0.79%,28.00%,-3.70%,187.00,0.10%,-52.45%,76.10%,-3.40%,4.51%,12.60%,5.30%,1.84%,21.83%,29.35%,142.36%,118.92%,2.41,4.56%,5.26%,3.01%,28.88%,-12.35%,13.44%,-12.35%,191.68%,55.51,2.20,50.46,2.94%,7111429,59.19
"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-4.20%,-0.28%,-0.28%,-5.88%,-1.17%,-6.12%,,0.70%,-1.92%,-0.08%,-0.26%,-4.28%,3.82%,-8.54%,6.53%,41.57,,17.78,-0.11%,269942,
"AAC","Ares Acquisition Corporation","Financial","Shell Companies",1227.19,59.86,,,,125.00,,,67.60%,11.78%,0.08%,,0.03%,-0.23%,1.42%,-0.33%,,-0.53%,,0.41%,-0.10%,0.27%,0.33%,-0.43%,1.21%,-1.82%,3.34%,50.26,,9.82,-0.13%,188898,
"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services",60.08,,,-36.60%,-17.20%,31.19,18.70%,0.00%,17.50%,4.78%,0.16%,-53.20%,-14.63%,-25.21%,-33.46%,-40.68%,44.63%,47.06%,1.67,4.66%,-19.23%,-24.25%,-44.71%,-39.66%,1.16%,-91.14%,54.87%,22.72,1.00,1.75,1.16%,10118,32.50
"AACI","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,25.41%,,,,,,0.05%,,,,,0.41%,,,0.10%,0.10%,0.10%,-0.70%,0.72%,-0.70%,0.72%,,,9.79,-0.10%,941,
"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,41.98%,,,,0.81%,0.50%,,,,2.04%,,0.34%,0.45%,0.82%,0.89%,-0.69%,2.15%,-0.69%,2.46%,55.93,,10.00,0.15%,467,
"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,,,,,-0.02%,,,,,4.00%,,,1.64%,1.64%,1.64%,-13.33%,4.00%,-13.33%,4.00%,,,0.52,0.48%,1399,
"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology",453.85,,,30.90%,,9.51,0.10%,0.00%,54.40%,,,,-10.09%,-14.86%,-30.58%,-8.54%,-0.17%,55.85%,1.41,8.74%,-10.60%,-15.95%,-13.23%,-30.55%,6.51%,-54.00%,60.08%,39.53,2.00,22.91,-5.84%,277641,47.67
"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund",,,0.32%,,,,,,,,,,-2.81%,-4.35%,-6.08%,-2.74%,11.18%,3.68%,,0.59%,-3.09%,-2.84%,-3.30%,-6.29%,1.50%,-8.98%,11.81%,34.05,,63.13,-0.63%,1724,
"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",118.35,,,7.90%,,31.93,3.10%,2.62%,34.90%,-22.64%,0.82%,,0.27%,-3.35%,-0.79%,-6.95%,12.61%,-0.79%,1.76,1.52%,-1.57%,-1.54%,-4.63%,-7.18%,2.18%,-15.16%,19.05%,44.22,2.70,3.75,1.90%,208211,4.62
