rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
1,71.66666666666667,AGO,Assured Guaranty Ltd.,36.0,1.7,90,1.75,47.53,58.0,22.03,$18.45,$52.28,47.21,47.13,40.39,89.0,True
2,71.33333333333333,SGH,"SMART Global Holdings, Inc.",52.0,1.7,73,1.34,45.28,69.0,52.39,$23.54,$58.39,48.84,47.94,42.6,89.0,True
3,71.33333333333333,RWT,"Redwood Trust, Inc.",46.0,1.7,79,1.44,13.16,14.04,6.69,$6.52,$12.71,11.85,11.82,9.96,89.0,True
4,69.0,EVC,Entravision Communications Corporation,14.0,1.5,99,3.73,7.45,10.5,40.94,$1.25,$7.10,6.15,5.81,3.91,94.0,True
6,68.33333333333333,ASIX,AdvanSix Inc.,16.0,1.5,95,2.19,42.13,44.5,5.63,$11.62,$36.35,31.44,30.68,25.74,94.0,True
7,68.0,GNRC,Generac Holdings Inc.,18.0,1.5,92,1.82,404.95,497.0,22.73,$164.24,$457.00,429.07,397.25,305.74,94.0,True
8,67.33333333333333,EPRT,"Essential Properties Realty Trust, Inc.",41.0,1.9,77,1.4,28.39,32.36,13.98,$16.18,$30.61,28.62,27.67,23.13,84.0,True
9,66.83333333333333,IIPR,"Innovative Industrial Properties, Inc.",34.0,2.0,85,1.57,234.18,257.0,9.74,$108.05,$225.59,209.92,196.93,179.25,81.5,True
10,66.66666666666667,RDNT,"RadNet, Inc.",14.0,1.3,87,1.64,29.1,43.67,50.07,$13.49,$38.84,34.84,33.26,23.5,99.0,True
11,66.66666666666667,COF,Capital One Financial Corporation,22.0,1.9,94,2.0,166.54,183.18,9.99,$62.26,$168.00,160.46,159.73,124.43,84.0,True
12,66.33333333333333,UTHR,United Therapeutics Corporation,40.0,2.1,80,1.45,185.9,231.89,24.74,$98.37,$215.21,185.92,182.23,168.39,79.0,True
13,66.33333333333333,NET,"Cloudflare, Inc.",20.0,1.9,95,2.12,114.98,125.13,8.83,$32.69,$122.77,112.0,101.99,80.91,84.0,True
15,65.5,NAVI,Navient Corporation,16.0,1.8,94,2.03,19.12,21.35,11.66,$7.42,$21.48,20.33,19.55,13.99,86.5,True
16,65.5,CROX,"Crocs, Inc.",17.0,2.0,98,2.85,141.13,157.7,11.74,$36.51,$143.42,125.04,115.22,84.45,81.5,True
17,65.16666666666667,JLL,Jones Lang LaSalle Incorporated,19.0,2.0,95,2.11,258.02,310.0,20.15,$87.67,$253.74,204.04,203.74,169.85,81.5,True
18,65.0,DECK,Deckers Outdoor Corporation,15.0,1.5,86,1.6,365.47,486.5,33.12,$192.58,$444.48,403.42,372.11,324.11,94.0,True
19,65.0,GE,General Electric Company,16.0,2.1,100,12.6,105.82,121.78,15.08,$5.93,$107.21,26.38,18.63,13.29,79.0,True
20,64.83333333333333,NSA,National Storage Affiliates Trust,43.0,2.2,75,1.36,52.84,58.3,10.33,$31.00,$55.49,53.92,51.25,41.17,76.5,True
21,64.66666666666667,MODV,ModivCare Inc.,16.0,1.5,84,1.55,187.05,211.88,13.27,$82.30,$184.71,169.01,165.37,149.35,94.0,True
22,64.5,AXON,"Axon Enterprise, Inc.",21.0,1.8,86,1.59,178.77,213.0,19.15,$78.28,$212.37,183.18,168.79,147.27,86.5,True
23,64.33333333333333,GPRE,Green Plains Inc.,10.0,1.7,94,1.98,35.04,46.44,32.53,$11.91,$38.13,33.65,33.23,24.47,89.0,True
24,64.33333333333333,ULTA,"Ulta Beauty, Inc.",48.0,2.3,71,1.3,368.03,436.65,18.65,$200.50,$356.31,338.97,338.28,305.83,74.0,True
27,64.16666666666667,WFC,Wells Fargo & Company,32.0,2.2,84,1.54,47.02,50.35,7.08,$20.76,$48.75,45.2,45.04,37.08,76.5,True
29,64.0,BOOT,"Boot Barn Holdings, Inc.",15.0,2.1,98,3.0,90.64,100.0,10.33,$21.53,$91.65,82.32,79.81,60.76,79.0,True
30,63.833333333333336,DFS,Discover Financial Services,21.0,2.2,94,2.01,127.19,135.94,6.88,$48.92,$130.38,124.24,121.77,99.36,76.5,True
31,63.5,JYNT,The Joint Corp.,14.0,2.2,100,5.32,95.92,124.6,29.9,$13.65,$103.65,84.35,79.18,46.98,76.5,True
32,63.5,ENPH,"Enphase Energy, Inc.",21.0,2.2,93,1.9,155.36,197.73,27.27,$58.67,$229.04,178.94,167.93,157.59,76.5,True
33,63.333333333333336,AMN,"AMN Healthcare Services, Inc.",21.0,1.7,80,1.46,114.94,121.56,5.76,$49.87,$110.25,99.39,96.7,79.33,89.0,True
34,63.333333333333336,BEAM,Beam Therapeutics Inc.,12.0,2.1,99,3.24,86.38,119.17,37.96,$21.24,$138.52,92.95,92.09,79.51,79.0,True
35,63.166666666666664,ALGN,"Align Technology, Inc.",18.0,2.0,90,1.72,662.06,745.36,12.58,$289.52,$706.07,637.85,616.17,554.01,81.5,True
36,63.166666666666664,OMCL,"Omnicell, Inc.",18.0,2.0,90,1.73,153.26,166.8,8.83,$66.04,$156.26,150.66,146.43,127.36,81.5,True
37,63.0,DKS,"DICK'S Sporting Goods, Inc.",23.0,2.3,92,1.82,121.72,152.33,25.15,$44.38,$109.25,102.41,99.64,76.93,74.0,True
38,63.0,RH,RH,21.0,2.1,89,1.69,646.45,764.79,18.31,$292.00,$733.05,678.97,666.81,544.22,79.0,True
39,63.0,TPX,"Tempur Sealy International, Inc.",28.0,2.1,82,1.5,46.53,53.33,14.61,$19.88,$43.99,40.11,39.2,33.06,79.0,True
40,62.833333333333336,SSTK,"Shutterstock, Inc.",21.0,1.6,76,1.38,116.29,126.0,8.35,$45.70,$108.96,103.53,98.73,83.6,91.5,True
41,62.666666666666664,TGT,Target Corporation,20.0,1.9,84,1.55,228.42,279.74,22.47,$128.13,$263.46,255.89,243.17,199.42,84.0,True
42,62.333333333333336,CLF,Cleveland-Cliffs Inc.,14.0,2.3,99,3.22,19.66,29.59,50.51,$5.33,$25.83,22.46,21.77,16.79,74.0,True
43,62.333333333333336,MIDD,The Middleby Corporation,22.0,1.9,81,1.47,173.84,214.0,23.1,$85.92,$195.50,184.36,174.72,152.8,84.0,True
44,62.166666666666664,THC,Tenet Healthcare Corporation,19.0,2.2,91,1.77,68.82,84.53,22.83,$21.34,$73.65,69.54,68.27,51.74,76.5,True
46,62.0,BLDR,"Builders FirstSource, Inc.",19.0,1.5,73,1.34,52.96,67.71,27.85,$26.31,$53.99,44.03,43.63,42.25,94.0,True
47,61.666666666666664,COOP,Mr. Cooper Group Inc.,19.0,2.1,87,1.62,41.57,44.29,6.54,$16.77,$39.22,35.06,34.24,31.09,79.0,True
48,61.666666666666664,GPI,"Group 1 Automotive, Inc.",25.0,1.9,76,1.39,188.31,251.4,33.5,$82.35,$181.95,167.04,160.76,147.84,84.0,True
49,61.5,LOB,"Live Oak Bancshares, Inc.",11.0,2.2,97,2.63,66.69,74.0,10.96,$17.75,$72.64,59.71,59.06,54.17,76.5,True
50,61.166666666666664,JCI,Johnson Controls International plc,27.0,2.2,80,1.46,69.02,81.25,17.72,$38.14,$72.65,70.64,68.53,57.12,76.5,True
51,61.0,FND,"Floor & Decor Holdings, Inc.",21.0,1.7,73,1.33,118.75,138.15,16.34,$65.73,$128.50,116.08,106.69,98.32,89.0,True
52,61.0,YETI,"YETI Holdings, Inc.",16.0,1.9,83,1.51,85.98,114.47,33.14,$43.09,$105.40,93.83,91.68,76.05,84.0,True
53,60.5,AMKR,"Amkor Technology, Inc.",16.0,2.0,84,1.55,25.1,28.5,13.55,$10.71,$27.50,23.47,23.02,19.64,81.5,True
54,60.333333333333336,FLGT,"Fulgent Genetics, Inc.",17.0,2.5,95,2.09,84.33,115.33,36.76,$26.03,$189.89,87.8,83.17,78.03,69.0,True
55,60.166666666666664,ADTN,"ADTRAN, Inc.",17.0,2.0,82,1.49,18.81,25.42,35.14,$9.66,$23.54,20.81,20.72,16.99,81.5,True
56,60.166666666666664,MS,Morgan Stanley,11.0,2.0,88,1.67,99.05,104.51,5.51,$45.86,$99.54,93.56,91.15,75.57,81.5,True
57,60.166666666666664,CARR,Carrier Global Corporation,16.0,2.0,83,1.52,52.46,59.82,14.03,$27.94,$57.25,51.01,48.23,41.39,81.5,True
