no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29915.25,18.81,12.52,1.82,0.14,124.86,8.45,16.64,1.27%,22.80%,7.7,144.40%,7.22%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-43.57%,65.90%,1.40%,1.30%,1.82,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,1.62%,5.05%,24.05%,15.74%,34.72%,8.99%,0.45,3.41,2.13%,2.19%,2.32%,5.98%,16.52%,-1.81%,14.40%,-1.81%,42.22%,61.35,-1.40%,-0.28%,1064.51,1.33,144.84,-1.67%,1411547,2/2/2022 8:30:00 AM,153.92,4/4/1995,144.84,0.00%,63.0,90,1.22,147.3,141.55,136.67,124.31,107.72,147.51,14.0,4.49,55.666666666666664,True
211,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3986.08,11.06,13.6,3.69,4.86,0.66,33.22,,1.67%,16.10%,5.41,25.00%,18.97%,-4.40%,3.00%,-13.60%,106.20%,-8.90%,69.3,62.4,3.50%,-5.93%,97.20%,-4.46%,3.03%,3.96,2.30%,6.10%,5.80%,,,0.27,0.27,,63.80%,47.40%,-3.40%,10.26%,26.02%,25.81%,34.88%,19.24%,1.09,2.06,3.31%,3.11%,2.33%,9.21%,18.42%,-6.44%,26.46%,-6.44%,45.64%,56.53,-0.05%,-0.70%,477.83,0.79,59.86,-0.75%,375641,2/24/2022 4:30:00 PM,62.67,4/23/2004,59.86,0.00%,78.0,92,1.26,60.31,58.5,54.81,50.55,41.1,63.98,36.0,3.91,68.66666666666667,True
248,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,1567.78,20.1,13.8,1.47,0.9,1.52,36.72,32.94,,0.00%,2.17,84.30%,34.64%,0.00%,13.68%,1.60%,41.30%,8.20%,35.1,33.8,0.10%,-68.25%,99.10%,3.39%,6.08%,5.84,4.70%,7.60%,4.20%,3.0,1.3,0.1,0.1,17.30%,6.00%,4.20%,-2.96%,8.32%,30.84%,29.29%,3.56%,11.73%,1.66,1.52,3.75%,3.45%,2.13%,5.48%,17.04%,-5.38%,21.11%,-5.38%,41.13%,55.27,-0.68%,0.23%,352.03,1.14,43.61,-0.46%,402092,12/21/2021 4:30:00 PM,51.0,4/24/1972,43.61,0.00%,69.0,69,0.95,43.81,42.7,41.34,37.26,30.9,46.09,18.0,16.41,52.0,True
367,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,831.64,3.97,10.46,,0.1,2.0,42.87,4.94,,0.00%,17.88,312.90%,-13.72%,68.70%,,2.30%,125.40%,28.20%,11.38,8.61,6.50%,-12.26%,44.00%,2.40%,2.61%,2.49,15.40%,51.30%,17.20%,1.5,0.6,0.23,1.18,3.40%,2.70%,2.30%,-0.95%,12.41%,15.57%,48.15%,134.73%,16.24%,-0.52,3.31,4.94%,4.70%,-0.63%,10.31%,21.98%,-9.03%,30.41%,-12.24%,162.79%,52.95,-6.55%,0.28%,90.41,2.41,71.02,-6.29%,217495,2/8/2022 4:30:00 PM,93.5,3/17/2014,71.02,0.00%,69.0,99,2.22,75.79,71.47,64.38,58.9,30.52,80.93,55.0,23.37,74.33333333333333,True
407,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,107882.7,18.39,14.1,1.43,0.78,3.05,22.11,17.48,0.99%,18.10%,24.72,37.60%,13.23%,21.80%,12.86%,10.30%,111.10%,15.20%,242.3,239.89,0.20%,-1.30%,92.30%,-0.99%,0.92%,2.01,6.30%,17.40%,11.70%,,,0.59,0.64,,6.30%,4.40%,0.59%,0.61%,15.07%,20.01%,33.85%,-1.94%,1.04,13.38,3.45%,2.71%,0.12%,0.69%,11.14%,-4.80%,8.03%,-4.80%,40.83%,50.87,-3.45%,-1.27%,1095.09,1.4,454.53,-4.68%,1529156,1/26/2022 8:30:00 AM,490.38,10/30/2001,455.12,0.13%,72.0,93,1.3,476.84,453.99,451.42,408.98,329.75,477.47,20.0,2.84,61.666666666666664,True
447,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1332.26,18.67,19.91,,1.17,33.36,6.07,14.34,,0.00%,2.0,29.90%,5.99%,43.80%,,1.50%,-39.60%,0.90%,35.52,34.71,1.40%,-95.18%,88.97%,-1.11%,5.06%,2.8,9.00%,569.50%,17.50%,1.1,1.1,8.59,9.51,70.40%,8.50%,5.70%,0.05%,0.21%,24.41%,-1.58%,72.96%,14.60%,,0.12,0.33%,0.28%,0.18%,4.03%,13.29%,-0.85%,26.22%,-6.60%,84.49%,65.05,0.08%,-0.08%,628.62,0.26,37.36,0.00%,162736,,38.33,2/11/2021,37.36,0.00%,75.0,97,1.57,37.36,37.29,35.91,32.98,21.65,40.0,10.0,2.6,60.666666666666664,True
465,AQUA,Evoqua Water Technologies Corp.,Industrials,Pollution & Treatment Controls,USA,5170.76,103.58,37.56,3.98,3.43,8.42,33.91,43.75,,0.00%,0.41,-56.00%,23.56%,32.00%,25.99%,5.20%,-9.40%,13.70%,120.63,119.56,1.20%,0.00%,,-1.13%,2.14%,2.94,2.70%,9.10%,3.70%,1.7,1.3,1.19,1.24,31.60%,4.10%,3.40%,-1.66%,1.21%,-8.35%,8.62%,70.32%,-10.27%,1.81,1.62,3.47%,3.47%,-2.47%,-1.42%,7.14%,-13.49%,14.31%,-15.05%,90.68%,47.24,-1.71%,0.02%,871.17,1.02,41.95,-1.69%,892901,2/1/2022 8:30:00 AM,47.9,11/2/2017,41.95,0.00%,63.0,96,1.52,42.67,43.01,42.55,39.15,23.55,49.38,16.0,12.26,58.333333333333336,True
466,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,7793.1,,8.17,,1.69,1.43,,4.8,,,-0.63,87.00%,-9.41%,26.80%,,22.90%,,82.90%,313.98,274.96,1.70%,-10.53%,77.00%,-0.52%,8.15%,2.84,-1.40%,-3.40%,-0.60%,0.3,0.3,0.37,0.37,72.40%,-2.70%,-4.00%,14.48%,25.66%,60.94%,61.24%,170.06%,50.00%,4.08,1.29,4.97%,5.76%,21.69%,31.80%,54.05%,2.84%,64.27%,2.84%,203.82%,75.5,2.78%,0.47%,7879.01,1.63,26.25,3.27%,12880615,2/16/2022 4:30:00 PM,29.19,10/10/2013,26.0,-0.95%,63.0,99,2.46,26.25,21.84,20.08,17.11,8.64,27.13,18.0,11.2,60.0,True
523,ARTNA,Artesian Resources Corporation,Utilities,Utilities - Regulated Water,USA,465.22,28.02,25.63,7.01,5.17,2.71,775.37,,2.13%,57.60%,1.79,12.20%,8.29%,7.40%,4.00%,2.70%,-0.70%,1.20%,9.4,8.39,4.58%,-1.11%,53.30%,1.88%,0.81%,2.75,2.80%,9.80%,6.50%,0.4,0.4,0.82,0.99,,31.10%,18.70%,8.09%,7.93%,18.80%,27.93%,27.35%,8.44%,0.05,1.43,2.50%,2.82%,7.30%,8.89%,21.32%,1.39%,16.78%,1.39%,39.94%,74.66,1.09%,0.46%,24.84,0.88,50.24,1.56%,21790,,55.0,5/24/1996,50.24,0.00%,84.0,88,1.16,50.24,47.04,46.21,41.46,35.9,50.56,17.0,9.47,63.0,True
584,ATI,Allegheny Technologies Incorporated,Industrials,Metal Fabrication,USA,3388.91,,17.86,,1.21,4.92,4.93,,,,-0.34,97.60%,56.11%,45.00%,-4.50%,-2.20%,97.40%,16.30%,127.4,126.48,1.10%,0.00%,,-0.63%,14.76%,8.04,-0.90%,-7.00%,4.10%,2.7,1.5,2.5,2.69,11.90%,4.70%,-1.40%,2.87%,17.90%,82.12%,47.60%,26.88%,66.23%,1.38,1.23,5.61%,4.57%,8.53%,27.29%,38.22%,-1.74%,72.68%,-1.74%,91.19%,74.44,0.80%,0.84%,2322.5,1.8,26.48,1.65%,4181358,2/2/2022 8:30:00 AM,28.25,5/2/1966,26.5,0.08%,63.0,85,1.12,26.05,24.4,20.8,19.16,13.85,26.95,13.0,8.45,53.666666666666664,True
