"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",44173.50,36.86,27.31,2.63,6.99,8.11,28.05,41.63,0.54%,19.10%,3.94,71.00%,9.79%,22.90%,14.00%,8.50%,102.30%,11.90%,304.70,302.06,0.20%,-19.58%,90.50%,-0.02%,1.33%,2.62,11.70%,24.30%,14.70%,2.20,1.70,0.51,0.51,53.90%,21.30%,19.10%,-9.08%,-7.14%,-4.80%,-2.92%,14.24%,-9.08%,1.00,3.97,3.36%,2.38%,-6.33%,-6.94%,-3.70%,-12.39%,-0.30%,-19.17%,29.06%,33.42,-2.66%,0.00%,2.00,1537.72,1.33,145.15,-2.66%,2037845,11/22/2021 4:30:00 PM,177.31,11/18/1999,145.15,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",11597.08,14.52,10.07,,1.04,3.01,7.99,257.71,0.64%,0.00%,4.29,85.00%,1.76%,28.00%,,-3.70%,769.80%,31.50%,187.00,184.14,0.10%,-49.71%,77.50%,-1.61%,6.03%,1.29,5.60%,23.00%,5.60%,1.50,0.90,0.44,0.44,22.00%,12.60%,7.30%,4.68%,28.44%,35.50%,67.26%,149.58%,4.68%,2.46,2.88,5.23%,4.88%,11.85%,22.69%,45.11%,-0.38%,44.17%,-0.38%,260.52%,69.55,3.71%,2.89%,2.20,8604.68,0.93,62.37,6.71%,7991608,1/19/2022 4:30:00 PM,59.02,10/18/2016,62.34,-0.05%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.76%,0.68%,2.17%,-0.61%,-2.99%,-1.76%,,0.16,0.65%,0.66%,-0.09%,-0.45%,-0.13%,-3.85%,2.35%,-6.49%,7.01%,48.46,0.34%,0.17%,,200.97,0.42,17.86,0.51%,83853,,,8/15/2018,,
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1221.25,59.57,,,,1.31,1356.94,,,,0.16,,,,,,,,125.00,100.00,,,67.60%,11.76%,0.10%,0.37,,,,1.70,1.70,0.00,0.00,,,,0.31%,-0.41%,0.00%,-0.31%,,0.31%,,0.03,0.34%,0.25%,0.05%,-0.26%,-0.14%,-0.91%,0.41%,-2.30%,2.84%,49.48,0.21%,-0.10%,,268.82,0.80,9.77,0.10%,216378,,,3/25/2021,9.76,-0.10%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",80.36,,,,2.69,2.75,6.81,,,,-0.41,40.00%,-6.30%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,5.42%,0.10%,0.07,-17.50%,-49.20%,-48.10%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,146.61%,85.92%,14.78%,-8.01%,112.73%,146.61%,1.60,0.36,51.74%,21.07%,87.03%,51.67%,-0.11%,0.00%,164.00%,-86.63%,164.00%,68.57,36.79%,-2.53%,1.00,439.84,21.88,2.64,33.33%,9622774,11/10/2021 4:30:00 PM,32.50,1/29/2008,2.55,-3.41%
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",216.05,,,,,,308.65,,,,,0.00%,,0.00%,,,,,21.89,16.29,25.41%,0.00%,42.00%,240.03%,0.01%,0.02,,,,4.40,4.40,,,,,,0.55%,0.92%,,,,0.82%,,0.07,0.46%,0.33%,0.74%,0.94%,0.94%,-0.40%,5.67%,-0.40%,5.67%,56.32,-0.20%,0.92%,,87.87,0.01,9.87,0.71%,970,,,11/10/2021,9.81,-0.61%
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,,,,,,,,,,,,,,,,,,87.84%,,,0.02,,,,,,,,,,,1.21%,0.15%,2.03%,,,0.00%,,0.08,0.14%,0.53%,0.10%,0.64%,0.94%,-4.75%,2.35%,-4.75%,2.77%,52.18,0.00%,0.00%,,67.63,0.00,10.03,0.00%,0,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,108.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.49%,5.12%,,,,-3.49%,,0.05,5.71%,10.10%,3.92%,4.72%,4.72%,-19.37%,19.97%,-19.37%,19.97%,52.03,3.83%,-12.66%,,64.44,1.04,0.54,-9.32%,66828,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",468.06,,,,4680.60,1.37,2.90,,,,-11.63,82.30%,-30.90%,30.90%,,,-705.00%,,9.51,,0.10%,0.00%,54.40%,347.87%,,1.30,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,-9.94%,-0.91%,-16.28%,-43.36%,29.46%,-9.94%,1.48,1.47,5.81%,6.24%,-10.75%,-10.26%,-16.29%,-33.08%,16.00%,-56.33%,51.98%,38.89,-3.07%,-0.62%,2.00,181.57,0.30,21.75,-3.68%,55025,,50.00,8/8/2017,21.75,0.00%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.70%,-0.07%,0.43%,-4.02%,5.79%,-0.70%,,0.69,0.78%,0.68%,1.00%,0.04%,-1.99%,-3.76%,4.90%,-8.02%,9.10%,52.42,0.00%,0.23%,,2.56,0.08,63.80,0.23%,199,,,7/21/2010,,
11,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",112.73,,13.55,,5.58,0.61,5.32,23.01,,,-0.15,-743.40%,19.91%,7.90%,-14.49%,,-126.40%,-46.80%,31.93,30.52,2.60%,5.83%,34.80%,-22.78%,0.81%,1.56,-0.50%,-2.40%,,,,0.49,3.43,53.10%,,-23.80%,2.57%,-1.64%,-5.03%,-9.11%,-9.57%,2.57%,1.75,0.09,2.06%,2.37%,1.26%,-2.29%,-7.04%,-8.52%,7.16%,-18.78%,7.16%,50.93,-0.55%,0.84%,2.70,159.04,0.64,3.59,0.28%,101412,11/9/2021 4:30:00 PM,4.62,12/23/1997,3.57,-0.56%
