no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,14098.38,35.3,11.1,,1.16,3.75,9.71,,0.51%,0.00%,2.21,85.00%,-4.97%,28.00%,,-3.70%,769.80%,31.50%,187.0,186.96,0.70%,-29.50%,77.70%,0.20%,5.18%,1.21,3.00%,12.10%,5.00%,1.5,0.9,0.44,0.44,24.70%,8.10%,3.50%,8.25%,29.63%,61.49%,87.61%,268.56%,30.65%,2.39,3.8,5.52%,6.10%,22.41%,31.58%,65.78%,3.47%,76.39%,3.47%,269.44%,78.1,3.79%,1.30%,2.0,8010.22,0.92,77.84,5.13%,7330568,1/19/2022 4:30:00 PM,67.91,10/18/2016,77.85,0.01%,69.0,100,3.12,77.84,64.5,59.81,47.15,21.07,77.95,17.0,-12.76,62.0,True
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,259151.17,34.72,11.95,8.47,4.7,19.04,21.16,24.13,3.87%,133.00%,4.2,-48.50%,-13.83%,-2.80%,4.10%,14.90%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.61%,68.40%,0.06%,0.91%,2.19,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.86%,6.65%,25.30%,24.37%,37.54%,7.73%,0.8,2.86,1.87%,2.10%,5.35%,8.47%,22.41%,0.28%,22.36%,0.28%,42.94%,74.53,0.77%,0.00%,2.0,7362.12,1.09,145.87,0.77%,8027288,2/2/2022 8:30:00 AM,148.05,12/10/2012,145.8,-0.05%,69.0,88,1.21,145.87,138.99,134.96,119.33,102.05,147.22,11.0,1.49,56.0,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,30127.45,18.53,12.33,1.79,0.14,123.04,8.51,16.76,1.29%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.72%,65.40%,0.59%,1.13%,1.58,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-0.13%,6.67%,15.23%,20.37%,35.60%,7.40%,0.47,3.3,1.90%,2.50%,4.42%,8.07%,16.08%,-0.95%,21.19%,-0.95%,41.72%,66.42,1.23%,-0.35%,2.2,1077.03,1.33,142.73,0.88%,1433005,2/2/2022 8:30:00 AM,153.5,4/4/1995,142.73,0.00%,63.0,87,1.19,142.73,137.21,132.55,123.04,100.71,144.1,12.0,7.55,54.0,True
60,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1297.16,56.35,13.93,2.59,2.1,7.76,,28.51,,0.00%,0.24,38.40%,27.62%,,21.74%,,39.50%,43.20%,94.0,59.82,5.70%,-7.97%,64.90%,0.37%,2.67%,6.18,3.90%,15.90%,-1.70%,3.0,3.0,1.89,2.0,32.90%,6.70%,3.70%,1.04%,13.36%,6.59%,26.80%,29.95%,4.30%,1.15,0.44,3.14%,3.76%,6.36%,6.07%,10.44%,-0.51%,16.77%,-3.65%,35.12%,61.82,2.18%,0.00%,2.2,258.09,1.07,13.58,2.18%,277389,,17.0,8/24/2017,13.58,0.00%,63.0,85,1.16,13.58,12.84,12.82,12.3,10.05,14.1,36.0,25.18,61.333333333333336,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,43004.02,16.08,14.79,2.44,0.5,1.97,39.71,,1.92%,35.50%,4.78,24.80%,0.19%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.34,0.50%,-19.01%,82.00%,1.10%,0.99%,1.98,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,-0.49%,7.90%,15.81%,26.27%,37.76%,13.77%,0.8,1.6,2.08%,2.39%,3.74%,10.19%,19.15%,-1.45%,22.57%,-1.45%,39.97%,68.06,0.22%,-0.09%,1.9,2767.66,0.83,76.9,0.13%,2291717,1/25/2022 8:30:00 AM,73.23,12/24/1924,76.9,0.00%,72.0,88,1.21,76.9,74.42,70.07,64.6,54.94,78.03,23.0,-4.77,61.0,True
153,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,4025.0,11.97,8.76,,1.11,0.62,0.32,2.56,0.79%,8.90%,3.59,157.50%,49.53%,20.50%,,9.80%,-78.70%,-32.10%,92.48,90.83,0.30%,-12.76%,97.30%,-0.92%,0.99%,1.98,0.50%,5.50%,-8.40%,,,0.09,0.09,,15.30%,9.50%,-0.16%,1.13%,17.73%,33.82%,49.51%,10.41%,1.11,1.32,2.93%,3.50%,3.45%,7.37%,26.13%,-3.42%,23.41%,-3.42%,63.95%,62.07,0.59%,-0.65%,2.4,451.47,0.5,42.97,-0.07%,224335,2/17/2022 4:30:00 PM,44.11,12/4/2003,42.97,0.00%,56.0,92,1.31,42.97,41.59,40.17,34.13,26.21,44.49,9.0,2.65,52.333333333333336,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,4193.27,17.06,16.62,5.69,4.96,0.69,41.52,,1.48%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.10%,-22.08%,95.10%,-1.13%,2.68%,4.05,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,3.56%,7.35%,9.61%,20.77%,50.54%,18.37%,1.15,1.52,2.61%,2.95%,8.67%,14.04%,19.13%,-0.52%,32.22%,-0.52%,53.26%,72.84,0.61%,-0.24%,1.7,438.87,0.99,59.42,0.37%,432518,2/24/2022 4:30:00 PM,61.0,4/23/2004,59.42,0.00%,78.0,93,1.32,59.42,54.94,52.33,49.92,39.05,59.84,37.0,2.66,69.33333333333333,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,51320.98,9.47,11.35,0.31,1.08,0.8,19.01,16.89,2.12%,19.90%,6.37,-286.60%,12.44%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-0.82%,92.90%,-0.75%,0.98%,1.6,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,-3.32%,-0.92%,5.51%,12.24%,43.29%,6.12%,1.33,1.88,3.31%,3.55%,1.54%,3.95%,11.00%,-5.04%,16.37%,-5.04%,46.56%,52.95,0.92%,-0.98%,2.2,5101.19,0.67,60.34,-0.07%,3416512,2/16/2022 4:30:00 PM,64.85,4/3/1972,61.2,1.43%,63.0,90,1.26,60.34,59.5,58.16,54.42,41.49,63.54,15.0,7.47,56.0,True
249,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,1582.33,20.47,14.05,1.5,0.91,1.55,37.06,33.24,,0.00%,2.17,84.30%,34.64%,0.00%,13.68%,1.60%,41.30%,8.20%,35.1,33.8,0.10%,-68.44%,95.74%,5.90%,5.52%,5.51,4.70%,7.60%,4.20%,3.0,1.3,0.1,0.1,17.30%,6.00%,4.20%,5.81%,5.06%,19.83%,35.85%,14.87%,13.78%,1.72,1.26,3.28%,3.21%,9.12%,12.83%,19.99%,3.11%,31.59%,-2.37%,43.72%,72.03,3.21%,-0.05%,2.0,338.08,1.36,44.41,3.16%,459782,12/21/2021 4:30:00 PM,51.0,4/24/1972,44.41,0.00%,69.0,72,1.01,44.41,40.85,39.56,37.03,30.9,45.49,18.0,14.84,53.0,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1230.53,36.68,17.88,1.47,2.98,2.96,10.74,27.65,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.61,0.60%,-33.84%,61.40%,3.07%,5.29%,7.25,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,1.73%,4.62%,24.74%,38.99%,44.52%,13.87%,0.7,1.18,3.55%,5.21%,4.38%,10.72%,28.04%,-3.07%,31.51%,-3.07%,56.83%,58.47,0.45%,0.00%,2.5,266.95,0.82,26.52,0.45%,217629,,28.25,6/25/2014,26.52,0.00%,53.0,91,1.27,26.52,25.48,24.07,20.75,16.91,27.36,12.0,6.52,52.0,True
