,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp500
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14576.17,76.5,18.0,77,1.21,231.92,240.65,3.76,-2.74%,2.32%,10.61%,18.97%,56.60%,47.24%,231.64,,200.37,142.59,243.05,57.166666666666664,True
16,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,33654.9,84.0,26.0,80,1.26,303.17,333.78,10.1,-0.96%,2.17%,15.89%,19.23%,65.37%,56.01%,304.24,,257.11,179.77,312.15,63.333333333333336,True
23,APA,APA Corporation,Energy,Oil & Gas E&P,10005.47,71.5,14.0,94,1.85,27.58,32.73,18.67,-6.22%,0.47%,71.62%,32.02%,149.82%,94.36%,28.4,,20.96,10.89,31.14,59.833333333333336,True
39,BAC,Bank of America Corporation,Financial,Banks - Diversified,383773.7,71.5,14.0,82,1.31,46.32,47.58,2.72,-2.46%,-1.64%,14.74%,9.25%,71.68%,52.82%,47.34,,40.77,26.63,48.69,55.833333333333336,True
104,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,29423.81,86.5,24.0,97,2.43,43.32,47.69,10.09,1.40%,5.89%,70.84%,74.57%,249.50%,182.08%,42.13,,28.58,12.66,44.79,69.16666666666667,True
114,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,37479.41,81.5,18.0,89,1.51,663.94,780.53,17.56,-0.63%,5.74%,5.37%,39.13%,102.46%,85.28%,674.78,,519.78,311.82,725.4,62.833333333333336,True
130,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,19349.67,86.5,28.0,95,2.08,107.96,128.29,18.83,-0.74%,-2.87%,58.35%,41.48%,186.06%,123.06%,110.49,,84.86,36.46,117.71,69.83333333333333,True
137,FITB,Fifth Third Bancorp,Financial,Banks - Regional,30242.52,81.5,18.0,82,1.3,44.14,48.58,10.06,-0.36%,-3.18%,17.33%,5.30%,71.75%,60.10%,44.33,,39.41,25.0,45.92,60.5,True
142,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,55294.81,76.5,19.0,96,2.23,343.51,367.7,7.04,1.97%,3.02%,15.30%,62.93%,194.40%,131.27%,335.48,,249.68,115.17,355.35,63.833333333333336,True
153,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,2069129.03,91.5,13.0,82,1.3,3014.18,3279.44,8.8,2.70%,5.82%,8.86%,28.53%,72.56%,72.05%,2932.1,,2529.15,1699.0,3032.2,62.166666666666664,True
