,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp1500
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,15204.04,76.5,17.0,75,1.21,235.69,240.65,2.1,6.14%,12.29%,16.43%,20.93%,57.08%,53.58%,231.44,,199.61,142.59,243.05,56.166666666666664,True
1,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,2538.62,81.5,27.0,75,1.2,87.99,105.57,19.98,1.55%,11.46%,12.97%,18.36%,60.34%,60.84%,83.92,,70.24,50.22,91.77,61.166666666666664,True
5,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2049.62,86.5,20.0,93,1.88,64.16,68.5,6.76,-0.06%,25.20%,47.41%,63.82%,137.64%,112.26%,56.63,,43.44,25.47,64.17,66.5,True
7,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,12264.99,74.0,20.0,75,1.2,139.8,157.33,12.54,2.28%,10.97%,11.75%,32.76%,103.79%,96.04%,139.96,,126.0,79.21,146.63,56.333333333333336,True
8,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,3738.47,89.0,37.0,81,1.32,54.21,61.0,12.53,-2.94%,1.70%,8.63%,15.41%,74.77%,70.72%,54.95,,47.21,29.73,56.95,69.0,True
12,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,138473.98,81.5,13.0,90,1.63,157.86,163.37,3.49,2.16%,18.76%,21.33%,28.29%,114.63%,81.08%,144.36,,131.63,73.06,159.0,61.5,True
14,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,7364.19,79.0,14.0,89,1.56,180.37,213.83,18.55,-1.00%,14.52%,11.46%,15.22%,111.71%,80.22%,177.05,,158.69,84.18,191.62,60.666666666666664,True
15,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34155.56,84.0,26.0,80,1.29,308.68,333.78,8.13,0.24%,6.14%,14.49%,21.72%,66.42%,58.33%,303.6,,256.14,179.77,312.14,63.333333333333336,True
22,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,2704.51,76.5,18.0,93,1.85,46.61,52.0,11.56,1.58%,17.88%,29.70%,10.30%,155.59%,126.72%,42.69,,37.82,18.35,48.97,62.5,True
23,APA,APA Corporation,Energy,Oil & Gas E&P,10741.92,71.5,14.0,94,1.99,29.62,32.73,10.5,-3.42%,12.29%,75.52%,36.64%,186.92%,108.67%,28.36,,20.85,10.72,31.14,59.833333333333336,True
25,ARCB,ArcBest Corporation,Industrials,Trucking,2804.74,84.0,24.0,96,2.27,113.95,127.56,11.94,-1.37%,29.31%,61.64%,36.96%,197.87%,158.99%,101.21,,71.96,37.05,116.79,68.0,True
27,ASIX,AdvanSix Inc.,Basic Materials,Chemicals,1378.79,94.0,19.0,95,2.17,49.72,58.0,16.65,-0.68%,12.36%,39.72%,63.19%,194.67%,148.82%,47.71,,33.53,16.54,50.95,69.33333333333333,True
35,AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,5443.82,91.5,15.0,80,1.29,60.91,62.64,2.84,1.79%,16.44%,21.25%,14.03%,69.21%,47.91%,56.39,,49.28,34.71,61.01,62.166666666666664,True
36,AX,"Axos Financial, Inc.",Financial,Banks - Regional,3576.64,91.5,19.0,81,1.33,59.81,61.38,2.62,-0.58%,10.34%,22.72%,30.54%,82.44%,59.45%,56.36,,48.48,32.48,61.28,63.833333333333336,True
39,BAC,Bank of America Corporation,Financial,Banks - Diversified,389821.95,71.5,15.0,81,1.31,47.08,47.58,1.06,-0.61%,1.47%,14.50%,11.60%,74.26%,55.23%,47.4,,40.63,26.63,48.69,55.833333333333336,True
40,BANC,"Banc of California, Inc.",Financial,Banks - Regional,1381.92,81.5,13.0,77,1.24,21.81,24.0,10.04,-0.05%,13.65%,21.56%,22.32%,65.77%,47.18%,20.92,,18.43,12.94,21.89,57.166666666666664,True
42,BDC,Belden Inc.,Industrials,Electrical Equipment & Parts,3050.0,79.0,15.0,84,1.41,67.91,74.67,9.95,3.80%,12.31%,26.56%,31.40%,90.99%,62.41%,63.47,,51.9,36.23,68.87,59.333333333333336,True
43,BFS,"Saul Centers, Inc.",Real Estate,REIT - Retail,1245.16,74.0,14.0,78,1.26,51.46,52.0,1.05,3.60%,13.01%,12.11%,20.49%,76.39%,63.70%,48.78,,43.51,29.63,51.87,55.333333333333336,True
45,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,12728.66,94.0,14.0,87,1.48,69.0,82.07,18.94,0.24%,17.40%,34.81%,46.13%,92.34%,64.18%,62.54,,48.83,34.42,69.36,65.0,True
46,BLFS,"BioLife Solutions, Inc.",Healthcare,Medical Instruments & Supplies,2096.64,79.0,26.0,77,1.24,52.19,63.43,21.54,-7.50%,20.30%,11.13%,54.60%,52.97%,23.44%,50.33,,41.95,28.15,60.67,60.666666666666664,True
50,BSIG,BrightSphere Investment Group Inc.,Financial,Asset Management,2433.86,76.5,18.0,77,1.25,30.5,31.75,4.1,1.32%,14.46%,15.28%,33.76%,73.34%,58.87%,29.22,,23.95,17.45,30.88,57.166666666666664,True
61,CASH,"Meta Financial Group, Inc.",Financial,Banks - Regional,2057.38,89.0,17.0,86,1.44,64.77,68.5,5.76,3.13%,7.79%,34.18%,30.13%,95.00%,79.10%,61.34,,50.41,32.32,65.96,64.0,True
63,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,35029.28,79.0,16.0,81,1.32,103.79,123.33,18.83,-1.35%,3.07%,12.56%,22.13%,80.86%,66.76%,104.34,,88.48,56.56,107.88,58.666666666666664,True
75,CNXC,Concentrix Corporation,Technology,Information Technology Services,9626.47,106.5,13.0,92,1.8,187.39,208.67,11.36,3.91%,1.34%,14.16%,23.89%,,87.27%,181.57,,156.51,80.0,188.78,70.5,True
77,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,9769.15,76.5,17.0,88,1.53,65.37,79.33,21.36,-1.04%,22.14%,15.95%,12.80%,118.04%,52.52%,59.04,,53.59,30.11,69.26,60.5,True
79,CPT,Camden Property Trust,Real Estate,REIT - Residential,17236.33,74.0,36.0,77,1.24,165.06,168.8,2.27,3.75%,7.02%,14.50%,37.05%,67.41%,68.06%,162.03,,133.39,94.59,168.21,62.333333333333336,True
80,CR,Crane Co.,Industrials,Specialty Industrial Machinery,6312.77,81.5,17.0,78,1.26,106.96,126.0,17.8,0.48%,15.69%,7.61%,12.99%,75.48%,38.81%,102.9,,94.34,63.24,108.64,58.833333333333336,True
81,CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,10192.05,79.0,20.0,96,2.39,180.45,193.88,7.44,0.54%,29.38%,27.93%,74.38%,212.01%,183.27%,166.2,,116.12,56.2,183.88,65.0,True
85,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,1900.02,79.0,22.0,97,2.49,57.83,65.75,13.7,-0.86%,28.41%,53.37%,65.01%,283.94%,221.67%,54.41,,37.87,16.65,61.48,66.0,True
89,DCOM,"Dime Community Bancshares, Inc.",Financial,Banks - Regional,1528.44,86.5,26.0,82,1.35,37.28,40.6,8.91,-1.45%,7.13%,12.26%,8.94%,80.22%,54.14%,36.49,,32.8,20.67,38.35,64.83333333333333,True
91,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,11356.99,94.0,15.0,80,1.29,428.7,476.33,11.11,0.00%,16.59%,-1.04%,25.61%,66.34%,45.65%,402.54,,366.68,241.24,451.49,63.0,True
95,DIOD,Diodes Incorporated,Technology,Semiconductors,4943.12,79.0,15.0,81,1.32,109.95,117.67,7.02,0.84%,24.10%,23.50%,55.18%,68.96%,54.10%,101.14,,84.06,61.74,111.35,58.333333333333336,True
