"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",41336.03,34.13,25.06,2.28,6.41,7.85,35.70,39.75,0.63%,19.40%,3.94,71.00%,10.04%,22.90%,15.00%,8.50%,0.20%,8.10%,301.00,300.03,0.20%,-17.45%,91.10%,0.22%,1.63%,2.41,11.50%,23.70%,14.70%,2.20,1.60,0.53,0.00,54.00%,21.60%,18.70%,-2.07%,-4.60%,-14.06%,-24.21%,10.26%,-15.86%,1.05,4.23,3.24%,3.24%,0.63%,-4.24%,-11.60%,-17.40%,9.16%,-25.19%,12.62%,48.95,2.14%,-1.31%,,2031.22,0.95,134.33,0.80%,1932698,2/22/2022 4:30:00 PM,164.94,11/18/1999,134.00,-0.25%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",14059.16,38.13,11.15,,1.16,3.25,7.75,26.53,0.48%,4.40%,2.17,347.00%,-11.67%,24.80%,,5.50%,,39.60%,185.40,184.47,0.70%,-32.07%,84.30%,8.19%,5.35%,1.12,2.90%,11.00%,5.00%,1.60,1.00,0.37,0.37,24.70%,7.80%,3.50%,0.06%,18.54%,70.80%,74.57%,157.90%,39.21%,2.27,5.54,8.93%,7.01%,6.60%,23.21%,65.95%,-10.16%,55.73%,-10.16%,205.94%,60.06,-0.20%,4.51%,2.00,8821.85,1.16,82.94,4.30%,10226133,1/19/2022 4:30:00 PM,73.27,10/18/2016,83.07,0.16%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06%,9.31%,11.84%,11.02%,15.69%,9.13%,,0.29,1.58%,1.20%,4.41%,7.69%,9.97%,-3.55%,12.03%,-3.55%,18.58%,65.72,-0.33%,0.58%,,678.70,2.28,19.84,0.25%,1550373,,,8/15/2018,19.85,0.05%
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1217.48,43.53,,,,1.30,1352.76,,,,0.22,,,,,,,,125.00,100.00,,,74.60%,8.13%,0.07%,0.25,,,,1.70,1.70,0.00,0.00,,,,-0.10%,-0.10%,-0.61%,0.10%,,0.10%,,0.02,0.14%,0.23%,-0.01%,0.02%,-0.15%,-0.41%,0.52%,-2.50%,2.63%,49.41,0.10%,-0.10%,,279.01,0.61,9.75,0.00%,170474,,,3/25/2021,9.75,0.00%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",37.94,,,,1.26,1.23,3.19,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.10%,-2.45%,0.08%,0.03,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,-4.84%,-25.32%,-16.90%,-57.55%,-75.31%,10.23%,1.44,0.12,7.76%,9.01%,-14.65%,-25.63%,-48.32%,-59.86%,18.00%,-80.53%,18.00%,36.06,-6.35%,-3.08%,1.50,681.43,0.02,1.18,-9.23%,13862,,32.50,1/29/2008,1.26,6.78%
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",203.37,,,,,1.37,508.43,,,,-0.09,,,,,,,,20.71,15.16,26.79%,0.00%,61.60%,,1.24%,5.02,,,,0.40,0.40,0.00,0.00,,,,0.20%,0.20%,0.72%,,,0.31%,,0.03,0.12%,0.24%,-0.12%,-0.02%,0.16%,-1.31%,0.82%,-1.31%,5.14%,49.09,-0.20%,0.00%,,37.29,0.00,9.82,-0.20%,101,,,11/10/2021,,
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,,,,,,-0.09,,,,,,,,,10.72,,,7.66%,,0.00%,0.08,,,,,,,,,,,-1.60%,-1.70%,-0.40%,,,-1.89%,,0.09,0.12%,0.31%,-1.45%,-1.35%,-1.00%,-6.55%,0.20%,-6.55%,0.82%,41.88,0.00%,0.00%,,5.27,0.00,9.84,0.00%,0,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,67.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.82%,13.38%,-34.63%,,,-39.25%,,0.04,1.65%,13.50%,8.89%,-16.34%,-22.06%,-49.25%,61.63%,-49.25%,61.63%,51.37,0.00%,0.03%,,33.31,0.01,0.34,0.03%,200,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",405.79,,,,4057.86,1.22,2.51,,,,-11.63,82.30%,52.60%,30.90%,,,-705.00%,,20.89,13.65,1.45%,0.00%,59.60%,9.59%,4.60%,3.80,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,14.02%,1.20%,-11.80%,-29.68%,-19.33%,-19.83%,1.55,1.14,5.69%,6.32%,7.38%,-2.88%,-25.17%,-23.64%,23.31%,-61.12%,35.28%,55.92,3.81%,-2.51%,1.60,165.10,0.54,19.36,1.20%,89708,,48.75,8/8/2017,19.36,0.00%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.61%,-12.50%,-12.32%,-19.03%,-11.57%,-13.69%,,1.58,2.70%,1.91%,-6.60%,-9.89%,-13.98%,-14.63%,4.99%,-20.05%,4.99%,38.91,0.75%,-2.08%,,3.97,0.79,55.46,-1.34%,3137,,,7/21/2010,55.40,-0.10%
