no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
18,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,14463.66,23.28,17.58,1.39,1.32,4.52,23.92,21.97,1.74%,25.10%,9.88,4.40%,10.26%,2.20%,16.70%,0.70%,25.90%,3.10%,62.85,62.08,0.20%,-4.77%,,,5.60%,5.74,5.50%,19.10%,11.80%,1.2,0.3,0.32,0.0,45.10%,8.00%,5.90%,1.21%,-0.03%,15.12%,16.25%,50.86%,46.04%,1.26,6.22,3.48%,2.45%,1.62%,4.54%,15.12%,-3.33%,14.46%,-3.33%,64.13%,57.06,1.32%,0.81%,2.2,606.14,1.24,234.95,2.14%,754343,11/15/2021 4:30:00 PM,254.38,11/29/2001,234.95,0.00%,63.0,82,1.21,234.95,231.56,225.07,204.44,143.15,243.05,17.0,8.27,54.0,True
24,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2512.53,5.1,6.73,0.51,0.66,0.96,,3.4,,0.00%,17.07,218.90%,-26.13%,115.40%,10.00%,12.00%,40.70%,25.50%,29.02,27.16,0.60%,-17.20%,,,13.42%,6.67,8.20%,20.50%,7.80%,0.8,0.8,0.64,0.9,57.00%,16.90%,13.20%,-3.87%,-2.63%,18.11%,17.34%,54.60%,59.79%,1.12,2.97,3.30%,3.19%,-0.74%,3.63%,21.07%,-7.67%,14.37%,-7.67%,74.65%,51.76,-0.45%,1.10%,2.0,546.62,1.06,87.71,0.64%,581281,11/3/2021 8:30:00 AM,105.57,7/21/2004,88.0,0.33%,69.0,85,1.26,87.71,88.43,84.75,72.6,50.22,95.0,27.0,20.36,60.333333333333336,True
79,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2182.68,28.05,18.21,1.4,3.77,4.16,8.05,22.16,,0.00%,2.26,190.80%,30.19%,24.70%,20.00%,9.50%,155.80%,60.10%,33.54,32.68,2.50%,-5.94%,89.40%,0.81%,2.20%,2.19,11.80%,15.70%,9.80%,4.2,2.7,0.09,0.09,43.20%,16.40%,13.40%,1.99%,9.57%,26.77%,52.97%,117.00%,117.89%,1.49,3.07,5.92%,4.39%,9.68%,24.24%,52.63%,2.29%,52.26%,2.29%,147.59%,71.54,6.23%,1.97%,1.8,328.09,2.15,68.73,8.32%,705273,11/3/2021 4:30:00 PM,68.5,7/11/2000,68.1,-0.92%,75.0,96,1.84,68.73,63.01,55.7,45.19,27.76,68.97,21.0,-0.33,64.0,True
80,ACM,AECOM,Industrials,Engineering & Construction,USA,10271.72,36.46,18.58,1.99,0.77,3.81,8.36,18.07,,0.00%,1.97,83.70%,15.42%,26.20%,18.29%,-5.20%,,-6.00%,143.81,140.52,0.20%,-17.23%,88.60%,-0.84%,1.46%,2.29,1.40%,6.20%,11.00%,1.1,1.1,0.8,0.82,6.00%,4.70%,1.30%,-0.72%,5.17%,8.49%,9.96%,39.84%,44.19%,1.48,2.13,4.10%,2.69%,1.63%,6.91%,12.29%,-4.03%,17.74%,-4.03%,56.36%,57.46,-0.16%,1.70%,1.6,897.7,0.68,72.88,1.53%,611139,11/15/2021 8:30:00 AM,84.44,5/10/2007,72.88,0.00%,81.0,77,1.12,72.88,71.81,68.29,64.98,46.61,75.94,19.0,15.86,59.0,True
171,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,11824.11,8.29,13.88,3.17,1.61,2.2,4.17,82.69,1.65%,7.30%,16.4,-16.70%,-6.04%,15.80%,2.62%,4.30%,158.50%,10.60%,84.8,66.68,0.20%,-34.17%,65.30%,-2.18%,1.03%,2.04,4.50%,38.40%,9.20%,,,0.37,0.37,,25.40%,31.70%,-1.51%,1.10%,8.70%,22.09%,88.05%,91.23%,0.95,3.84,3.34%,2.29%,-0.99%,4.06%,20.04%,-5.82%,16.03%,-5.82%,113.20%,52.18,-0.46%,1.25%,2.3,338.35,0.58,137.12,0.79%,194575,11/2/2021 4:30:00 PM,160.33,11/14/1978,137.12,0.00%,59.0,82,1.21,137.12,139.74,137.0,128.34,79.21,146.63,19.0,16.93,53.333333333333336,True
255,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,34926.72,36.16,28.34,2.68,4.4,4.12,12.77,34.8,1.15%,39.30%,4.63,19.40%,7.91%,15.30%,13.50%,5.40%,18.30%,15.60%,207.0,205.46,0.30%,-5.85%,85.10%,-0.37%,0.86%,1.81,3.70%,12.70%,9.80%,1.3,1.3,0.6,0.65,36.50%,15.20%,11.80%,1.60%,4.15%,16.54%,16.28%,44.33%,35.36%,0.69,3.62,2.64%,1.97%,3.34%,5.49%,17.61%,0.17%,14.19%,0.17%,50.27%,63.28,0.55%,0.78%,2.3,969.33,0.93,169.68,1.33%,897484,10/28/2021 4:30:00 PM,178.58,6/20/1984,169.68,0.00%,59.0,79,1.15,169.68,164.64,161.19,144.5,112.92,171.18,13.0,5.25,50.333333333333336,True
273,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,30219.98,131.5,42.37,4.41,9.12,5.11,50.79,,0.63%,80.70%,1.89,-29.90%,46.14%,5.40%,29.83%,2.10%,-465.10%,11.20%,116.97,116.5,0.10%,-38.85%,83.00%,-2.37%,1.80%,1.73,2.00%,3.90%,5.60%,1.3,0.8,0.36,0.36,31.00%,27.80%,6.40%,-9.91%,-8.85%,4.09%,41.21%,78.52%,68.48%,1.59,11.55,5.81%,3.94%,-3.96%,4.54%,31.57%,-10.96%,23.30%,-10.96%,93.94%,48.64,2.48%,1.90%,2.4,1213.44,0.72,259.53,4.42%,876440,11/3/2021 4:30:00 PM,262.9,2/22/1994,260.0,0.18%,56.0,90,1.42,259.53,269.29,249.01,197.78,133.82,291.48,21.0,1.3,55.666666666666664,True
330,AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA,7393.47,,100.71,,24.34,14.11,16.46,489.63,,,-0.83,-27.30%,22.79%,-22.50%,,-6.80%,54.10%,58.30%,36.44,34.76,5.20%,-2.46%,84.10%,3.50%,3.88%,1.71,-9.50%,-11.40%,-13.40%,6.2,5.8,0.0,0.0,62.10%,-18.40%,-18.20%,7.10%,-0.72%,42.77%,98.85%,105.00%,112.12%,1.12,13.38,9.21%,6.26%,13.97%,22.03%,74.86%,-4.80%,47.89%,-4.80%,162.33%,65.67,5.69%,5.25%,2.3,789.52,1.86,216.66,11.24%,1471143,11/30/2021 4:30:00 PM,210.81,10/10/2012,218.0,0.62%,59.0,96,1.91,216.66,190.77,178.7,124.4,82.59,227.59,14.0,-2.7,56.333333333333336,True
341,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA,6950.34,14.79,8.07,0.82,3.06,2.58,6.16,5.48,0.02%,0.30%,11.21,28.40%,13.73%,-13.90%,18.14%,-4.00%,89.00%,16.20%,41.1,40.33,0.70%,4.15%,,-2.58%,1.56%,3.2,6.30%,18.90%,10.40%,,,0.94,0.0,,36.70%,22.10%,-5.29%,-10.80%,2.09%,1.44%,73.94%,63.03%,1.38,6.07,4.21%,2.80%,-2.66%,2.10%,6.51%,-10.47%,16.61%,-10.47%,82.15%,48.81,1.10%,2.35%,2.1,196.51,1.38,171.56,3.47%,270358,11/1/2021 8:30:00 AM,216.17,11/21/1997,171.56,0.00%,66.0,90,1.39,171.56,175.57,168.28,161.22,94.47,191.62,15.0,26.0,57.0,True
348,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA,5359.06,24.21,18.13,1.25,1.65,5.09,39.12,24.57,,0.00%,4.59,-38.10%,-13.35%,-2.40%,19.35%,10.30%,181.60%,59.10%,47.74,46.88,0.30%,-17.62%,96.60%,-0.08%,1.86%,1.76,8.50%,23.70%,7.60%,1.4,1.4,0.81,0.81,33.30%,10.40%,6.80%,-3.75%,-1.06%,-1.60%,15.20%,69.40%,62.97%,0.26,5.1,3.93%,5.32%,-0.06%,2.95%,16.53%,-9.89%,20.31%,-9.89%,76.82%,52.06,-0.20%,1.17%,1.7,494.68,0.47,112.3,0.96%,232015,11/4/2021 4:30:00 PM,133.33,11/13/2001,112.3,0.00%,78.0,87,1.3,112.3,112.83,109.06,96.56,65.39,124.62,20.0,18.73,61.666666666666664,True
