no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,257179.16,34.46,11.86,8.4,4.66,18.9,21.0,23.95,3.90%,133.00%,4.2,-48.50%,-13.83%,-2.80%,4.10%,14.90%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.61%,68.40%,0.06%,0.91%,2.22,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,0.87%,6.54%,23.90%,20.98%,36.19%,6.91%,0.8,2.81,1.60%,2.10%,4.85%,8.07%,21.63%,0.24%,23.73%,0.24%,41.85%,72.56,1.01%,0.22%,2.0,7273.4,1.31,144.76,1.23%,9527628,2/2/2022 8:30:00 AM,148.05,12/10/2012,144.65,-0.08%,69.0,89,1.22,144.76,138.46,134.47,119.17,102.05,144.42,11.0,2.27,56.333333333333336,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29863.6,18.37,12.23,1.78,0.14,121.97,8.43,16.61,1.30%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.72%,65.40%,0.59%,1.13%,1.59,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-0.53%,3.88%,13.71%,16.98%,34.35%,6.46%,0.47,3.37,1.94%,2.54%,3.79%,7.52%,15.15%,-1.48%,22.19%,-1.48%,40.48%,64.07,-0.05%,0.98%,2.2,1070.02,1.03,141.48,0.93%,1105311,2/2/2022 8:30:00 AM,153.5,4/4/1995,141.48,0.00%,63.0,88,1.2,141.48,136.69,132.07,122.96,100.71,143.61,12.0,8.5,54.333333333333336,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,42948.1,16.06,14.77,2.43,0.5,1.97,39.66,,1.93%,35.50%,4.78,24.80%,0.19%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.34,0.50%,-16.76%,82.00%,1.10%,0.99%,1.98,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,0.14%,7.34%,14.71%,24.94%,37.34%,13.63%,0.8,1.61,1.96%,2.38%,3.99%,10.50%,19.10%,-1.58%,23.75%,-1.58%,39.79%,67.71,0.85%,0.04%,1.9,2767.99,0.73,76.8,0.89%,2007115,1/25/2022 8:30:00 AM,73.23,12/24/1924,76.8,0.00%,72.0,89,1.21,76.8,74.13,69.79,64.54,54.94,78.03,23.0,-4.65,61.333333333333336,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,51355.0,9.48,11.36,0.31,1.08,0.8,19.03,16.9,2.12%,19.90%,6.37,-286.60%,12.44%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-0.82%,92.90%,-0.75%,0.98%,1.6,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,-3.70%,-2.47%,3.94%,11.79%,39.54%,6.19%,1.33,1.93,3.33%,3.57%,1.56%,4.27%,11.19%,-4.97%,16.45%,-4.97%,46.66%,53.12,1.07%,1.27%,2.2,5095.32,0.82,60.38,2.36%,4189283,2/16/2022 4:30:00 PM,64.85,4/3/1972,60.38,0.00%,63.0,91,1.26,60.38,59.43,58.05,54.36,41.17,63.54,16.0,7.4,56.666666666666664,True
360,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,35868.13,13.38,10.42,0.51,2.67,6.29,4.6,171.62,1.47%,47.40%,23.06,-12.30%,15.31%,7.60%,26.39%,-0.40%,859.90%,-3.60%,116.4,111.55,0.40%,-23.27%,84.80%,-0.35%,0.84%,1.42,0.60%,18.70%,5.50%,,,0.88,4.19,47.50%,10.30%,7.90%,-2.17%,-6.11%,0.26%,14.80%,41.26%,2.26%,1.53,9.93,3.29%,3.43%,0.40%,0.75%,10.70%,-7.18%,10.69%,-7.18%,44.97%,49.98,1.27%,1.22%,1.8,661.36,1.13,308.49,2.51%,745585,1/26/2022 4:30:00 PM,359.0,9/15/2005,308.49,0.00%,75.0,90,1.23,308.49,306.72,306.57,278.93,212.8,332.37,21.0,16.37,62.0,True
409,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,111559.23,18.2,13.95,1.42,0.8,3.06,20.32,23.48,1.00%,24.10%,24.72,-2.60%,13.22%,13.90%,12.86%,9.00%,602.40%,14.90%,243.4,241.15,0.20%,-0.77%,92.60%,0.14%,0.81%,1.72,4.50%,12.30%,9.10%,,,0.61,0.64,,4.60%,3.10%,-3.41%,-0.50%,3.57%,18.32%,55.00%,-2.94%,1.06,12.29,2.34%,2.85%,0.64%,1.18%,11.08%,-4.69%,14.65%,-4.69%,56.04%,51.13,0.34%,0.99%,1.9,1139.56,0.77,449.89,1.33%,878161,1/26/2022 8:30:00 AM,491.32,10/30/2001,449.89,0.00%,72.0,95,1.37,449.89,447.11,445.76,405.34,288.32,472.01,18.0,9.21,61.666666666666664,True
688,AXP,American Express Company,Financial,Credit Services,USA,156305.21,19.81,17.43,0.57,3.65,6.37,5.72,18.7,0.87%,20.00%,9.99,-52.90%,17.14%,-5.70%,34.57%,2.20%,73.70%,23.30%,786.0,766.95,0.10%,-38.18%,86.70%,-0.48%,1.31%,2.35,3.70%,28.40%,2.10%,,,1.41,4.96,68.60%,21.40%,16.20%,2.05%,17.57%,8.11%,20.24%,54.00%,21.01%,1.14,5.23,2.30%,3.18%,10.64%,15.54%,17.58%,-0.37%,29.53%,-0.37%,57.03%,72.43,1.96%,0.95%,2.4,4289.54,0.96,197.98,2.93%,4133886,1/25/2022 8:30:00 AM,195.52,4/4/1972,197.76,-0.11%,56.0,94,1.33,197.98,180.53,172.2,168.59,126.08,198.72,12.0,-1.24,54.0,True
715,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,400340.18,13.42,12.61,0.56,8.4,1.62,0.46,,1.76%,23.90%,3.56,-32.00%,16.25%,7.40%,23.89%,0.80%,69.00%,7.40%,8430.7,8103.31,0.10%,-1.54%,72.80%,0.04%,0.74%,1.15,0.90%,10.50%,7.30%,,,1.11,2.03,,89.10%,54.90%,-3.22%,-0.25%,1.57%,16.31%,38.88%,7.42%,1.41,1.32,2.55%,2.98%,2.02%,3.68%,10.31%,-4.63%,12.22%,-4.63%,41.80%,53.88,-0.44%,1.22%,2.4,51647.39,0.82,47.79,0.78%,42256112,1/19/2022 8:30:00 AM,51.73,6/5/1979,47.75,-0.08%,56.0,90,1.23,47.79,46.92,46.17,43.36,33.7,50.11,16.0,8.24,54.0,True
919,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,52331.07,15.73,10.78,1.24,17.33,1.34,0.26,,2.19%,31.20%,3.96,-15.10%,21.21%,7.20%,12.65%,4.30%,-2.80%,-15.50%,844.09,823.92,0.10%,0.00%,85.50%,-0.82%,1.11%,2.06,0.70%,8.50%,2.80%,,,0.66,0.66,,93.70%,,-2.18%,-2.15%,3.87%,15.67%,45.06%,7.15%,1.09,1.76,2.42%,3.37%,2.58%,4.52%,13.32%,-3.71%,14.41%,-3.71%,48.52%,56.13,0.16%,1.07%,2.1,4436.07,1.01,62.23,1.24%,4486063,1/18/2022 8:30:00 AM,68.75,12/4/1969,62.23,0.00%,66.0,92,1.28,62.23,60.63,59.69,54.98,41.9,64.63,29.0,10.48,62.333333333333336,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,28103.07,,16.79,,1.37,1.45,6.49,58.06,2.50%,,-0.36,2200.00%,35.36%,-27.10%,50.90%,5.60%,103.70%,0.90%,851.0,829.21,0.10%,-99.01%,93.60%,1.00%,8.10%,7.7,-0.10%,-0.20%,-70.90%,1.6,1.2,0.4,0.4,19.70%,3.00%,-0.20%,5.23%,4.84%,16.42%,34.60%,22.25%,19.66%,1.52,1.15,4.23%,4.57%,5.37%,11.25%,18.94%,-1.67%,26.47%,-1.67%,53.55%,63.28,3.23%,-2.28%,2.0,8722.8,0.73,28.79,0.88%,6366222,1/20/2022 8:30:00 AM,32.41,10/3/1961,28.79,0.00%,69.0,81,1.09,28.79,27.42,25.97,24.24,18.75,29.28,4.0,12.57,51.333333333333336,True
