rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_sp500
44,65.5,COF,Capital One Financial Corporation,23.0,2.0,92,1.95,166.54,183.18,9.99,$66.46,$177.95,169.65,162.14,132.01,81.5,True
56,64.83333333333333,ALGN,"Align Technology, Inc.",18.0,1.8,90,1.82,662.06,745.36,12.58,$293.33,$721.45,694.67,652.2,577.6,86.5,True
88,63.5,WFC,Wells Fargo & Company,30.0,2.2,84,1.59,47.02,50.35,7.08,$20.76,$51.41,48.46,46.0,39.09,76.5,True
94,63.333333333333336,ULTA,"Ulta Beauty, Inc.",47.0,2.3,69,1.27,368.03,436.65,18.65,$200.50,$414.98,364.25,349.91,318.04,74.0,True
108,62.833333333333336,DFS,Discover Financial Services,20.0,2.2,92,1.95,127.19,135.94,6.88,$51.74,$135.69,129.68,124.26,103.83,76.5,True
118,62.333333333333336,TPR,"Tapestry, Inc.",19.0,2.3,94,2.23,38.02,53.5,40.72,$14.14,$49.67,42.87,42.0,39.49,74.0,True
134,61.666666666666664,AMP,"Ameriprise Financial, Inc.",25.0,1.9,76,1.38,268.53,292.5,8.93,$141.82,$276.59,266.26,254.55,229.44,84.0,True
138,61.666666666666664,JCI,Johnson Controls International plc,27.0,2.1,79,1.44,69.02,81.25,17.72,$39.80,$75.68,73.0,70.63,59.43,79.0,True
144,61.5,CRL,"Charles River Laboratories International, Inc.",15.0,1.8,83,1.56,416.69,448.0,7.51,$197.33,$443.56,417.09,395.08,314.27,86.5,True
151,61.333333333333336,SYF,Synchrony Financial,20.0,2.1,85,1.61,49.91,56.95,14.11,$24.20,$52.10,49.85,48.43,41.36,79.0,True
159,61.166666666666664,EPAM,"EPAM Systems, Inc.",21.0,2.0,81,1.5,575.44,653.4,13.55,$301.67,$642.63,607.58,562.36,434.97,81.5,True
161,61.0,CBRE,"CBRE Group, Inc.",21.0,2.1,83,1.55,100.45,116.43,15.91,$43.17,$98.93,94.87,90.03,77.95,79.0,True
173,60.5,RJF,"Raymond James Financial, Inc.",15.0,1.8,80,1.47,94.68,159.0,67.93,$67.66,$143.13,135.84,132.15,118.09,86.5,True
175,60.333333333333336,SCHW,The Charles Schwab Corporation,15.0,2.1,87,1.65,74.42,83.83,12.64,$33.79,$76.37,72.31,71.07,63.77,79.0,True
177,60.166666666666664,TECH,Bio-Techne Corporation,11.0,1.8,83,1.53,493.82,540.67,9.49,$228.67,$504.34,479.92,465.81,393.9,86.5,True
179,60.166666666666664,CARR,Carrier Global Corporation,17.0,2.0,82,1.51,52.46,59.82,14.03,$28.58,$58.42,56.34,52.02,43.34,81.5,True
187,59.833333333333336,KEYS,"Keysight Technologies, Inc.",20.0,2.0,78,1.42,165.42,179.67,8.61,$90.62,$178.32,168.23,160.75,143.84,81.5,True
195,59.666666666666664,UAA,"Under Armour, Inc.",19.0,2.5,91,1.85,20.79,27.04,30.06,$9.66,$26.45,24.13,21.99,20.89,69.0,True
196,59.5,TRMB,Trimble Inc.,18.0,2.0,79,1.43,84.14,95.25,13.2,$46.78,$96.38,89.87,85.08,75.62,81.5,True
200,59.5,INTU,Intuit Inc.,22.0,1.8,70,1.28,543.97,596.52,9.66,$295.37,$582.96,541.13,517.79,424.76,86.5,True
212,59.166666666666664,MS,Morgan Stanley,12.0,2.0,84,1.59,99.05,104.51,5.51,$45.86,$105.65,101.44,95.01,80.58,81.5,True
215,59.166666666666664,MHK,"Mohawk Industries, Inc.",20.0,2.4,86,1.64,179.23,227.33,26.84,$90.21,$231.80,201.63,195.56,178.44,71.5,True
217,59.0,GS,"The Goldman Sachs Group, Inc.",13.0,2.1,85,1.6,380.0,426.38,12.21,$185.52,$420.73,401.15,382.2,327.45,79.0,True
233,58.5,HCA,"HCA Healthcare, Inc.",15.0,2.0,79,1.45,247.79,266.62,7.6,$114.38,$255.28,247.58,232.89,193.84,81.5,True
239,58.5,ZBRA,Zebra Technologies Corporation,13.0,2.2,86,1.63,510.98,580.0,13.51,$246.83,$588.35,568.24,545.32,471.0,76.5,True
242,58.333333333333336,CDW,CDW Corporation,21.0,2.1,75,1.36,185.71,201.6,8.56,$105.87,$199.45,193.78,182.8,160.42,79.0,True
248,58.0,KIM,Kimco Realty Corporation,20.0,2.3,80,1.46,21.74,24.15,11.09,$10.04,$22.45,21.54,21.13,18.69,74.0,True
249,58.0,IQV,IQVIA Holdings Inc.,17.0,1.7,68,1.25,241.55,278.16,15.16,$146.00,$263.61,252.26,248.56,211.34,89.0,True
250,58.0,LKQ,LKQ Corporation,13.0,1.5,67,1.24,51.25,62.11,21.19,$26.73,$52.99,51.02,50.29,43.77,94.0,True
252,57.833333333333336,MSI,"Motorola Solutions, Inc.",19.0,1.8,68,1.25,234.31,253.36,8.13,$149.81,$244.55,232.85,224.73,192.77,86.5,True
