"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research",47143.09,49.15,0.49%,12.00%,5.70%,303.00,0.10%,-25.37%,91.30%,1.16%,1.53%,20.40%,-1.96%,2.94%,-1.95%,22.55%,43.22%,33.16%,0.99,1.99%,2.22%,-0.01%,11.36%,-10.12%,53.43%,56.38,,161.39,2.29%,1190159,175.88
"AA","Alcoa Corporation","Basic Materials","Aluminum",9343.77,11.79,0.79%,28.00%,-3.70%,187.00,0.10%,-17.99%,78.10%,-0.83%,4.51%,12.60%,3.62%,-9.59%,21.68%,27.08%,205.55%,119.65%,2.41,4.71%,-1.22%,-1.52%,25.76%,-16.28%,187.59%,48.73,1.80,48.20,-4.80%,8661800,58.85
"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,2.15%,5.40%,4.36%,-0.43%,-1.44%,-2.16%,,0.69%,2.29%,3.69%,3.24%,-5.35%,10.25%,63.91,,18.40,-0.70%,502171,
"AAC","Ares Acquisition Corporation","Financial","Shell Companies",1228.72,101.44,,,,124.87,,,59.30%,0.82%,0.08%,,0.31%,1.03%,1.23%,0.72%,,-0.30%,,0.37%,0.08%,0.50%,0.48%,-1.70%,3.47%,56.13,,9.83,-0.10%,226652,
"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services",67.74,,,-36.60%,-17.20%,33.68,18.70%,0.00%,16.70%,0.08%,0.16%,-51.50%,-6.73%,-12.34%,-16.60%,-26.78%,90.59%,81.51%,1.68,6.33%,-7.37%,-11.13%,-34.56%,-89.11%,93.69%,36.56,1.00,2.15,-0.46%,14149,30.50
"AACI","ARMADA ACQUISITION CORP I","Financial","Shell Companies",,,,,,,25.41%,,,,,,,,,,,0.41%,,,-0.18%,-0.18%,-0.18%,-0.71%,0.31%,,,9.75,-0.41%,190750,
"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,41.98%,,,,0.00%,0.40%,,,,1.53%,,0.42%,-0.23%,0.18%,0.18%,-1.10%,1.64%,48.51,,9.92,-0.30%,165,
"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology",488.24,,,30.90%,,20.87,0.10%,0.00%,14.60%,34.49%,1.35%,,-12.09%,-12.64%,-31.10%,-19.56%,-5.67%,61.70%,1.42,4.97%,-3.56%,-8.08%,-3.90%,-49.08%,77.20%,46.28,1.70,25.36,6.69%,390658,47.67
"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund",,,0.31%,,,,,,,,,,-1.04%,-0.32%,-5.52%,0.25%,17.86%,7.62%,,0.55%,-0.80%,-0.49%,-0.19%,-6.13%,16.31%,47.54,,65.11,-0.64%,1255,
"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",121.21,,,7.90%,,31.93,3.10%,2.61%,45.00%,-0.29%,0.84%,,-1.29%,-2.80%,1.33%,-4.98%,33.10%,1.06%,1.76,1.62%,-2.99%,-1.74%,-4.60%,-15.16%,29.76%,38.97,2.70,3.75,-1.83%,276551,4.62
