"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research",45085.90,47.01,0.52%,12.00%,5.70%,303.00,0.20%,-14.71%,90.30%,-0.04%,0.83%,20.40%,-7.30%,-4.18%,-14.00%,10.49%,29.08%,27.35%,0.99,2.52%,-6.31%,-6.18%,1.12%,-14.99%,1.31%,-17.46%,31.78%,33.03,2.00,148.21,-1.78%,1761703,175.88
"AA","Alcoa Corporation","Basic Materials","Aluminum",8724.37,10.83,0.86%,28.00%,-3.70%,187.00,0.10%,-52.45%,76.10%,-3.40%,4.79%,12.60%,-4.08%,1.26%,4.87%,16.32%,133.82%,101.87%,2.41,4.76%,-9.53%,-10.47%,10.31%,-23.95%,-1.57%,-23.95%,153.06%,38.73,2.20,43.78,-5.91%,15156292,59.19
"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-1.84%,-0.68%,-2.49%,-7.32%,-0.45%,-7.02%,,0.78%,-2.38%,-0.74%,-0.80%,-4.85%,3.21%,-9.08%,5.90%,39.88,,17.67,0.37%,170363,
"AAC","Ares Acquisition Corporation","Financial","Shell Companies",1223.75,59.70,,,,125.00,,,67.60%,11.78%,0.08%,,-0.61%,-0.51%,0.82%,0.00%,,-0.81%,,0.39%,-0.42%,-0.16%,-0.05%,-0.81%,0.72%,-2.20%,2.95%,41.35,,9.78,-0.10%,467476,
"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services",56.30,,,-36.60%,-17.20%,31.19,18.70%,0.00%,17.50%,4.78%,0.10%,-53.20%,-6.82%,-27.75%,-41.01%,-47.44%,34.43%,37.82%,1.67,4.46%,-26.93%,-32.88%,-51.34%,-48.28%,-8.54%,-92.41%,32.74%,16.03,1.00,1.50,-8.54%,35397,32.50
"AACI","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,25.41%,,,,,,0.82%,,,,,1.33%,,,0.23%,0.23%,0.23%,-1.11%,4.71%,-1.11%,4.71%,,,9.78,-1.01%,101595,
"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,41.98%,,,,0.00%,1.31%,,,,2.35%,,0.55%,0.59%,1.00%,1.14%,-4.75%,2.35%,-4.75%,2.77%,59.18,,10.03,0.00%,204,
"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,,,,,-3.31%,,,,,-0.02%,,,1.93%,1.93%,1.93%,-13.33%,5.57%,-13.33%,5.57%,,,0.52,4.02%,20300,
"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology",425.72,,,30.90%,,9.51,0.10%,0.00%,54.40%,,,,-15.79%,-20.38%,-17.50%,-24.60%,-16.22%,46.19%,1.41,9.25%,-18.45%,-24.86%,-23.44%,-39.10%,-0.30%,-59.66%,40.38%,31.30,2.00,20.09,-6.51%,166628,47.67
"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund",,,0.33%,,,,,,,,,,-3.78%,-5.67%,-9.47%,-5.13%,8.29%,0.84%,,0.67%,-4.41%,-4.65%,-5.57%,-7.46%,1.17%,-11.12%,7.14%,32.76,,61.65,0.41%,6897,
