,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp500
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14674.31,76.5,18.0,79,1.2,233.37,254.06,8.87,0.35%,0.35%,11.76%,23.71%,55.76%,48.16%,231.94,,201.83,143.15,243.05,57.833333333333336,True
11,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,49089.56,76.5,17.0,75,1.13,57.89,63.08,8.97,1.65%,-2.26%,7.16%,9.83%,41.26%,52.91%,58.52,,51.18,36.77,62.54,56.166666666666664,True
18,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34250.57,84.0,26.0,81,1.23,302.46,337.11,11.46,0.02%,1.73%,12.01%,16.20%,56.98%,55.64%,305.11,,258.88,182.83,312.15,63.666666666666664,True
24,APA,APA Corporation,Energy,Oil & Gas E&P,11024.86,71.5,15.0,92,1.59,28.61,33.98,18.77,3.43%,1.63%,61.73%,37.35%,103.77%,101.62%,28.34,,21.17,12.2,31.14,59.5,True
45,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,49254.17,76.5,23.0,76,1.14,58.92,62.72,6.45,1.50%,-0.30%,6.20%,13.09%,44.80%,38.83%,59.07,,51.31,38.94,60.52,58.5,True
63,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,48150.13,79.0,17.0,76,1.14,55.69,59.35,6.57,-0.77%,3.65%,-2.95%,22.91%,41.45%,47.64%,54.58,,48.35,34.21,58.89,57.333333333333336,True
66,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,34857.86,79.0,18.0,85,1.32,104.24,126.17,21.04,3.67%,-0.33%,11.32%,19.01%,69.61%,66.20%,103.61,,89.5,58.74,107.88,60.666666666666664,True
71,CDW,CDW Corporation,Technology,Information Technology Services,27001.62,79.0,18.0,78,1.17,199.79,206.12,3.17,2.33%,6.01%,0.87%,19.51%,46.02%,51.60%,190.59,,178.08,125.46,203.82,58.333333333333336,True
73,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,21985.48,81.5,19.0,77,1.16,51.04,54.53,6.84,1.98%,2.86%,16.80%,1.90%,45.58%,42.73%,48.95,,45.89,32.58,51.54,59.166666666666664,True
84,COP,ConocoPhillips,Energy,Oil & Gas E&P,103106.01,86.5,13.0,86,1.35,74.83,89.11,19.08,3.97%,-2.86%,35.73%,34.76%,68.50%,87.12%,73.4,,59.49,38.77,77.98,61.833333333333336,True
108,DRE,Duke Realty Corporation,Real Estate,REIT - Industrial,22638.19,79.0,13.0,80,1.21,59.91,60.81,1.5,3.06%,7.73%,19.60%,29.87%,57.74%,49.89%,57.43,,48.35,37.54,60.07,57.333333333333336,True
110,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,32570.76,86.5,24.0,97,2.36,45.09,49.97,10.82,6.62%,8.62%,57.10%,72.84%,203.39%,193.60%,42.53,,29.06,13.78,45.56,69.16666666666667,True
111,DXCM,"DexCom, Inc.",Healthcare,Diagnostics & Research,58666.83,91.5,15.0,90,1.46,598.58,638.88,6.73,-8.09%,5.82%,15.77%,65.39%,91.04%,61.90%,628.07,,461.06,312.01,659.45,65.5,True
118,ENPH,"Enphase Energy, Inc.",Technology,Solar,32711.47,79.0,28.0,88,1.4,255.1,261.25,2.41,0.09%,47.07%,47.94%,79.26%,87.55%,45.38%,245.25,,169.95,108.88,282.46,65.0,True
133,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,21862.45,86.5,26.0,96,2.03,114.2,131.62,15.25,6.49%,2.25%,56.27%,43.94%,142.26%,135.95%,110.19,,85.67,39.3,117.71,69.5,True
139,FE,FirstEnergy Corp.,Utilities,Utilities - Diversified,21227.35,71.5,21.0,75,1.13,38.91,42.5,9.23,-0.44%,3.21%,0.96%,2.75%,45.95%,27.12%,38.87,,36.98,26.27,39.94,55.833333333333336,True
143,FITB,Fifth Third Bancorp,Financial,Banks - Regional,30908.69,81.5,19.0,85,1.31,44.6,48.58,8.92,0.90%,-0.42%,14.95%,5.66%,63.61%,61.77%,44.23,,39.65,25.27,45.92,61.833333333333336,True
148,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,54644.69,76.5,19.0,96,2.08,333.24,367.7,10.34,-2.38%,3.29%,7.45%,54.04%,181.00%,124.36%,336.66,,253.17,120.14,355.35,63.833333333333336,True
157,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,2014328.64,91.5,16.0,83,1.27,2934.35,3279.44,11.76,-1.57%,5.04%,3.23%,22.14%,65.89%,67.50%,2959.11,,2546.35,1699.0,3037.0,63.5,True
158,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,1957101.99,89.0,16.0,83,1.27,2922.4,3269.41,11.87,-1.30%,4.89%,3.31%,23.69%,65.68%,66.74%,2946.17,,2515.86,1694.0,3019.33,62.666666666666664,True
175,INTU,Intuit Inc.,Technology,Software - Application,169816.68,84.0,16.0,90,1.49,684.0,734.87,7.44,7.71%,12.39%,23.77%,58.29%,98.15%,80.07%,632.13,,491.87,348.13,716.86,63.333333333333336,True
177,IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,50548.42,89.0,17.0,80,1.22,265.36,300.22,13.14,0.34%,3.62%,2.66%,11.75%,54.28%,48.11%,258.52,,235.1,165.52,272.25,62.0,True
182,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,55214.32,79.0,22.0,85,1.33,78.89,83.39,5.7,-0.88%,7.96%,5.51%,19.13%,69.07%,69.33%,76.67,,67.75,44.91,81.15,62.0,True
