day,investment_date,exit_date,investment,portfolio,max,min,max_ret,max_los,returns,over20,result,gl
F,2021-07-16,2021-09-07,2500.0,2772.41,2817.26,2500.0,1.13,1.0,10.9,False,W,272.40999999999985
F,2021-07-23,2021-11-16,2500.0,3157.89,3157.89,2499.99,1.26,1.0,26.32,True,W,657.8899999999999
F,2021-07-30,2021-10-18,2500.0,3278.08,3278.08,2401.38,1.31,0.96,31.12,True,W,778.0799999999999
F,2021-08-06,2021-11-22,2500.0,2790.16,2875.31,2388.92,1.15,0.96,11.61,False,W,290.15999999999985
F,2021-08-13,2022-01-20,2500.0,2200.29,2778.76,2200.29,1.11,0.88,-11.99,False,L,-299.71000000000004
F,2021-08-20,2021-11-10,2500.0,2905.47,2966.53,2353.77,1.19,0.94,16.22,False,W,405.4699999999998
F,2021-08-27,2021-11-10,2500.0,2770.78,2830.17,2335.27,1.13,0.93,10.83,False,W,270.7800000000002
F,2021-09-03,2022-03-11,2500.0,2228.42,2671.85,2228.42,1.07,0.89,-10.86,False,L,-271.5799999999999
F,2021-09-10,2021-11-09,2500.0,2763.07,2805.73,2352.54,1.12,0.94,10.52,False,W,263.07000000000016
F,2021-09-17,2021-11-09,2500.0,2818.1,2885.3,2271.31,1.15,0.91,12.72,False,W,318.0999999999999
