day,investment_date,exit_date,investment,portfolio,max,min,max_ret,max_los,returns,over20,result,gl
W,2021-07-14,2021-09-08,2500.0,2770.52,2823.48,2453.01,1.13,0.98,10.82,False,W,270.52
Th,2021-07-15,2021-09-07,2500.0,2803.27,2846.06,2462.02,1.14,0.98,12.13,False,W,303.27
F,2021-07-16,2021-09-07,2500.0,2772.41,2817.26,2500.0,1.13,1.0,10.9,False,W,272.40999999999985
M,2021-07-19,2021-12-09,2500.0,2751.88,2795.48,2485.48,1.12,0.99,10.08,False,W,251.8800000000001
W,2021-07-21,2021-11-02,2500.0,2935.11,3009.4,2394.26,1.2,0.96,17.4,False,W,435.1100000000001
F,2021-07-23,2021-11-16,2500.0,3157.89,3157.89,2499.99,1.26,1.0,26.32,True,W,657.8899999999999
M,2021-07-26,2021-11-22,2500.0,2795.16,2903.98,2411.21,1.16,0.96,11.81,False,W,295.15999999999985
T,2021-07-27,2021-11-22,2500.0,2782.34,2880.92,2427.78,1.15,0.97,11.29,False,W,282.34000000000015
Th,2021-07-29,2021-10-27,2500.0,2765.63,2852.44,2412.1,1.14,0.96,10.63,False,W,265.6300000000001
F,2021-07-30,2021-10-18,2500.0,3278.08,3278.08,2401.38,1.31,0.96,31.12,True,W,778.0799999999999
M,2021-08-02,2021-11-05,2500.0,2779.14,2861.24,2397.83,1.14,0.96,11.17,False,W,279.1399999999999
T,2021-08-03,2021-11-22,2500.0,2803.93,2898.42,2401.48,1.16,0.96,12.16,False,W,303.92999999999984
F,2021-08-06,2021-11-22,2500.0,2790.16,2875.31,2388.92,1.15,0.96,11.61,False,W,290.15999999999985
F,2021-08-20,2021-11-10,2500.0,2905.47,2966.53,2353.77,1.19,0.94,16.22,False,W,405.4699999999998
M,2021-08-23,2021-11-24,2500.0,2778.04,2838.08,2330.21,1.14,0.93,11.12,False,W,278.03999999999996
F,2021-08-27,2021-11-10,2500.0,2770.78,2830.17,2335.27,1.13,0.93,10.83,False,W,270.7800000000002
F,2021-09-10,2021-11-09,2500.0,2763.07,2805.73,2352.54,1.12,0.94,10.52,False,W,263.07000000000016
M,2021-09-13,2021-11-10,2500.0,2913.69,2999.11,2329.09,1.2,0.93,16.55,False,W,413.69000000000005
W,2021-09-15,2021-11-09,2500.0,2759.47,2814.37,2295.97,1.13,0.92,10.38,False,W,259.4699999999998
Th,2021-09-16,2021-11-10,2500.0,2815.41,2894.67,2315.73,1.16,0.93,12.62,False,W,315.40999999999985
F,2021-09-17,2021-11-09,2500.0,2818.1,2885.3,2271.31,1.15,0.91,12.72,False,W,318.0999999999999
