day,investment_date,exit_date,investment,portfolio,max,min,max_ret,max_los,returns,over20,result,gl
Th,2021-07-22,2021-10-04,2500.0,2233.6,2505.8,2233.6,1.0,0.89,-10.66,False,L,-266.4000000000001
W,2021-08-04,2022-01-19,2500.0,2228.26,2701.56,2228.26,1.08,0.89,-10.87,False,L,-271.7399999999998
Th,2021-08-05,2022-01-26,2500.0,2215.21,2783.66,2215.21,1.11,0.89,-11.39,False,L,-284.78999999999996
T,2021-08-10,2022-02-23,2500.0,2231.54,2718.63,2231.54,1.09,0.89,-10.74,False,L,-268.46000000000004
F,2021-08-13,2022-01-20,2500.0,2200.29,2778.76,2200.29,1.11,0.88,-11.99,False,L,-299.71000000000004
Th,2021-08-26,2022-02-23,2500.0,2210.08,2746.98,2210.08,1.1,0.88,-11.6,False,L,-289.9200000000001
T,2021-08-31,2022-02-17,2500.0,2223.36,2751.99,2223.36,1.1,0.89,-11.07,False,L,-276.6399999999999
Th,2021-09-02,2022-01-19,2500.0,2232.05,2610.05,2232.05,1.04,0.89,-10.72,False,L,-267.9499999999998
F,2021-09-03,2022-03-11,2500.0,2228.42,2671.85,2228.42,1.07,0.89,-10.86,False,L,-271.5799999999999
W,2021-09-08,2022-01-13,2500.0,2232.12,2514.65,2232.12,1.01,0.89,-10.72,False,L,-267.8800000000001
Th,2021-09-09,2022-01-19,2500.0,2208.67,2657.07,2208.67,1.06,0.88,-11.65,False,L,-291.3299999999999
T,2021-09-14,2022-01-18,2500.0,2229.81,2569.11,2229.81,1.03,0.89,-10.81,False,L,-270.19000000000005
