no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,13377.52,33.5,10.54,,1.1,3.56,9.21,,0.54%,0.00%,2.21,85.00%,-4.97%,28.00%,,-3.70%,769.80%,31.50%,187.0,186.96,0.70%,-29.50%,77.70%,0.20%,5.18%,1.21,3.00%,12.10%,5.00%,1.5,0.9,0.44,0.44,24.70%,8.10%,3.50%,15.86%,22.06%,42.26%,70.11%,229.29%,23.97%,2.39,3.79,6.55%,6.04%,18.62%,27.39%,58.55%,-0.86%,70.74%,-0.86%,252.39%,73.88,-1.49%,1.99%,2.0,8026.5,0.97,73.86,0.46%,7793834,1/19/2022 4:30:00 PM,67.91,10/18/2016,73.86,0.00%,69.0,100,2.94,73.86,62.89,58.56,46.77,21.07,75.23,15.0,-8.06,61.333333333333336,True
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,254052.37,34.04,11.72,8.3,4.6,18.67,20.74,23.66,3.94%,133.00%,4.2,-48.50%,-13.83%,-2.80%,4.10%,14.90%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.61%,68.40%,0.06%,0.91%,2.26,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,0.33%,7.10%,22.25%,20.77%,37.24%,5.61%,0.8,2.84,1.62%,2.16%,3.85%,7.17%,20.31%,-0.98%,23.70%,-0.98%,40.13%,69.05,0.86%,-0.16%,2.0,7159.26,1.39,143.0,0.70%,9930851,2/2/2022 8:30:00 AM,148.05,12/10/2012,142.59,-0.29%,69.0,90,1.23,143.0,138.06,133.96,119.02,102.05,144.42,10.0,3.53,56.333333333333336,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29589.19,18.2,12.11,1.76,0.13,120.84,8.35,16.46,1.31%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.72%,65.40%,0.59%,1.13%,1.6,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,0.55%,3.92%,11.84%,16.75%,35.61%,5.49%,0.47,3.34,2.06%,2.53%,2.99%,6.93%,14.18%,-2.39%,23.31%,-2.39%,39.19%,61.46,0.13%,-0.17%,2.2,1061.91,1.18,140.18,-0.04%,1248204,2/2/2022 8:30:00 AM,153.5,4/4/1995,140.18,0.00%,63.0,89,1.21,140.18,136.31,131.58,122.87,100.71,143.61,12.0,9.5,54.666666666666664,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,42567.83,15.91,14.64,2.41,0.5,1.95,39.31,,1.94%,35.50%,4.78,24.80%,0.19%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.34,0.50%,-16.76%,82.00%,1.10%,0.99%,1.99,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,0.18%,7.36%,15.46%,21.44%,35.81%,12.62%,0.8,1.64,1.95%,2.40%,3.39%,9.95%,18.17%,-2.45%,23.05%,-2.45%,39.16%,65.36,-0.38%,-0.08%,1.9,2750.1,0.96,76.12,-0.46%,2636228,1/25/2022 8:30:00 AM,73.23,12/24/1924,75.52,-0.79%,72.0,89,1.21,76.12,73.85,69.5,64.48,54.94,78.03,23.0,-3.8,61.333333333333336,True
153,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,3966.92,11.79,8.64,,1.1,0.61,0.31,2.52,0.80%,8.90%,3.59,157.50%,49.53%,20.50%,,9.80%,-78.70%,-32.10%,92.48,90.83,0.30%,-12.76%,97.30%,-0.92%,0.99%,1.97,0.50%,5.50%,-8.40%,,,0.09,0.09,,15.30%,9.50%,0.59%,-1.47%,13.63%,30.23%,41.45%,8.81%,1.11,1.42,3.26%,3.68%,1.85%,6.66%,24.72%,-4.81%,24.66%,-4.81%,61.58%,58.42,-0.47%,-0.09%,2.4,454.2,1.15,42.35,-0.56%,523508,2/17/2022 4:30:00 PM,44.11,12/4/2003,42.35,0.00%,56.0,91,1.26,42.35,41.51,39.85,34.01,26.21,44.49,9.0,4.16,52.0,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,4071.18,16.57,16.14,5.52,4.81,0.67,40.31,,1.53%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.10%,-22.08%,95.10%,-1.13%,2.68%,4.02,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,2.76%,4.85%,7.39%,14.76%,47.66%,14.92%,1.15,1.55,2.44%,3.03%,6.07%,11.57%,15.83%,-3.42%,28.37%,-3.42%,51.82%,67.6,-0.88%,0.38%,1.7,441.83,0.86,57.69,-0.50%,378876,2/24/2022 4:30:00 PM,61.0,4/23/2004,57.69,0.00%,78.0,94,1.32,57.69,54.49,51.87,49.84,38.77,59.73,37.0,5.74,69.66666666666667,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,50172.77,9.26,11.1,0.3,1.05,0.78,18.59,16.51,2.17%,19.90%,6.37,-286.60%,12.44%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-0.82%,92.90%,-0.75%,0.98%,1.62,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,-4.53%,-4.65%,1.34%,8.02%,39.95%,3.75%,1.33,1.94,3.12%,3.56%,-1.02%,2.05%,8.74%,-7.16%,13.77%,-7.16%,43.28%,47.54,-2.87%,-0.02%,2.2,5035.7,1.45,58.99,-2.88%,7294359,2/16/2022 4:30:00 PM,64.85,4/3/1972,58.99,0.00%,63.0,91,1.25,58.99,59.45,57.91,54.3,41.17,63.54,15.0,9.93,56.333333333333336,True
249,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,1492.54,19.3,13.26,1.41,0.86,1.46,34.95,31.36,,0.00%,2.17,84.30%,34.64%,0.00%,13.68%,1.60%,41.30%,8.20%,35.1,33.8,0.10%,-68.44%,95.74%,5.90%,5.52%,5.65,4.70%,7.60%,4.20%,3.0,1.3,0.1,0.1,17.30%,6.00%,4.20%,6.10%,-1.80%,9.66%,24.34%,7.47%,7.33%,1.72,1.2,3.02%,3.07%,2.91%,7.41%,13.25%,-2.42%,30.30%,-7.91%,35.57%,60.8,-0.36%,1.01%,2.0,330.15,0.91,41.89,0.65%,300650,12/21/2021 4:30:00 PM,51.0,4/24/1972,41.89,0.00%,69.0,69,0.96,41.89,40.66,39.17,37.0,30.9,45.49,17.0,21.75,51.666666666666664,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1208.72,36.03,17.57,1.44,2.93,2.91,10.55,27.16,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.61,0.60%,-33.84%,61.40%,3.07%,5.29%,7.3,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,-0.84%,4.58%,22.30%,34.76%,41.50%,11.85%,0.7,1.23,4.82%,5.26%,2.88%,9.85%,26.30%,-4.54%,31.30%,-4.54%,54.05%,56.0,-4.40%,0.41%,2.5,265.2,1.64,26.05,-4.02%,434705,,28.25,6/25/2014,26.05,0.00%,53.0,91,1.26,26.05,25.36,23.83,20.67,16.91,27.36,12.0,8.45,52.0,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1265.0,14.76,14.58,1.84,0.11,1.25,5.83,,1.86%,25.70%,2.63,-58.00%,0.00%,20.10%,8.00%,14.30%,,56.00%,33.28,30.77,2.60%,-23.56%,78.00%,-0.31%,1.61%,2.77,2.20%,9.00%,0.70%,1.4,0.9,0.53,0.9,4.80%,1.10%,0.80%,5.61%,-1.77%,2.89%,36.55%,45.95%,0.18%,0.73,1.19,3.46%,3.38%,2.45%,3.23%,18.55%,-3.75%,16.74%,-3.75%,58.07%,57.28,0.47%,0.26%,2.0,178.55,1.41,38.78,0.73%,251333,2/15/2022 4:30:00 PM,44.5,2/20/1996,39.24,1.19%,69.0,93,1.3,38.78,37.83,37.66,32.76,24.53,40.29,15.0,14.75,59.0,True
