"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",42149.77,34.51,25.69,2.47,6.67,7.59,26.76,39.73,0.62%,19.10%,3.94,71.00%,10.16%,22.90%,14.00%,8.50%,102.30%,11.90%,301.00,299.66,0.20%,-18.32%,91.10%,0.20%,1.75%,3.03,11.70%,24.30%,14.70%,2.20,1.70,0.51,0.51,53.90%,21.30%,19.10%,-3.48%,-6.06%,-13.86%,-15.54%,4.45%,-14.87%,1.04,4.00,2.86%,2.84%,-2.24%,-7.75%,-10.54%,-16.42%,3.58%,-24.31%,20.84%,39.42,-0.98%,1.51%,,1728.90,1.37,135.91,0.52%,2368248,2/22/2022 4:30:00 PM,175.32,11/18/1999,135.91,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",13410.12,33.58,10.56,,1.10,3.57,9.24,,0.54%,0.00%,2.21,85.00%,-4.97%,28.00%,,-3.70%,769.80%,31.50%,187.00,186.96,0.70%,-29.50%,77.70%,0.20%,5.18%,1.21,3.00%,12.10%,5.00%,1.50,0.90,0.44,0.44,24.70%,8.10%,3.50%,5.82%,20.61%,46.24%,77.94%,237.62%,24.27%,2.39,3.78,5.64%,6.11%,17.73%,26.43%,58.30%,-1.58%,71.15%,-1.58%,251.40%,74.09,2.78%,-2.46%,2.00,8002.74,0.85,74.04,0.24%,6818744,1/19/2022 4:30:00 PM,67.91,10/18/2016,74.04,0.00%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43%,1.99%,-0.65%,3.68%,4.25%,1.27%,,0.16,0.94%,0.76%,1.56%,2.37%,2.44%,-1.15%,5.50%,-3.11%,10.31%,59.54,0.05%,-1.08%,,468.37,0.42,18.41,-1.02%,194763,,,8/15/2018,18.41,0.00%
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1218.16,43.53,,,,1.30,1353.52,,,,0.22,,,,,,,,125.00,100.00,,,67.70%,0.06%,0.14%,0.54,,,,1.70,1.70,0.00,0.00,,,,-0.10%,0.10%,-0.91%,0.31%,,0.10%,,0.03,0.35%,0.30%,0.12%,-0.07%,-0.20%,-0.71%,0.52%,-2.50%,2.63%,50.54,0.10%,0.00%,,257.76,0.34,9.75,0.10%,88047,,,3/25/2021,9.75,0.00%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",50.51,,,,1.68,1.60,4.28,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,,0.25%,0.11,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,-2.53%,-19.37%,-28.70%,-40.54%,-74.42%,43.86%,1.36,0.20,9.66%,9.50%,-5.98%,-3.21%,-36.01%,-47.62%,54.00%,-75.79%,54.00%,44.87,-0.65%,0.65%,1.50,661.07,0.10,1.54,0.00%,65063,11/10/2021 4:30:00 PM,32.50,1/29/2008,,
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",215.31,,,,,1.38,538.26,,,,-0.02,,,,,,,,20.71,17.41,25.41%,0.00%,16.50%,,1.07%,4.20,,,,0.40,0.40,0.00,0.00,,,,0.41%,-0.20%,,,,1.02%,,0.05,0.38%,0.33%,0.45%,0.89%,0.91%,-0.60%,5.89%,-0.60%,5.89%,56.71,0.41%,0.00%,,44.48,0.83,9.89,0.41%,36937,,,11/10/2021,,
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,,,,,,-0.09,,,,,,,,,10.72,,,83.96%,,0.00%,0.01,,,,,,,,,,,-0.60%,-0.00%,1.11%,,,-0.30%,,0.10,0.04%,0.59%,-0.17%,0.25%,0.59%,-5.03%,2.04%,-5.03%,2.46%,50.18,0.00%,0.79%,,51.08,0.01,10.00,0.79%,300,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,66.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.71%,-38.89%,,,,-41.02%,,0.05,28.93%,13.61%,-14.74%,-29.09%,-29.93%,-50.72%,56.92%,-50.72%,56.92%,40.99,-5.71%,6.06%,,39.26,0.01,0.33,0.00%,503,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",428.07,,,,4280.67,1.26,2.65,,,,-11.63,82.30%,52.60%,30.90%,,,-705.00%,,20.89,12.38,0.10%,0.00%,53.40%,-1.78%,4.99%,2.91,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,4.81%,-18.20%,-15.65%,-41.88%,-30.74%,-16.98%,1.53,1.47,7.21%,7.77%,4.86%,-8.21%,-23.32%,-24.62%,16.91%,-59.74%,40.10%,49.64,4.92%,1.33%,1.60,212.42,0.37,20.05,6.31%,79511,,48.75,8/8/2017,20.05,0.00%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.08%,-1.94%,-3.96%,-9.38%,-1.77%,-2.43%,,1.13,1.36%,1.47%,0.73%,-0.20%,-3.60%,-3.49%,8.54%,-9.62%,8.54%,49.84,1.69%,0.81%,,3.78,0.96,62.69,2.51%,3633,,,7/21/2010,62.71,0.03%
