rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_sp500
16,71.16666666666667,FANG,"Diamondback Energy, Inc.",30.0,1.8,97,2.93,107.19,122.26,14.06,$24.57,$114.73,108.36,91.69,81.3,86.5,True
24,69.5,DVN,Devon Energy Corporation,24.0,1.8,98,3.19,40.08,44.26,10.43,$8.34,$41.98,39.88,34.13,26.84,86.5,True
55,66.66666666666667,PXD,Pioneer Natural Resources Company,27.0,1.9,89,1.67,186.98,218.06,16.62,$77.10,$196.64,189.01,168.03,155.23,84.0,True
56,66.66666666666667,CZR,"Caesars Entertainment, Inc.",26.0,1.9,90,1.73,109.46,132.5,21.05,$43.07,$119.81,113.55,108.56,97.13,84.0,True
98,63.5,COP,ConocoPhillips,13.0,1.8,91,1.85,74.49,83.13,11.6,$27.63,$77.98,74.19,65.13,56.81,86.5,True
108,63.333333333333336,SLB,Schlumberger Limited,20.0,1.9,86,1.53,32.26,37.91,17.51,$14.32,$36.87,32.9,30.15,29.21,84.0,True
117,63.0,MRO,Marathon Oil Corporation,18.0,2.3,97,2.93,16.32,17.57,7.66,$3.83,$17.33,16.07,13.68,11.94,74.0,True
132,61.666666666666664,SIVB,SVB Financial Group,21.0,2.3,90,1.75,717.4,768.57,7.13,$279.50,$759.02,693.25,636.16,563.78,74.0,True
138,61.5,PWR,"Quanta Services, Inc.",18.0,1.8,80,1.38,121.28,128.94,6.32,$60.94,$122.95,114.85,112.86,94.67,86.5,True
142,61.333333333333336,EOG,"EOG Resources, Inc.",13.0,2.1,92,1.92,92.46,104.7,13.24,$33.02,$95.64,90.55,79.42,74.57,79.0,True
146,61.166666666666664,MPC,Marathon Petroleum Corporation,10.0,1.8,87,1.59,65.93,72.19,9.49,$28.16,$68.78,65.81,61.78,57.21,86.5,True
152,61.166666666666664,RJF,"Raymond James Financial, Inc.",17.0,1.8,80,1.37,98.59,112.13,13.73,$49.99,$103.46,98.6,94.45,86.14,86.5,True
157,60.666666666666664,LKQ,LKQ Corporation,16.0,1.5,72,1.22,55.08,62.11,12.76,$31.00,$57.33,54.06,52.42,47.3,94.0,True
158,60.666666666666664,TXT,Textron Inc.,20.0,2.1,83,1.46,73.85,83.75,13.41,$34.13,$75.59,72.67,71.75,63.74,79.0,True
164,60.5,APA,APA Corporation,15.0,2.4,95,2.24,26.21,29.74,13.47,$7.96,$28.78,25.62,22.05,20.06,71.5,True
166,60.333333333333336,KIM,Kimco Realty Corporation,20.0,2.3,87,1.56,22.6,24.35,7.74,$10.15,$23.36,22.43,21.97,20.42,74.0,True
174,60.0,SCHW,The Charles Schwab Corporation,19.0,2.1,82,1.42,82.03,90.15,9.9,$39.50,$84.49,79.42,75.41,69.35,79.0,True
181,59.5,GS,"The Goldman Sachs Group, Inc.",16.0,2.2,86,1.55,413.35,448.14,8.42,$185.52,$420.76,400.7,400.25,361.56,76.5,True
192,59.166666666666664,HAL,Halliburton Company,17.0,2.2,84,1.47,24.99,29.35,17.45,$11.48,$26.75,24.96,22.18,21.61,76.5,True
195,59.0,CBRE,"CBRE Group, Inc.",14.0,2.1,84,1.47,104.08,118.83,14.17,$48.73,$106.06,101.14,98.3,86.04,79.0,True
210,58.333333333333336,TGT,Target Corporation,19.0,1.9,72,1.21,259.62,280.74,8.13,$150.80,$267.06,244.19,243.98,223.16,84.0,True
211,58.166666666666664,CFG,"Citizens Financial Group, Inc.",20.0,2.0,73,1.23,47.38,53.65,13.23,$26.31,$51.14,48.73,45.95,44.96,81.5,True
222,57.833333333333336,HES,Hess Corporation,10.0,2.2,87,1.58,82.57,102.96,24.69,$35.91,$92.79,87.26,77.63,74.93,76.5,True
223,57.833333333333336,FITB,Fifth Third Bancorp,14.0,2.0,78,1.33,43.53,47.45,9.01,$22.56,$45.92,44.04,41.48,38.44,81.5,True
227,57.5,BK,The Bank of New York Mellon Corporation,24.0,2.2,72,1.22,59.2,62.34,5.3,$33.64,$60.52,57.08,54.57,49.76,76.5,True
243,56.666666666666664,RTX,Raytheon Technologies Corporation,18.0,1.9,68,1.16,88.86,101.92,14.7,$52.92,$92.32,90.03,86.89,82.42,84.0,True
263,55.666666666666664,MGM,MGM Resorts International,10.0,2.5,88,1.63,47.16,52.49,11.3,$19.55,$49.13,46.82,44.2,40.24,69.0,True
272,54.666666666666664,AXP,American Express Company,16.0,2.5,79,1.35,173.78,186.25,7.18,$89.11,$189.03,176.13,169.39,156.16,69.0,True
273,54.666666666666664,GE,General Electric Company,11.0,2.1,74,1.25,104.87,118.64,13.13,$58.32,$115.36,104.47,103.63,103.32,79.0,True
278,54.333333333333336,ANTM,"Anthem, Inc.",13.0,1.9,66,1.13,435.13,463.04,6.41,$269.01,$439.90,402.05,386.24,367.34,84.0,True
279,54.166666666666664,KMX,"CarMax, Inc.",11.0,1.8,65,1.12,136.92,148.58,8.52,$85.79,$147.73,134.7,133.73,128.21,86.5,True
291,53.0,CVX,Chevron Corporation,16.0,2.3,69,1.17,114.49,123.78,8.11,$68.08,$115.29,109.82,102.82,102.37,74.0,True
295,51.833333333333336,CINF,Cincinnati Financial Corporation,12.0,2.4,72,1.22,121.44,133.0,9.52,$69.92,$127.00,119.37,119.21,112.1,71.5,True
296,50.0,FFIV,"F5 Networks, Inc.",10.0,2.3,66,1.13,211.15,232.75,10.23,$129.43,$225.07,204.32,203.6,197.73,74.0,True
