,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp1500
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14813.12,76.5,18.0,77,1.22,232.55,240.65,3.48,1.42%,5.92%,13.52%,21.13%,56.02%,49.63%,231.73,,200.0,142.59,243.05,57.166666666666664,True
1,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,2546.43,81.5,27.0,78,1.24,88.59,105.57,19.17,4.49%,11.22%,16.91%,17.37%,59.69%,61.33%,84.44,,70.42,50.22,91.77,62.166666666666664,True
5,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2127.55,86.5,19.0,93,1.84,63.02,68.5,8.7,3.25%,29.25%,50.50%,64.98%,140.57%,120.33%,57.29,,43.57,25.47,65.16,66.16666666666667,True
7,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,12294.01,74.0,20.0,76,1.21,140.95,157.33,11.62,2.20%,11.18%,12.75%,32.44%,98.45%,96.50%,140.2,,126.24,79.21,146.63,56.666666666666664,True
8,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,3769.76,89.0,37.0,82,1.31,53.82,61.0,13.34,-0.07%,2.38%,10.18%,16.33%,67.94%,72.15%,54.9,,47.3,29.73,56.95,69.33333333333333,True
10,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,2014.05,74.0,46.0,76,1.2,22.26,24.29,9.12,-0.94%,-2.63%,8.54%,4.61%,56.84%,56.73%,22.36,,20.88,13.48,23.33,65.33333333333333,True
14,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,7247.27,79.0,14.0,90,1.58,177.19,213.83,20.68,-2.84%,13.21%,11.27%,15.65%,103.12%,77.35%,177.7,,159.02,84.18,191.62,61.0,True
15,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34266.57,84.0,26.0,79,1.26,302.41,333.78,10.37,1.14%,6.81%,16.92%,22.37%,65.98%,58.84%,303.89,,256.65,179.77,312.15,63.0,True
21,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,2730.88,76.5,18.0,92,1.69,45.33,52.0,14.71,1.13%,18.60%,28.93%,14.97%,145.32%,128.93%,43.07,,37.92,18.69,48.97,62.166666666666664,True
22,APA,APA Corporation,Energy,Oil & Gas E&P,10745.54,71.5,14.0,94,1.86,27.66,32.73,18.33,-1.30%,9.99%,78.43%,42.27%,165.89%,108.74%,28.37,,20.91,10.89,31.14,59.833333333333336,True
24,ARCB,ArcBest Corporation,Industrials,Trucking,2892.05,84.0,24.0,96,2.25,113.51,127.56,12.38,1.92%,32.98%,70.61%,46.18%,197.99%,167.05%,102.62,,72.29,37.06,116.79,68.0,True
27,ASIX,AdvanSix Inc.,Basic Materials,Chemicals,1378.24,94.0,19.0,96,2.21,49.44,58.0,17.31,-0.22%,10.59%,42.46%,66.96%,182.34%,148.72%,47.95,,33.67,16.54,50.95,69.66666666666667,True
35,AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,5565.35,91.5,15.0,82,1.31,60.92,62.64,2.82,3.40%,19.41%,23.22%,18.13%,67.80%,51.22%,56.82,,49.38,34.71,61.14,62.833333333333336,True
36,AX,"Axos Financial, Inc.",Financial,Banks - Regional,3574.84,91.5,20.0,84,1.35,59.32,61.38,3.47,-0.99%,12.36%,24.45%,31.13%,75.04%,59.37%,56.64,,48.57,32.48,61.28,65.16666666666667,True
39,BAC,Bank of America Corporation,Financial,Banks - Diversified,390070.53,71.5,14.0,82,1.32,46.51,47.58,2.3,0.43%,1.73%,15.42%,12.18%,70.70%,55.33%,47.37,,40.7,26.63,48.69,55.833333333333336,True
40,BANC,"Banc of California, Inc.",Financial,Banks - Regional,1392.13,81.5,13.0,77,1.23,21.71,24.0,10.55,1.54%,16.38%,23.78%,24.56%,58.04%,48.27%,21.05,,18.45,12.94,21.89,57.166666666666664,True
42,BDC,Belden Inc.,Industrials,Electrical Equipment & Parts,3043.73,79.0,15.0,85,1.39,67.54,74.67,10.56,3.07%,13.94%,25.78%,31.76%,82.41%,62.08%,63.83,,51.99,36.23,68.87,59.666666666666664,True
45,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,13108.62,94.0,14.0,87,1.44,69.25,82.07,18.51,1.95%,19.34%,40.19%,54.64%,92.41%,69.08%,63.08,,48.98,34.42,69.59,65.0,True
46,BLFS,"BioLife Solutions, Inc.",Healthcare,Medical Instruments & Supplies,2222.25,79.0,26.0,75,1.19,51.71,63.43,22.66,-2.47%,25.43%,17.97%,65.89%,67.44%,30.83%,50.79,,42.0,28.15,60.67,60.0,True
50,BSIG,BrightSphere Investment Group Inc.,Financial,Asset Management,2423.53,76.5,18.0,79,1.27,30.4,31.75,4.44,0.63%,15.01%,16.63%,35.20%,68.04%,58.20%,29.4,,24.0,17.45,30.88,57.833333333333336,True
60,CASH,"Meta Financial Group, Inc.",Financial,Banks - Regional,2035.07,89.0,17.0,86,1.41,63.49,68.5,7.89,1.23%,5.32%,33.63%,29.13%,87.30%,77.16%,61.44,,50.53,32.76,65.96,64.0,True
62,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,34761.35,79.0,17.0,82,1.31,100.55,123.33,22.66,-2.10%,1.71%,13.01%,22.26%,73.21%,65.48%,104.26,,88.66,56.56,107.88,59.333333333333336,True
75,CNXC,Concentrix Corporation,Technology,Information Technology Services,9759.27,106.5,13.0,93,1.8,188.35,208.67,10.79,3.34%,2.01%,14.84%,26.51%,,89.86%,181.77,,156.91,80.0,188.78,70.83333333333333,True
77,COP,ConocoPhillips,Energy,Oil & Gas E&P,95517.24,86.5,13.0,85,1.39,71.97,86.78,20.58,-4.11%,-2.50%,35.70%,30.69%,90.76%,81.65%,74.18,,58.83,38.38,77.98,61.5,True
78,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,9968.93,76.5,18.0,87,1.46,63.53,79.33,24.87,1.49%,25.01%,18.08%,18.70%,116.89%,55.64%,59.63,,53.69,31.67,69.26,60.5,True
80,CPT,Camden Property Trust,Real Estate,REIT - Residential,16941.76,74.0,36.0,81,1.3,166.5,168.8,1.38,1.29%,3.86%,12.86%,35.54%,62.21%,65.19%,162.46,,133.7,94.59,167.95,63.666666666666664,True
81,CR,Crane Co.,Industrials,Specialty Industrial Machinery,6263.58,81.5,18.0,77,1.23,104.87,126.0,20.15,-0.71%,13.86%,9.77%,14.19%,63.35%,37.73%,103.45,,94.47,64.0,108.67,58.833333333333336,True
83,CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,10361.44,79.0,20.0,96,2.31,176.16,193.88,10.06,1.09%,26.06%,28.71%,82.70%,214.15%,187.98%,168.21,,116.62,57.18,183.88,65.0,True
85,CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,12320.64,84.0,16.0,78,1.24,240.01,255.29,6.37,1.60%,10.18%,16.54%,25.40%,65.87%,53.06%,231.42,,190.89,143.0,243.99,59.333333333333336,True
89,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,1878.9,79.0,22.0,97,2.5,56.81,65.75,15.74,-3.54%,24.31%,52.95%,62.08%,264.47%,218.10%,54.89,,38.04,16.65,61.48,66.0,True
94,DCOM,"Dime Community Bancshares, Inc.",Financial,Banks - Regional,1528.85,86.5,26.0,81,1.3,36.69,40.6,10.66,-1.64%,7.87%,13.62%,7.93%,72.67%,54.18%,36.57,,32.86,20.67,38.35,64.5,True
95,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,11656.35,94.0,15.0,83,1.34,436.85,476.33,9.04,0.83%,16.63%,0.13%,32.66%,71.58%,49.49%,406.41,,367.32,241.24,451.49,64.0,True
99,DIOD,Diodes Incorporated,Technology,Semiconductors,5002.72,79.0,16.0,81,1.3,107.61,117.67,9.35,1.14%,24.32%,25.82%,51.51%,69.15%,55.96%,101.99,,84.23,61.74,111.35,58.666666666666664,True
100,DKS,"DICK'S Sporting Goods, Inc.",Consumer Cyclical,Specialty Retail,12152.54,76.5,23.0,93,1.84,135.02,152.33,12.82,2.16%,11.57%,36.18%,67.48%,172.21%,156.09%,128.61,,101.27,51.51,147.39,64.16666666666667,True
105,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,29498.52,86.5,24.0,97,2.38,42.29,47.69,12.77,-1.27%,7.18%,68.39%,75.49%,256.82%,182.80%,41.95,,28.46,12.66,44.79,69.16666666666667,True
110,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,1744.33,76.5,19.0,85,1.38,59.05,66.75,13.04,0.12%,14.37%,24.95%,34.83%,88.86%,51.86%,56.13,,45.28,29.21,60.75,60.166666666666664,True
114,ENVA,"Enova International, Inc.",Financial,Credit Services,1435.88,81.5,20.0,87,1.45,40.97,44.5,8.62,1.87%,13.48%,30.65%,13.98%,94.95%,65.20%,37.24,,34.2,20.7,43.47,62.833333333333336,True
115,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,37878.52,81.5,18.0,89,1.52,665.73,780.53,17.24,-6.42%,6.04%,7.88%,48.70%,107.86%,87.25%,673.72,,518.32,311.82,725.4,62.833333333333336,True
126,EVR,Evercore Inc.,Financial,Capital Markets,6806.36,84.0,19.0,82,1.32,152.71,172.12,12.71,1.76%,-1.50%,15.23%,6.14%,73.63%,40.45%,154.44,,138.0,87.16,164.63,61.666666666666664,True
127,EWBC,"East West Bancorp, Inc.",Financial,Banks - Diversified,11922.26,86.5,15.0,87,1.46,82.86,99.18,19.7,0.06%,-0.71%,15.23%,9.11%,86.34%,64.58%,82.86,,74.81,42.42,87.77,62.833333333333336,True
128,EXP,Eagle Materials Inc.,Basic Materials,Building Materials,6432.82,86.5,13.0,82,1.32,160.33,175.13,9.23,0.04%,12.24%,7.37%,16.51%,80.63%,60.08%,153.12,,140.85,90.85,165.69,60.5,True
129,EXTR,"Extreme Networks, Inc.",Technology,Communication Equipment,1621.43,76.5,16.0,92,1.74,13.01,15.3,17.6,13.27%,27.62%,24.18%,18.69%,143.21%,87.08%,11.01,,10.33,5.54,13.15,61.5,True
130,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,19747.56,86.5,28.0,95,2.08,107.24,128.29,19.63,-2.49%,0.84%,57.83%,41.40%,206.65%,127.64%,110.54,,84.64,36.46,117.71,69.83333333333333,True
136,FITB,Fifth Third Bancorp,Financial,Banks - Regional,30715.28,81.5,17.0,81,1.3,44.2,48.58,9.91,1.68%,1.77%,19.51%,7.53%,70.78%,62.60%,44.37,,39.35,25.0,45.92,59.833333333333336,True
141,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,54892.38,76.5,19.0,96,2.23,341.35,367.7,7.72,-2.31%,4.37%,16.50%,64.26%,192.16%,129.59%,335.03,,248.75,115.17,355.35,63.833333333333336,True
145,GDEN,"Golden Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,1500.95,89.0,30.0,97,2.38,51.41,65.8,27.99,1.20%,2.12%,15.99%,30.63%,224.03%,159.68%,51.16,,40.28,15.84,54.86,72.0,True
151,GMS,GMS Inc.,Industrials,Building Products & Equipment,2550.18,79.0,17.0,86,1.43,58.63,60.67,3.48,-1.06%,26.01%,22.83%,31.13%,73.85%,92.78%,53.63,,45.23,26.77,60.36,60.666666666666664,True
152,GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,6475.88,76.5,16.0,90,1.61,22.74,23.57,3.65,-1.41%,21.50%,50.95%,21.82%,120.94%,111.82%,21.58,,17.67,9.95,24.89,60.833333333333336,True
156,HLIT,Harmonic Inc.,Technology,Communication Equipment,1125.08,76.5,40.0,79,1.26,10.83,12.5,15.42,3.29%,21.15%,14.82%,61.05%,72.68%,48.85%,10.07,,8.46,6.29,11.2,65.16666666666667,True
157,HUBG,"Hub Group, Inc.",Industrials,Integrated Freight & Logistics,2949.28,79.0,21.0,76,1.2,86.07,87.93,2.16,5.01%,18.49%,30.89%,23.87%,58.20%,52.32%,81.48,,68.08,52.35,86.99,58.666666666666664,True
161,IIPR,"Innovative Industrial Properties, Inc.",Real Estate,REIT - Industrial,6739.54,84.0,31.0,85,1.4,280.26,287.0,2.4,1.06%,17.83%,22.58%,67.66%,84.88%,54.96%,270.21,,211.18,146.81,288.02,66.66666666666667,True
