Company,Recommendations
PTSI,1.0
PFMT,1.0
AE,1.0
BHP,1.0
JMP,1.0
RRBI,1.0
NM,1.0
CEA,1.0
WINT,1.0
LNSR,1.0
LOTZ,1.0
BCS,1.0
EVAX,1.0
LGL,1.0
VRTV,1.0
SAL,1.0
SSSS,1.2
BOLT,1.2
VRNA,1.2
BBL,1.2
PAR,1.2
PETQ,1.3
ALG,1.3
RLMD,1.3
CNTB,1.3
GNOG,1.3
IIN,1.3
SESN,1.3
RDNT,1.3
MREO,1.3
NREF,1.3
ATRC,1.4
NVGS,1.4
ACET,1.4
TA,1.4
MDLA,1.4
GMRE,1.4
NCNA,1.4
HLF,1.4
SPXC,1.4
IDYA,1.4
TARA,1.4
ARDX,1.4
QFIN,1.4
ITCI,1.5
BCPC,1.5
OUT,1.5
PCSB,1.5
GRCL,1.5
CERC,1.5
VRS,1.5
INTT,1.5
SCI,1.5
CLSK,1.5
HCAT,1.5
CBAN,1.5
HI,1.5
AQMS,1.5
NBTX,1.5
TPTX,1.5
ROAD,1.5
BTG,1.5
CLVT,1.5
PZG,1.5
BLDR,1.5
SAR,1.5
JEF,1.5
SALM,1.5
III,1.5
HUIZ,1.5
KRTX,1.5
CTRN,1.5
FMTX,1.5
TACT,1.5
NPO,1.5
ALBO,1.5
DBTX,1.5
FCN,1.5
TTI,1.5
LRMR,1.5
CMPR,1.5
GNLN,1.5
ADUS,1.5
HRTX,1.6
LCII,1.6
ONEM,1.6
XCUR,1.6
HZNP,1.6
ORMP,1.6
DADA,1.6
OCSL,1.6
MBIO,1.6
SBLK,1.6
SE,1.6
AX,1.6
TNL,1.6
SIBN,1.6
WNS,1.6
MSFT,1.6
VRRM,1.6
ORCC,1.6
LRN,1.6
NICE,1.6
AKRO,1.6
LPTX,1.6
SRRK,1.6
VRNT,1.6
LKQ,1.6
CSL,1.6
ALEC,1.6
BHVN,1.7
NOVA,1.7
DRNA,1.7
CGEM,1.7
DVAX,1.7
CALA,1.7
TZOO,1.7
SPRB,1.7
CODI,1.7
GPRE,1.7
OSH,1.7
TLS,1.7
GOOD,1.7
BCOV,1.7
BCML,1.7
ESTA,1.7
ERIC,1.7
PRFT,1.7
COLD,1.7
DYNT,1.7
SHYF,1.7
FOCS,1.7
NMM,1.7
BYSI,1.7
CTO,1.7
VECO,1.7
SMBK,1.7
ONCT,1.7
ONCS,1.7
PACK,1.7
HUBS,1.7
SYBX,1.7
CDMO,1.7
CDNA,1.7
VZIO,1.7
ONCR,1.7
SKLZ,1.7
OMF,1.7
SITM,1.7
BLRX,1.7
PANW,1.7
UTI,1.7
SLM,1.7
BPOP,1.7
PRG,1.7
BABA,1.7
AUPH,1.7
MARA,1.7
ADI,1.7
ZGNX,1.7
JAZZ,1.7
RDHL,1.7
PHX,1.7
LSXMK,1.7
AHCO,1.7
ATEC,1.7
ALGM,1.7
KURA,1.7
RIOT,1.7
AMZN,1.7
KPTI,1.7
RSI,1.7
APEI,1.7
ARNA,1.7
MNSO,1.7
APVO,1.7
KALA,1.7
AUTO,1.7
ADBE,1.7
ARCC,1.7
ADAG,1.7
AXSM,1.7
ITI,1.7
MED,1.7
AVLR,1.7
MRTN,1.7
ITMR,1.7
FMBH,1.8
EDU,1.8
TVE,1.8
OSK,1.8
KRON,1.8
SPRO,1.8
PHR,1.8
KLR,1.8
TPB,1.8
GTLS,1.8
PLL,1.8
TRNS,1.8
SNSE,1.8
CCCC,1.8
HGEN,1.8
MEIP,1.8
AQST,1.8
CAMT,1.8
EQIX,1.8
ET,1.8
NFE,1.8
GM,1.8
MGNX,1.8
FLXN,1.8
RDN,1.8
DHR,1.8
ACLS,1.8
FRLN,1.8
TECH,1.8
UBER,1.8
DAO,1.8
ONTO,1.8
RBLX,1.8
NAVI,1.8
FB,1.8
PLTK,1.8
NVST,1.8
CTIC,1.8
NKTX,1.8
CRNX,1.8
OPRX,1.8
BALY,1.8
DLB,1.8
SUI,1.8
CYBR,1.8
GLPI,1.8
PYPD,1.8
ASPU,1.8
BRBR,1.8
BBD,1.8
PAYC,1.8
RNA,1.8
QCRH,1.8
DG,1.9
SWCH,1.9
WISH,1.9
BKI,1.9
OPEN,1.9
LPG,1.9
SI,1.9
CRNC,1.9
CRM,1.9
NGM,1.9
RVLV,1.9
VG,1.9
COF,1.9
JNJ,1.9
ZI,1.9
DIS,1.9
