Company,Recommendations
VRTV,1.0
NEW,1.0
PFMT,1.0
VAPO,1.2
FINV,1.2
NCNA,1.4
ZVO,1.5
IMUX,1.6
FLDM,1.7
SCPH,1.7
KALA,1.7
AMSC,1.7
DAO,1.8
TLMD,1.8
VYNE,2.0
MLP,2.0
VVI,2.0
SFE,2.0
COE,2.0
JT,2.0
YALA,2.0
GRTS,2.0
CVLG,2.2
VLDR,2.2
ZEAL,2.2
SCPL,2.2
TMST,2.3
PCB,2.3
METC,2.4
AMRX,2.4
SRT,2.5
VYGR,2.6
EXFO,2.7
YQ,2.7
ROOT,2.8
PRA,2.8
TUSK,3.0
WPG,3.0
SRLP,3.0
AMR,3.0
GOTU,3.0
GPRO,3.2
SOS,5.0
TEDU,5.0
BTCM,6.0
CGA,6.0
CRBU,6.0
CYT,6.0
DS,6.0
DVD,6.0
EBON,6.0
EGLX,6.0
GEOS,6.0
GLUE,6.0
TNYA,6.0
NTP,6.0
GURE,6.0
HIL,6.0
SKIL,6.0
HUT,6.0
SD,6.0
HVT-A,6.0
KNDI,6.0
SCPE,6.0
RTP,6.0
MTEX,6.0
NWLI,6.0
NAUT,6.0
