Company,Recommendations
BHP,1.0
AE,1.0
NGG,1.0
NGVC,1.0
HMC,1.0
UL,1.0
APT,1.0
SSL,1.0
USDP,1.0
NM,1.0
GRC,1.0
NNVC,1.0
FTS,1.0
AFT,1.0
ACU,1.0
SONY,1.0
STLA,1.0
NEW,1.0
INS,1.0
RELX,1.0
MCF,1.0
LPL,1.0
LOV,1.0
LGL,1.0
TLK,1.0
TM,1.0
LFC,1.0
VKI,1.0
KT,1.0
SWM,1.0
KB,1.0
JQC,1.0
JMP,1.0
ARDC,1.0
NEA,1.0
IRS,1.0
MIXT,1.0
NUO,1.0
TEF,1.0
SHG,1.0
XL,1.0
PSO,1.0
CVEO,1.0
BBVA,1.0
PKX,1.0
SNN,1.0
CEA,1.0
WBK,1.0
PHG,1.0
BCS,1.0
EBF,1.0
BTI,1.0
VVR,1.0
CNNE,1.0
EBR,1.0
BLX,1.0
VRTV,1.0
EQNR,1.0
EFT,1.0
VTA,1.0
MEC,1.2
DMS,1.2
BBL,1.2
VAPO,1.2
CTOS,1.2
PAR,1.2
FINV,1.2
ALG,1.3
CMRE,1.3
PTR,1.3
PTN,1.3
SACH,1.3
CBZ,1.3
THR,1.3
SMP,1.3
IAA,1.3
TSQ,1.3
IBN,1.3
DEO,1.3
BBDC,1.3
HDB,1.3
GSL,1.3
NREF,1.3
CRY,1.3
FTAI,1.3
PINE,1.4
SQZ,1.4
SPXC,1.4
NVGS,1.4
ROG,1.4
WH,1.4
KFY,1.4
GMRE,1.4
DOOR,1.4
GTN,1.4
HLF,1.4
MDLA,1.4
ELMD,1.5
OUT,1.5
AMRC,1.5
EGY,1.5
DNMR,1.5
ARMP,1.5
CSV,1.5
PSTL,1.5
CLVT,1.5
BTG,1.5
PZG,1.5
RBC,1.5
BLDR,1.5
BIO,1.5
RDY,1.5
DECK,1.5
NUVB,1.5
EVRI,1.5
EVC,1.5
ASIX,1.5
MFC,1.5
ASX,1.5
MOGU,1.5
JEF,1.5
NBY,1.5
ITGR,1.5
ING,1.5
HTGC,1.5
HNI,1.5
HNGR,1.5
HI,1.5
GNRC,1.5
GFF,1.5
NPO,1.5
FCN,1.5
FBP,1.5
ESGC,1.5
INTT,1.5
MTRN,1.5
UBS,1.5
TTI,1.5
SAR,1.5
WLMS,1.5
SLF,1.5
VEC,1.5
VRS,1.5
TKC,1.5
SID,1.5
SCI,1.5
VPG,1.5
ACM,1.6
STE,1.6
ORCC,1.6
NRZ,1.6
SQNS,1.6
FOR,1.6
SSTK,1.6
ONTF,1.6
PLYM,1.6
AX,1.6
ADC,1.6
PEN,1.6
ACCO,1.6
SE,1.6
GNK,1.6
AIR,1.6
SBSW,1.6
NTST,1.6
CURO,1.6
ARE,1.6
TNL,1.6
ALLY,1.6
CSL,1.6
WNS,1.6
RIO,1.6
AVNT,1.6
LCII,1.6
LRN,1.6
LDOS,1.6
LNG,1.6
UGI,1.7
HHC,1.7
HRC,1.7
HSC,1.7
UEC,1.7
UFI,1.7
ADM,1.7
UMH,1.7
RNG,1.7
IH,1.7
LW,1.7
LSF,1.7
LH,1.7
TMO,1.7
LEVI,1.7
TNC,1.7
ATEN,1.7
TRP,1.7
ATGE,1.7
JBL,1.7
J,1.7
IQV,1.7
ATNM,1.7
TUYA,1.7
RSI,1.7
TWLO,1.7
INFU,1.7
HUBS,1.7
AVLR,1.7
VAC,1.7
AVTR,1.7
DEN,1.7
DCO,1.7
DAR,1.7
DAC,1.7
CTO,1.7
CTLT,1.7
COLD,1.7
CODI,1.7
CNS,1.7
CMO,1.7
CIR,1.7
CHPT,1.7
CHMI,1.7
CHE,1.7
CCS,1.7
ZEN,1.7
ZEPP,1.7
WCN,1.7
HAE,1.7
WAL,1.7
DVN,1.7
UTI,1.7
GPX,1.7
GOOS,1.7
GHLD,1.7
MAX,1.7
GDDY,1.7
FUBO,1.7
FND,1.7
VEL,1.7
VIST,1.7
EVRG,1.7
BABA,1.7
EPD,1.7
ENS,1.7
EHC,1.7
VRT,1.7
VSTO,1.7
VZIO,1.7
TFX,1.7
INN,1.7
ZYME,1.7
MTZ,1.7
MYO,1.7
PANW,1.7
NCR,1.7
AIZ,1.7
PACK,1.7
SKLZ,1.7
AGO,1.7
OSH,1.7
SRI,1.7
NMM,1.7
NOAH,1.7
NOVA,1.7
NOW,1.7
OMF,1.7
SPGI,1.7
SPB,1.7
RC,1.7
RWT,1.7
PRMW,1.7
