,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp1500
4,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2049.62,86.5,20.0,92,1.81,61.81,68.5,10.82,-0.06%,25.20%,47.41%,63.82%,137.64%,112.26%,51.35,43.3,25.47,63.23,66.16666666666667,True
7,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,2033.98,74.0,46.0,75,1.21,22.46,24.29,8.15,-0.53%,0.13%,9.51%,6.65%,66.74%,58.28%,21.6,20.8,13.48,23.33,65.0,True
10,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,138473.98,81.5,13.0,90,1.62,156.27,163.37,4.54,2.16%,18.76%,21.33%,28.29%,114.63%,81.08%,137.57,131.36,73.06,158.14,61.5,True
12,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,7364.19,79.0,14.0,89,1.59,183.28,213.83,16.67,-1.00%,14.52%,11.46%,15.22%,111.71%,80.22%,163.75,158.35,84.18,191.62,60.666666666666664,True
13,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34155.56,84.0,25.0,80,1.29,307.68,333.78,8.48,0.24%,6.14%,14.49%,21.72%,66.42%,58.33%,284.13,255.62,179.77,311.18,63.0,True
20,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,2704.51,76.5,18.0,93,1.84,46.16,52.0,12.65,1.58%,17.88%,29.70%,10.30%,155.59%,126.72%,39.65,37.7,18.35,48.97,62.5,True
21,APA,APA Corporation,Energy,Oil & Gas E&P,10741.92,71.5,14.0,94,2.0,29.61,32.73,10.54,-3.42%,12.29%,75.52%,36.64%,186.92%,108.67%,24.38,20.78,10.72,31.14,59.833333333333336,True
24,ARCB,ArcBest Corporation,Industrials,Trucking,2804.74,84.0,25.0,95,2.21,110.51,127.56,15.43,-1.37%,29.31%,61.64%,36.96%,197.87%,158.99%,87.0,71.63,37.05,116.79,68.0,True
26,ASIX,AdvanSix Inc.,Basic Materials,Chemicals,1378.79,94.0,19.0,95,2.18,49.74,58.0,16.61,-0.68%,12.36%,39.72%,63.19%,194.67%,148.82%,43.09,33.4,16.54,50.95,69.33333333333333,True
34,AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,5443.82,91.5,15.0,78,1.27,59.58,62.64,5.14,1.79%,16.44%,21.25%,14.03%,69.21%,47.91%,50.86,49.18,34.71,60.09,61.5,True
35,AX,"Axos Financial, Inc.",Financial,Banks - Regional,3576.64,91.5,19.0,82,1.34,59.84,61.38,2.57,-0.58%,10.34%,22.72%,30.54%,82.44%,59.45%,52.12,48.39,32.48,61.28,64.16666666666667,True
38,BAC,Bank of America Corporation,Financial,Banks - Diversified,389821.95,71.5,14.0,81,1.32,47.05,47.58,1.13,-0.61%,1.47%,14.50%,11.60%,74.26%,55.23%,44.36,40.54,26.63,48.69,55.5,True
39,BANC,"Banc of California, Inc.",Financial,Banks - Regional,1381.92,81.5,13.0,76,1.24,21.65,24.0,10.85,-0.05%,13.65%,21.56%,22.32%,65.77%,47.18%,19.42,18.41,12.94,21.84,56.833333333333336,True
40,BDC,Belden Inc.,Industrials,Electrical Equipment & Parts,3050.0,79.0,15.0,85,1.42,68.05,74.67,9.73,3.80%,12.31%,26.56%,31.40%,90.99%,62.41%,60.49,51.81,36.23,68.87,59.666666666666664,True
43,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,12728.66,94.0,14.0,85,1.44,67.0,82.07,22.49,0.24%,17.40%,34.81%,46.13%,92.34%,64.18%,57.23,48.69,34.42,68.92,64.33333333333333,True
44,BOOT,"Boot Barn Holdings, Inc.",Consumer Cyclical,Apparel Retail,3572.75,79.0,17.0,96,2.32,121.11,126.2,4.2,1.67%,25.53%,43.12%,62.80%,211.26%,179.31%,98.74,79.69,38.07,122.06,64.0,True
47,BSIG,BrightSphere Investment Group Inc.,Financial,Asset Management,2433.86,76.5,18.0,78,1.26,30.63,31.75,3.66,1.32%,14.46%,15.28%,33.76%,73.34%,58.87%,27.52,23.9,17.45,30.88,57.5,True
59,CASH,"Meta Financial Group, Inc.",Financial,Banks - Regional,2057.38,89.0,17.0,86,1.47,65.48,68.5,4.61,3.13%,7.79%,34.18%,30.13%,95.00%,79.10%,56.67,50.29,32.32,65.96,64.0,True
61,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,35029.28,79.0,16.0,81,1.33,104.59,123.33,17.92,-1.35%,3.07%,12.56%,22.13%,80.86%,66.76%,100.37,88.29,56.56,107.88,58.666666666666664,True
73,CNXC,Concentrix Corporation,Technology,Information Technology Services,9626.47,106.5,13.0,92,1.78,184.84,208.67,12.89,3.91%,1.34%,14.16%,23.89%,,87.27%,177.31,156.13,80.0,187.22,70.5,True
75,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,3218.41,79.0,19.0,79,1.28,42.42,49.71,17.19,-4.03%,-0.12%,11.75%,27.01%,73.00%,36.71%,42.12,36.16,24.63,45.27,59.0,True
76,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,9769.15,76.5,17.0,87,1.51,64.06,79.33,23.84,-1.04%,22.14%,15.95%,12.80%,118.04%,52.52%,54.53,53.48,30.11,69.26,60.166666666666664,True
79,CR,Crane Co.,Industrials,Specialty Industrial Machinery,6312.77,81.5,17.0,78,1.27,107.8,126.0,16.88,0.48%,15.69%,7.61%,12.99%,75.48%,38.81%,97.22,94.21,63.24,108.64,58.833333333333336,True
80,CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,10192.05,79.0,20.0,96,2.36,177.5,193.88,9.23,0.54%,29.38%,27.93%,74.38%,212.01%,183.27%,152.1,115.59,56.2,183.88,65.0,True
