rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
1,79.83333333333333,OPCH,"Option Care Health, Inc.",58.0,1.6,90,1.78,24.82,27.81,12.05,$10.52,$28.21,25.2,22.74,19.52,91.5,True
2,75.5,NOTV,"Inotiv, Inc.",21.0,1.0,99,4.89,30.56,38.0,24.35,$4.61,$32.37,28.23,27.91,20.78,106.5,True
3,75.33333333333333,BPOP,"Popular, Inc.",53.0,1.7,84,1.55,78.59,86.25,9.75,$34.30,$83.72,74.91,73.81,68.7,89.0,True
4,74.16666666666667,BNED,"Barnes & Noble Education, Inc.",43.0,2.0,98,3.18,10.15,11.5,13.3,$2.07,$10.60,8.57,8.42,7.29,81.5,True
5,73.16666666666667,ONTO,Onto Innovation Inc.,40.0,1.8,93,2.02,73.06,90.2,23.46,$28.25,$79.50,73.16,71.07,63.75,86.5,True
6,72.5,DAR,Darling Ingredients Inc.,41.0,1.6,85,1.57,73.71,96.21,30.53,$31.45,$79.65,74.11,71.05,67.87,91.5,True
7,72.0,GLDD,Great Lakes Dredge & Dock Corporation,58.0,1.7,69,1.24,15.1,17.68,17.09,$8.77,$16.28,14.98,14.77,14.36,89.0,True
8,71.5,LQDT,"Liquidity Services, Inc.",13.0,1.0,95,2.45,21.68,32.5,49.91,$6.63,$30.00,24.01,22.53,20.0,106.5,True
10,70.83333333333333,RWT,"Redwood Trust, Inc.",47.0,1.6,74,1.33,13.16,14.04,6.69,$7.11,$12.71,12.39,12.11,10.47,91.5,True
12,70.33333333333333,ORMP,Oramed Pharmaceuticals Inc.,18.0,1.5,99,4.85,20.93,23.0,9.89,$2.40,$23.57,17.77,16.05,10.72,94.0,True
13,69.0,ASIX,AdvanSix Inc.,18.0,1.5,95,2.31,42.13,44.5,5.63,$11.62,$38.39,36.05,33.57,28.23,94.0,True
15,68.83333333333333,OLN,Olin Corporation,22.0,1.8,98,3.31,49.31,62.25,26.24,$11.26,$52.01,47.79,45.94,37.4,86.5,True
18,68.66666666666667,UTHR,United Therapeutics Corporation,39.0,1.9,83,1.51,185.9,231.89,24.74,$98.37,$216.90,207.9,197.12,178.7,84.0,True
19,68.66666666666667,EVC,Entravision Communications Corporation,14.0,1.5,98,3.86,7.45,10.5,40.94,$1.25,$8.11,7.05,6.66,4.52,94.0,True
20,68.33333333333333,AMRC,"Ameresco, Inc.",27.0,1.7,89,1.76,61.44,73.82,20.15,$28.77,$75.88,68.38,66.45,56.58,89.0,True
21,68.16666666666667,ERII,"Energy Recovery, Inc.",32.0,2.0,91,1.88,19.53,24.5,25.45,$7.87,$23.69,20.44,20.39,17.85,81.5,True
22,68.0,TH,Target Hospitality Corp.,10.0,1.3,95,2.34,3.95,5.5,39.24,$0.82,$4.70,3.79,3.65,2.75,99.0,True
25,67.33333333333333,CLH,"Clean Harbors, Inc.",42.0,1.9,76,1.35,107.41,114.5,6.6,$52.22,$105.51,101.64,97.62,88.42,84.0,True
26,67.33333333333333,SKY,Skyline Champion Corporation,42.0,2.5,91,1.85,60.81,70.17,15.39,$23.69,$66.82,62.29,58.38,45.85,69.0,True
28,67.16666666666667,KE,"Kimball Electronics, Inc.",11.0,1.0,84,1.55,26.31,33.0,25.43,$11.00,$29.99,23.82,22.09,21.64,106.5,True
30,67.16666666666667,KFY,Korn Ferry,13.0,1.4,92,1.95,74.85,97.75,30.59,$27.93,$76.50,70.45,68.69,60.61,96.5,True
31,66.66666666666667,IIPR,"Innovative Industrial Properties, Inc.",34.0,1.9,82,1.48,234.18,257.0,9.74,$112.25,$253.61,239.45,223.5,192.77,84.0,True
32,66.66666666666667,SSTK,"Shutterstock, Inc.",23.0,1.7,88,1.71,116.29,126.0,8.35,$48.83,$118.38,110.22,105.87,88.75,89.0,True
33,66.66666666666667,ELF,"e.l.f. Beauty, Inc.",45.0,1.9,71,1.28,29.58,34.17,15.52,$17.32,$31.67,30.05,28.42,26.67,84.0,True
34,66.5,ASO,"Academy Sports and Outdoors, Inc.",17.0,1.8,96,2.69,40.19,47.88,19.13,$12.05,$46.56,41.59,39.02,30.56,86.5,True
37,66.16666666666667,GNRC,Generac Holdings Inc.,17.0,1.6,90,1.8,404.95,497.0,22.73,$173.80,$466.92,428.3,427.55,331.93,91.5,True
38,66.0,STXB,"Spirit of Texas Bancshares, Inc.",25.0,1.7,84,1.54,24.69,27.83,12.72,$10.45,$24.94,22.9,22.75,21.18,89.0,True
39,66.0,EPRT,"Essential Properties Realty Trust, Inc.",41.0,1.9,73,1.3,28.39,32.36,13.98,$16.18,$32.92,31.5,29.95,24.97,84.0,True
41,65.66666666666667,FCNCA,"First Citizens BancShares, Inc.",18.0,1.7,90,1.81,862.47,1031.67,19.62,$310.27,$915.40,871.0,828.98,773.04,89.0,True
42,65.66666666666667,SI,Silvergate Capital Corporation,14.0,1.9,99,5.19,128.05,154.57,20.71,$13.50,$187.86,109.85,106.88,105.31,84.0,True
43,65.66666666666667,SONO,"Sonos, Inc.",25.0,2.1,93,2.05,32.26,46.29,43.49,$13.19,$44.72,39.11,36.14,34.14,79.0,True
