no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,13410.12,33.58,10.56,,1.1,3.57,9.24,,0.54%,0.00%,2.21,85.00%,-4.97%,28.00%,,-3.70%,769.80%,31.50%,187.0,186.96,0.70%,-29.50%,77.70%,0.20%,5.18%,1.21,3.00%,12.10%,5.00%,1.5,0.9,0.44,0.44,24.70%,8.10%,3.50%,5.82%,20.61%,46.24%,77.94%,237.62%,24.27%,2.39,3.78,5.64%,6.11%,17.73%,26.43%,58.30%,-1.58%,71.15%,-1.58%,251.40%,74.09,2.78%,-2.46%,2.0,8002.74,0.85,74.04,0.24%,6818744,1/19/2022 4:30:00 PM,67.91,10/18/2016,74.04,0.00%,69.0,100,2.9,74.04,63.59,59.16,46.95,21.07,75.23,16.0,-8.28,61.666666666666664,True
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,257179.16,34.46,11.86,8.4,4.66,18.9,21.0,23.95,3.90%,133.00%,4.2,-48.50%,-13.83%,-2.80%,4.10%,14.90%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.61%,68.40%,0.06%,0.91%,2.22,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,0.87%,6.54%,23.90%,20.98%,36.19%,6.91%,0.8,2.81,1.60%,2.10%,4.85%,8.07%,21.63%,0.24%,23.73%,0.24%,41.85%,72.56,1.01%,0.22%,2.0,7273.4,1.31,144.76,1.23%,9527628,2/2/2022 8:30:00 AM,148.05,12/10/2012,144.65,-0.08%,69.0,89,1.22,144.76,138.46,134.47,119.17,102.05,144.42,11.0,2.27,56.333333333333336,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29863.6,18.37,12.23,1.78,0.14,121.97,8.43,16.61,1.30%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.72%,65.40%,0.59%,1.13%,1.59,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-0.53%,3.88%,13.71%,16.98%,34.35%,6.46%,0.47,3.37,1.94%,2.54%,3.79%,7.52%,15.15%,-1.48%,22.19%,-1.48%,40.48%,64.07,-0.05%,0.98%,2.2,1070.02,1.03,141.48,0.93%,1105311,2/2/2022 8:30:00 AM,153.5,4/4/1995,141.48,0.00%,63.0,88,1.2,141.48,136.69,132.07,122.96,100.71,143.61,12.0,8.5,54.333333333333336,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,42948.1,16.06,14.77,2.43,0.5,1.97,39.66,,1.93%,35.50%,4.78,24.80%,0.19%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.34,0.50%,-16.76%,82.00%,1.10%,0.99%,1.98,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,0.14%,7.34%,14.71%,24.94%,37.34%,13.63%,0.8,1.61,1.96%,2.38%,3.99%,10.50%,19.10%,-1.58%,23.75%,-1.58%,39.79%,67.71,0.85%,0.04%,1.9,2767.99,0.73,76.8,0.89%,2007115,1/25/2022 8:30:00 AM,73.23,12/24/1924,76.8,0.00%,72.0,89,1.21,76.8,74.13,69.79,64.54,54.94,78.03,23.0,-4.65,61.333333333333336,True
153,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,4027.81,11.97,8.77,,1.12,0.62,0.32,2.56,0.79%,8.90%,3.59,157.50%,49.53%,20.50%,,9.80%,-78.70%,-32.10%,92.48,90.83,0.30%,-12.76%,97.30%,-0.92%,0.99%,1.99,0.50%,5.50%,-8.40%,,,0.09,0.09,,15.30%,9.50%,-0.19%,-1.65%,15.25%,33.66%,44.39%,10.48%,1.11,1.36,3.01%,3.60%,3.59%,7.92%,26.43%,-3.35%,26.57%,-3.35%,64.06%,62.37,0.51%,1.02%,2.4,450.14,0.97,43.0,1.53%,438717,2/17/2022 4:30:00 PM,44.11,12/4/2003,43.0,0.00%,56.0,91,1.26,43.0,41.54,40.02,34.07,26.21,44.49,9.0,2.58,52.0,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,4177.74,17.0,16.56,5.67,4.94,0.68,41.36,,1.49%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.10%,-22.08%,95.10%,-1.13%,2.68%,4.01,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,3.53%,6.30%,10.12%,19.62%,49.01%,17.93%,1.15,1.55,2.53%,2.98%,8.65%,14.13%,18.78%,-0.89%,31.73%,-0.89%,52.70%,72.24,1.82%,0.78%,1.7,442.7,0.75,59.2,2.62%,331265,2/24/2022 4:30:00 PM,61.0,4/23/2004,59.2,0.00%,78.0,94,1.33,59.2,54.68,52.11,49.88,38.77,59.73,37.0,3.04,69.66666666666667,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,51355.0,9.48,11.36,0.31,1.08,0.8,19.03,16.9,2.12%,19.90%,6.37,-286.60%,12.44%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-0.82%,92.90%,-0.75%,0.98%,1.6,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,-3.70%,-2.47%,3.94%,11.79%,39.54%,6.19%,1.33,1.93,3.33%,3.57%,1.56%,4.27%,11.19%,-4.97%,16.45%,-4.97%,46.66%,53.12,1.07%,1.27%,2.2,5095.32,0.82,60.38,2.36%,4189283,2/16/2022 4:30:00 PM,64.85,4/3/1972,60.38,0.00%,63.0,91,1.26,60.38,59.43,58.05,54.36,41.17,63.54,16.0,7.4,56.666666666666664,True
249,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,1533.87,19.84,13.62,1.45,0.88,1.5,35.92,32.22,,0.00%,2.17,84.30%,34.64%,0.00%,13.68%,1.60%,41.30%,8.20%,35.1,33.8,0.10%,-68.44%,95.74%,5.90%,5.52%,5.61,4.70%,7.60%,4.20%,3.0,1.3,0.1,0.1,17.30%,6.00%,4.20%,4.87%,0.56%,13.23%,29.43%,9.79%,10.30%,1.72,1.22,2.89%,3.10%,5.88%,9.92%,16.36%,0.28%,30.49%,-5.36%,39.32%,66.71,1.68%,1.07%,2.0,332.03,1.63,43.05,2.77%,542760,12/21/2021 4:30:00 PM,51.0,4/24/1972,43.05,0.00%,69.0,70,0.97,43.05,40.7,39.36,37.01,30.9,45.49,18.0,18.47,52.333333333333336,True
360,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,35868.13,13.38,10.42,0.51,2.67,6.29,4.6,171.62,1.47%,47.40%,23.06,-12.30%,15.31%,7.60%,26.39%,-0.40%,859.90%,-3.60%,116.4,111.55,0.40%,-23.27%,84.80%,-0.35%,0.84%,1.42,0.60%,18.70%,5.50%,,,0.88,4.19,47.50%,10.30%,7.90%,-2.17%,-6.11%,0.26%,14.80%,41.26%,2.26%,1.53,9.93,3.29%,3.43%,0.40%,0.75%,10.70%,-7.18%,10.69%,-7.18%,44.97%,49.98,1.27%,1.22%,1.8,661.36,1.13,308.49,2.51%,745585,1/26/2022 4:30:00 PM,359.0,9/15/2005,308.49,0.00%,75.0,90,1.23,308.49,306.72,306.57,278.93,212.8,332.37,21.0,16.37,62.0,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1224.96,36.51,17.8,1.46,2.97,2.95,10.69,27.53,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.61,0.60%,-33.84%,61.40%,3.07%,5.29%,7.22,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,-0.41%,4.06%,24.82%,37.79%,41.18%,13.35%,0.7,1.22,3.88%,5.22%,4.12%,10.77%,27.73%,-3.51%,31.21%,-3.51%,56.12%,57.83,0.92%,0.42%,2.5,268.32,0.82,26.4,1.34%,220131,,28.25,6/25/2014,26.4,0.00%,53.0,91,1.26,26.4,25.41,23.95,20.71,16.91,27.36,12.0,7.01,52.0,True
