Company,Recommendations
BTG,1.5
MSFT,1.6
NRZ,1.6
DVN,1.7
JD,1.7
BABA,1.7
BBD,1.8
UBER,1.8
FB,1.8
GM,1.8
RBLX,1.8
WISH,1.9
GOLD,1.9
DIS,1.9
MU,1.9
CMCSA,2.0
MS,2.0
VALE,2.0
VIPS,2.0
TME,2.0
TSM,2.0
AAPL,2.0
FCX,2.0
NIO,2.0
KO,2.1
PCG,2.1
SIRI,2.1
SNAP,2.1
GE,2.1
KGC,2.1
DAL,2.1
CX,2.1
C,2.1
AGNC,2.1
LU,2.2
PINS,2.2
NYCB,2.2
NLY,2.2
TAL,2.2
BAC,2.2
HBAN,2.2
WFC,2.2
ITUB,2.3
CSCO,2.3
JPM,2.3
CLF,2.3
AMD,2.3
MRO,2.3
PLUG,2.3
WBT,2.4
NCLH,2.4
CAG,2.4
VTRS,2.4
PBR,2.4
AFRM,2.4
CVE,2.5
GGB,2.5
CCL,2.5
F,2.5
UAL,2.5
BA,2.5
QS,2.6
AUY,2.6
VEON,2.6
SPCE,2.6
XOM,2.6
HPE,2.6
HPQ,2.6
PFE,2.6
CLDR,2.6
TLRY,2.7
RKT,2.7
OXY,2.7
VZ,2.7
TWTR,2.7
NOK,2.7
VIAC,2.7
TSLA,2.8
ORCL,2.8
INTC,2.8
T,2.8
X,2.9
SWN,2.9
GSAT,3.0
BPY,3.0
KMI,3.0
ABEV,3.1
PLTR,3.2
FCEL,3.3
CLOV,3.3
AAL,3.4
M,3.4
RIG,3.5
LUMN,3.6
AMC,3.6
HMY,4.0
RYCEY,6.0
RLLCF,6.0
NOKPF,6.0
SOFI,6.0
