Company,Recommendations
VVR,1.0
GSL,1.3
PRDO,1.3
VIVO,1.5
DNMR,1.5
NUVB,1.5
HTGC,1.5
KNSA,1.6
ARAY,1.6
LRN,1.6
LX,1.6
ERII,1.7
RCUS,1.7
PRPL,1.7
TSLX,1.8
DEA,1.9
NEX,1.9
RAAS,2.0
IMAX,2.0
APPH,2.0
KOS,2.0
KREF,2.0
ERF,2.0
TTMI,2.0
MOD,2.0
BGFV,2.0
TLYS,2.0
PING,2.0
PLYA,2.0
BHR,2.0
BNED,2.0
PRVB,2.0
QUOT,2.0
BZH,2.0
ACRE,2.0
VLDR,2.2
SAND,2.2
IO,2.2
ASC,2.3
EPAY,2.3
LPI,2.3
GPMT,2.4
AVID,2.4
REAL,2.4
IRWD,2.4
DHT,2.4
HZO,2.4
CBD,2.5
SFL,2.5
SEAC,2.5
BRMK,2.5
BRY,2.6
GOL,2.6
FCF,2.6
CXP,2.7
LLNW,2.7
LC,2.7
AFIN,2.7
YELL,2.7
DK,2.7
BEST,2.8
DBI,2.8
INSG,2.8
CCO,2.9
SSYS,2.9
CENX,3.0
PEI,3.0
BTU,3.0
MFGP,3.0
ELP,3.0
LTRPA,3.0
HYLN,3.0
GNW,3.0
FSM,3.0
WPG,3.0
SPWH,3.0
BGS,3.1
ORBC,3.2
DHC,3.3
TCS,3.3
SKT,3.6
YPF,3.6
INVA,4.0
ORPH,4.0
GCI,4.3
KNDI,6.0
GSAH,6.0
ASG,6.0
FHS,6.0
HUT,6.0
DRTT,6.0
IDT,6.0
NCZ,6.0
NE,6.0
NH,6.0
SFTW,6.0
OGI,6.0
SCR,6.0
GILT,6.0
NCV,6.0
