Company,Recommendations
CTOS,1.2
IGMS,1.6
NRZ,1.6
DSEY,1.7
MARA,1.7
CHPT,1.7
RSI,1.7
SKLZ,1.7
AMRS,1.7
ASO,1.7
NSTG,1.8
RVNC,1.8
SDGR,1.8
NFE,1.8
SI,1.9
WISH,1.9
OPEN,1.9
STAA,1.9
FATE,1.9
SGFY,1.9
PAYO,2.0
UPST,2.0
IBRX,2.0
EXPI,2.0
BEAM,2.1
ALLK,2.1
CX,2.1
MP,2.1
SHLS,2.1
ANGI,2.2
CERT,2.2
TPH,2.2
BLDP,2.2
ARNC,2.2
POSH,2.3
PACB,2.4
NVTA,2.4
AA,2.4
CAG,2.4
WBT,2.4
AFRM,2.4
FLGT,2.5
CNK,2.5
RDFN,2.6
GKOS,2.6
BIGC,2.6
NKLA,2.6
SPCE,2.6
HPE,2.6
PK,2.6
RKT,2.7
LTHM,2.7
RLGY,2.7
HTH,2.7
CVAC,2.7
LMND,2.8
EDIT,2.9
GSAT,3.0
DDD,3.1
BEN,3.2
FCEL,3.3
AMCX,3.3
CLOV,3.3
RIG,3.5
AMC,3.6
GME,4.0
BFLY,6.0
AAGH,6.0
AFTPY,6.0
VTSYF,6.0
SGBLY,6.0
STEM,6.0
ASTR,6.0
ARVL,6.0
AMEH,6.0
VMEO,6.0
ALKT,6.0
ALSMY,6.0
TMPPF,6.0
BABWF,6.0
LEV,6.0
KWGPF,6.0
IAS,6.0
XMTR,6.0
MCW,6.0
ME,6.0
HKHGF,6.0
MTNOY,6.0
NEGG,6.0
CAIXY,6.0
HEPS,6.0
GENI,6.0
GCPEF,6.0
OLK,6.0
FNMAT,6.0
OTLY,6.0
FLYW,6.0
EDR,6.0
NOKPF,6.0
YOU,6.0
