no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,12385.71,27.55,8.55,,1.02,2.93,8.53,,0.66%,0.00%,2.21,85.00%,-1.80%,28.00%,,-3.70%,769.80%,31.50%,187.0,185.26,0.10%,-51.12%,77.80%,0.50%,7.96%,1.8,3.00%,12.10%,5.00%,1.5,0.9,0.44,0.44,24.70%,8.10%,3.50%,1.88%,1.54%,22.60%,58.91%,225.56%,1.96%,2.34,3.38,7.71%,5.16%,1.35%,12.47%,35.89%,-5.62%,40.43%,-5.62%,251.16%,56.29,-0.90%,0.15%,1.9,8183.1,1.13,60.75,-0.75%,9246974,1/19/2022 4:30:00 PM,65.3,10/18/2016,60.26,-0.81%,72.0,99,2.81,60.75,60.02,54.19,44.85,17.3,64.37,12.0,7.49,61.0,True
1350,CENX,Century Aluminum Company,Basic Materials,Aluminum,USA,1588.01,,4.34,,0.82,4.64,27.57,,,,-2.92,-51.40%,396.90%,-20.30%,,-3.80%,10.60%,48.00%,90.1,49.84,0.90%,0.00%,58.00%,0.61%,8.11%,3.07,-18.60%,-64.00%,-9.10%,1.1,0.4,1.03,1.22,2.80%,-1.20%,-13.50%,-3.79%,-2.20%,9.07%,22.53%,67.82%,-0.48%,2.52,1.01,8.39%,5.45%,-2.18%,7.87%,17.26%,-9.95%,33.55%,-15.92%,82.30%,51.36,-5.77%,2.04%,2.0,1316.02,0.9,16.48,-3.85%,1187457,11/3/2021 4:30:00 PM,18.0,3/29/1996,16.48,0.00%,69.0,94,1.38,16.48,16.84,15.29,14.06,9.47,19.6,8.0,9.22,57.0,True
1363,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,14166.81,49.17,6.45,0.78,2.78,4.96,18.71,15.1,1.77%,86.40%,1.38,-33.80%,139.65%,-13.10%,62.70%,-0.90%,-557.70%,60.80%,214.9,213.64,0.40%,-36.33%,95.30%,1.01%,2.03%,1.45,2.50%,9.90%,8.60%,1.8,1.4,1.18,1.18,27.70%,14.50%,5.90%,1.35%,-8.20%,15.82%,42.08%,65.85%,-4.21%,1.07,3.25,7.22%,4.32%,-1.86%,2.78%,22.70%,-9.32%,18.43%,-9.32%,70.05%,50.59,-5.02%,-0.11%,2.1,2989.15,1.63,67.8,-5.12%,4868333,11/3/2021 4:30:00 PM,72.58,8/11/2005,67.8,0.00%,66.0,95,1.43,67.8,68.76,66.03,55.37,39.87,74.77,10.0,7.05,57.0,True
1636,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,118867.37,25.91,10.89,,3.28,2.63,11.31,20.63,1.75%,51.00%,3.36,-139.20%,35.33%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.86,0.10%,-9.77%,80.40%,0.03%,1.13%,1.9,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,-0.25%,19.25%,13.33%,53.92%,114.76%,20.62%,1.44,2.84,4.74%,3.21%,8.28%,15.93%,36.14%,-2.30%,32.15%,-2.30%,119.90%,67.86,-1.98%,1.96%,1.8,7868.52,1.13,87.06,-0.06%,8881714,2/3/2022 8:30:00 AM,93.63,1/13/1978,87.49,0.49%,75.0,98,1.83,87.06,81.13,75.52,64.29,39.7,89.19,14.0,7.55,62.333333333333336,True
1860,CYH,"Community Health Systems, Inc.",Healthcare,Medical Care Facilities,USA,1832.52,4.52,9.24,0.06,0.15,,1.42,96.45,,0.00%,2.95,173.90%,-20.22%,21.10%,70.31%,-9.50%,-12.40%,-0.40%,127.08,122.46,5.69%,0.00%,80.30%,-0.45%,3.34%,3.18,2.30%,-22.10%,15.40%,1.4,1.2,,,83.30%,12.60%,3.00%,-6.58%,-1.33%,32.74%,-6.78%,23.75%,0.23%,1.67,0.75,6.69%,5.46%,1.07%,1.46%,1.87%,-12.64%,17.12%,-21.71%,69.07%,51.69,-1.04%,0.60%,2.5,1285.91,1.15,13.34,-0.45%,1482150,10/27/2021 4:30:00 PM,16.35,6/9/2000,13.34,0.00%,53.0,82,1.13,13.34,13.2,13.12,13.11,7.89,17.04,18.0,22.56,51.0,True
2177,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,36969.77,29.95,9.84,1.2,4.14,3.89,15.93,13.43,0.85%,19.80%,1.73,3855.60%,55.91%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.77,0.20%,-7.26%,90.20%,-1.98%,2.61%,1.47,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,5.85%,16.10%,28.96%,105.05%,220.21%,17.57%,2.88,2.63,8.12%,4.80%,8.42%,17.93%,59.09%,-0.38%,45.68%,-0.38%,242.18%,65.63,-0.40%,1.44%,1.8,11411.32,1.38,51.79,1.03%,15775603,2/15/2022 4:30:00 PM,53.64,3/17/1992,52.0,0.41%,75.0,99,2.6,51.79,48.13,44.6,33.78,16.17,53.22,32.0,3.57,68.66666666666667,True
2256,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,USA,1865.13,6.49,7.32,0.5,1.28,1.39,11.79,,,0.00%,9.88,25.30%,-19.66%,21.00%,13.00%,5.70%,55.20%,-7.10%,30.23,28.76,0.60%,-32.69%,,0.00%,15.71%,10.4,6.60%,23.80%,9.40%,,,2.0,2.0,77.60%,40.10%,21.50%,-2.39%,5.63%,22.56%,35.79%,107.17%,3.30%,1.36,1.99,3.35%,3.19%,2.44%,6.32%,26.82%,-5.56%,16.42%,-5.56%,116.39%,57.54,-1.23%,0.39%,2.2,434.34,0.75,64.16,-0.85%,326031,11/3/2021 4:30:00 PM,69.0,7/9/1999,64.16,0.00%,63.0,98,1.8,64.16,62.81,60.45,50.72,29.65,67.94,18.0,7.54,59.666666666666664,True
2419,ENVA,"Enova International, Inc.",Financial,Credit Services,USA,1505.77,3.43,7.22,,1.38,1.33,6.57,3.66,,0.00%,11.95,214.60%,-20.99%,54.40%,,0.90%,-56.00%,76.10%,36.74,35.54,1.80%,-9.69%,90.30%,0.04%,2.44%,2.43,19.30%,42.30%,24.90%,15.9,15.9,0.95,0.95,,65.70%,40.30%,0.22%,0.32%,24.82%,26.91%,80.59%,-0.05%,1.52,1.58,4.90%,3.56%,-1.62%,1.50%,14.39%,-7.86%,12.60%,-7.86%,86.01%,49.66,-1.59%,2.04%,2.0,357.26,0.86,40.94,0.42%,307217,2/3/2022 4:30:00 PM,46.5,10/30/2014,41.35,1.00%,69.0,96,1.49,40.94,41.6,40.3,35.83,22.01,44.43,20.0,13.58,61.666666666666664,True
2429,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,64709.4,20.79,10.67,0.28,4.17,2.87,15.07,12.83,2.79%,31.00%,5.17,-122.20%,16.60%,33.90%,74.16%,4.80%,,105.70%,585.09,583.05,0.30%,1.78%,87.80%,-0.47%,0.87%,1.16,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,2.28%,18.45%,15.82%,50.11%,102.56%,21.05%,1.83,3.98,5.43%,3.76%,9.35%,17.60%,33.41%,-0.43%,33.30%,-0.43%,122.50%,70.53,-0.13%,0.68%,2.0,4368.31,1.15,107.53,0.55%,5011984,11/4/2021 4:30:00 PM,114.47,10/4/1989,107.53,0.00%,69.0,98,1.73,107.53,99.2,92.54,82.67,50.08,109.9,15.0,6.45,60.666666666666664,True
2659,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,23848.01,66.11,7.39,1.08,4.3,2.01,52.18,8.29,1.57%,82.70%,1.93,269.40%,53.65%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.35%,89.40%,0.64%,2.82%,1.79,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,1.34%,14.63%,14.07%,60.09%,125.13%,18.13%,2.34,6.13,7.43%,4.68%,6.62%,13.43%,36.32%,-3.30%,34.08%,-3.30%,126.97%,62.25,-1.79%,2.16%,1.9,2838.97,1.09,127.4,0.33%,3086345,11/1/2021 4:30:00 PM,138.97,10/12/2012,127.4,0.00%,72.0,98,1.82,127.4,120.36,112.67,93.72,56.35,131.75,22.0,9.08,64.0,True
