no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
18,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,14773.66,23.78,17.96,1.42,1.35,4.62,24.44,22.44,1.70%,25.10%,9.88,4.40%,10.26%,2.20%,16.70%,0.70%,25.90%,3.10%,62.85,62.08,0.20%,-4.77%,,,5.60%,5.71,5.50%,19.10%,11.80%,1.2,0.3,0.32,0.0,45.10%,8.00%,5.90%,6.45%,2.27%,17.37%,19.25%,52.88%,49.17%,1.26,6.29,3.22%,2.48%,1.07%,3.98%,14.47%,-3.71%,14.02%,-3.71%,63.49%,55.91,-0.28%,-0.11%,2.2,609.07,1.09,234.03,-0.39%,665561,11/15/2021 4:30:00 PM,254.38,11/29/2001,234.03,0.00%,63.0,79,1.16,234.03,231.64,225.46,204.78,143.15,243.05,17.0,8.7,53.0,True
255,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,35391.85,36.64,28.72,2.71,4.46,4.17,12.94,35.26,1.13%,39.30%,4.63,19.40%,7.91%,15.30%,13.50%,5.40%,18.30%,15.60%,207.0,205.46,0.30%,-5.85%,85.10%,-0.37%,0.86%,1.81,3.70%,12.70%,9.80%,1.3,1.3,0.6,0.65,36.50%,15.20%,11.80%,4.16%,5.88%,17.43%,17.52%,46.28%,37.16%,0.69,3.62,2.51%,1.94%,2.79%,4.99%,17.12%,-1.13%,13.90%,-1.13%,49.88%,62.03,-0.45%,0.19%,2.3,972.09,0.86,169.24,-0.26%,835248,10/28/2021 4:30:00 PM,178.58,6/20/1984,169.24,0.00%,59.0,77,1.13,169.24,165.02,161.58,144.73,112.92,171.18,13.0,5.52,49.666666666666664,True
273,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,31556.25,137.32,44.24,4.6,9.53,5.33,53.04,,0.60%,80.70%,1.89,-29.90%,46.14%,5.40%,29.83%,2.10%,-465.10%,11.20%,116.97,116.5,0.10%,-39.26%,83.00%,-2.37%,1.80%,1.73,2.00%,3.90%,5.60%,1.3,0.8,0.36,0.36,31.00%,27.80%,6.40%,-2.61%,-4.76%,8.46%,48.84%,85.38%,75.93%,1.59,11.8,5.59%,3.99%,-1.73%,6.28%,33.81%,-9.21%,25.73%,-9.21%,97.75%,52.02,1.39%,0.57%,2.4,1211.03,0.68,264.64,1.97%,829417,11/3/2021 4:30:00 PM,262.9,2/22/1994,264.64,0.00%,56.0,91,1.45,264.64,268.79,249.97,198.3,133.82,291.48,20.0,-0.66,55.666666666666664,True
351,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,34392.18,16.27,12.24,0.65,2.67,6.15,4.41,272.95,1.50%,22.90%,18.54,-12.30%,10.68%,7.60%,25.18%,-0.40%,859.90%,-3.60%,116.4,111.63,0.30%,-18.73%,85.10%,-1.95%,2.07%,4.49,1.30%,39.30%,6.00%,,,0.88,4.19,42.30%,22.20%,17.40%,4.14%,-1.20%,12.07%,15.67%,55.10%,55.19%,1.61,7.84,3.30%,2.30%,0.28%,2.52%,14.82%,-3.71%,14.34%,-3.71%,64.40%,53.53,-0.16%,-0.18%,1.9,515.42,1.06,300.58,-0.33%,543987,10/26/2021 4:30:00 PM,338.22,9/15/2005,300.58,0.00%,72.0,83,1.22,300.58,299.52,293.79,262.12,182.83,312.15,26.0,12.52,60.333333333333336,True
384,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,39479.45,51.3,36.68,2.81,14.24,10.05,11.66,43.18,,0.00%,2.46,-24.90%,24.11%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.41,0.10%,-88.79%,65.90%,0.96%,1.70%,1.84,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,1.81%,-4.77%,40.52%,40.45%,83.32%,73.88%,1.17,4.73,3.56%,2.89%,-1.76%,12.69%,37.20%,-6.45%,47.31%,-6.45%,91.51%,56.7,-0.73%,0.07%,2.3,2078.84,0.74,125.48,-0.66%,1543143,11/1/2021 4:30:00 PM,127.24,6/6/2014,123.04,-1.94%,59.0,90,1.41,125.48,127.36,112.13,91.72,65.52,134.14,16.0,1.4,55.0,True
412,APA,APA Corporation,Energy,Oil & Gas E&P,USA,9997.43,16.95,5.32,,1.45,,26.52,3.49,0.37%,6.30%,1.59,-36.40%,24.29%,14.80%,,-7.40%,,83.80%,379.0,362.24,0.28%,-1.88%,89.10%,0.43%,3.49%,1.24,4.60%,-48.50%,-60.50%,1.2,0.9,,,64.30%,27.50%,8.70%,4.35%,-10.07%,41.23%,17.73%,84.05%,89.50%,4.75,1.54,5.95%,5.02%,-3.21%,0.83%,23.98%,-14.48%,29.71%,-14.48%,90.69%,48.96,-0.97%,0.00%,2.4,10234.57,0.75,26.63,-0.97%,7669569,11/3/2021 4:30:00 PM,33.95,8/2/1963,26.79,0.60%,56.0,90,1.39,26.63,27.34,26.51,21.51,13.97,31.14,16.0,27.49,54.0,True
685,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,42555.68,21.04,18.33,1.5,2.91,,36.33,14.69,,0.00%,96.17,32.30%,11.72%,18.50%,14.00%,6.60%,16.70%,8.10%,21.12,20.89,0.10%,-62.77%,93.50%,0.03%,2.12%,2.59,15.10%,-142.00%,63.10%,0.9,0.2,,,52.80%,20.10%,14.80%,11.36%,11.31%,30.02%,45.91%,74.87%,70.70%,0.85,45.58,3.46%,2.17%,6.11%,10.65%,27.49%,-1.96%,21.69%,-1.96%,83.16%,67.66,-1.24%,-0.48%,2.2,170.7,1.47,1988.86,-1.72%,250871,12/7/2021 8:30:00 AM,1866.71,4/2/1991,1988.86,0.00%,63.0,89,1.37,1988.86,1880.38,1803.39,1564.02,1098.69,2028.66,16.0,-6.14,56.0,True
1213,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,USA,48558.6,22.7,23.76,1.41,2.42,7.12,18.18,62.66,0.85%,18.70%,2.5,-7.80%,7.97%,,16.06%,,-37.50%,6.80%,867.6,866.02,0.07%,-24.15%,88.20%,1.90%,0.75%,1.61,8.80%,33.70%,13.60%,1.9,1.5,1.39,1.4,29.60%,17.10%,11.10%,4.66%,7.29%,-0.04%,22.62%,53.75%,50.16%,,1.43,2.96%,2.39%,1.47%,4.61%,15.00%,-2.64%,13.04%,-4.16%,64.98%,56.7,-0.28%,-0.07%,2.1,4022.44,0.63,56.44,-0.35%,2549386,10/28/2021 8:30:00 AM,59.35,3/19/2020,56.44,0.00%,66.0,80,1.17,56.44,55.71,54.04,49.17,34.21,58.89,17.0,5.16,54.333333333333336,True
1289,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,USA,52518.96,73.67,51.31,4.05,17.65,18.98,51.8,55.9,,0.00%,2.48,-40.10%,13.37%,21.20%,18.20%,9.50%,9.80%,12.60%,273.19,272.86,0.60%,-18.78%,88.30%,0.23%,0.98%,2.24,17.00%,27.20%,21.20%,1.7,1.6,0.13,0.0,89.60%,25.80%,23.30%,2.99%,2.68%,10.40%,45.99%,53.56%,33.97%,1.08,6.14,3.91%,3.01%,1.23%,8.61%,24.76%,-3.09%,26.31%,-3.09%,61.87%,55.62,0.69%,0.09%,2.3,1193.08,0.89,184.21,0.79%,1065021,10/25/2021 4:30:00 PM,175.42,6/10/1987,184.21,0.00%,59.0,85,1.25,184.21,182.06,170.25,147.88,113.8,190.09,19.0,-4.77,54.333333333333336,True
1293,CDW,CDW Corporation,Technology,Information Technology Services,USA,27174.59,27.86,23.26,2.13,1.34,32.49,110.87,30.27,1.01%,22.20%,7.12,9.20%,9.09%,18.30%,13.10%,7.30%,43.30%,11.40%,137.3,133.3,0.20%,-29.87%,94.30%,-1.52%,1.11%,1.99,11.10%,93.00%,18.50%,1.4,1.2,4.82,4.86,17.20%,7.20%,5.00%,4.67%,5.95%,-1.09%,19.54%,49.10%,50.40%,1.09,5.35,3.29%,2.64%,3.08%,6.07%,10.78%,-0.85%,15.43%,-2.45%,58.47%,58.99,-0.23%,0.54%,2.1,744.16,0.7,198.82,0.31%,518965,11/3/2021 8:30:00 AM,206.12,6/27/2013,198.82,0.00%,66.0,81,1.18,198.82,193.46,187.69,179.65,125.46,203.82,16.0,3.67,54.333333333333336,True
1605,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,237930.53,48.1,40.05,4.1,1.21,13.68,19.54,,0.58%,25.60%,11.27,25.00%,10.59%,16.20%,11.74%,10.50%,20.20%,17.40%,443.23,440.94,0.20%,-2.10%,69.10%,-0.51%,0.97%,2.16,8.60%,31.00%,19.60%,1.0,0.5,0.38,0.43,12.90%,3.40%,2.60%,0.49%,5.63%,16.39%,42.65%,45.19%,43.86%,0.64,11.21,2.49%,2.04%,-0.11%,7.20%,26.24%,-5.47%,21.54%,-5.47%,72.67%,54.83,-2.95%,0.77%,2.2,1977.1,1.53,530.11,-2.20%,3022239,12/9/2021 4:30:00 PM,519.64,11/27/1985,530.91,0.15%,63.0,76,1.11,530.11,531.78,496.15,420.86,307.0,560.78,14.0,-1.98,51.0,True
1970,DHR,Danaher Corporation,Healthcare,Diagnostics & Research,USA,226144.7,40.4,30.91,1.81,8.06,5.58,88.61,35.69,0.27%,9.70%,7.76,49.80%,3.13%,14.60%,22.30%,9.10%,32.10%,22.90%,715.1,634.98,0.20%,-48.48%,81.10%,0.15%,0.82%,2.17,7.30%,14.90%,6.60%,1.5,1.1,0.59,0.59,60.40%,24.60%,20.40%,-2.58%,7.28%,-5.19%,30.18%,38.56%,41.06%,0.71,8.81,2.81%,2.41%,2.08%,3.55%,14.55%,-4.05%,12.65%,-4.70%,50.68%,55.7,1.36%,0.20%,1.9,2399.07,0.92,318.26,1.57%,2218504,10/21/2021 8:30:00 AM,348.08,12/10/1969,318.09,-0.05%,72.0,77,1.12,318.26,312.74,307.62,278.32,211.22,333.96,16.0,9.37,55.0,True
2074,DRE,Duke Realty Corporation,Real Estate,REIT - Industrial,USA,23403.84,25.31,78.02,4.22,21.13,3.91,2364.02,,1.66%,41.90%,2.43,-31.60%,-64.05%,8.50%,6.00%,4.60%,575.70%,7.00%,379.22,374.26,0.10%,-2.55%,98.40%,-1.23%,1.62%,4.02,9.60%,16.90%,4.60%,,,0.57,0.57,69.40%,92.40%,82.80%,5.26%,9.56%,15.22%,25.77%,58.94%,53.62%,0.62,1.21,2.35%,1.86%,5.31%,11.60%,25.96%,-0.22%,30.42%,-0.22%,64.37%,74.08,0.68%,0.00%,2.1,1511.53,0.73,61.82,0.68%,1104817,10/27/2021 4:30:00 PM,62.88,2/6/1986,62.0,0.29%,66.0,86,1.27,61.82,58.96,55.67,49.19,37.61,62.08,14.0,1.71,55.333333333333336,True
2139,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,30414.49,26.1,8.53,1.04,3.41,3.39,13.1,11.05,0.98%,26.40%,1.73,3266.70%,56.85%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.72,0.30%,-2.93%,91.80%,3.77%,2.69%,1.5,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,7.28%,3.53%,61.99%,54.00%,191.22%,193.80%,3.08,2.26,6.04%,4.70%,5.12%,9.47%,51.68%,-1.43%,30.02%,-1.43%,222.41%,59.46,-0.93%,0.47%,1.8,11484.84,0.71,44.91,-0.47%,8183094,11/2/2021 4:30:00 PM,50.44,3/17/1992,44.91,0.00%,75.0,98,2.23,44.91,42.77,41.22,30.04,14.34,45.56,24.0,12.31,65.66666666666667,True
2273,EFX,Equifax Inc.,Industrials,Consulting Services,USA,36678.04,50.77,33.2,3.59,7.66,10.05,18.11,59.93,0.53%,26.80%,5.75,228.40%,15.67%,3.60%,14.15%,9.20%,-10.60%,14.50%,121.9,121.51,0.10%,-29.85%,93.10%,0.35%,1.87%,3.21,7.10%,21.00%,6.90%,1.5,1.5,1.4,1.55,59.60%,22.00%,14.80%,4.74%,2.57%,5.91%,27.65%,70.85%,51.35%,1.43,7.45,3.62%,2.49%,3.91%,7.90%,22.62%,0.90%,22.83%,0.90%,82.20%,60.48,1.18%,-0.13%,2.3,708.18,0.85,294.93,1.05%,603824,10/20/2021 4:30:00 PM,296.94,5/11/1971,295.0,0.02%,59.0,86,1.28,294.93,284.17,274.11,241.14,161.87,295.05,14.0,0.68,53.0,True
2304,EL,The Estee Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,USA,127052.25,42.86,41.39,2.91,7.45,21.06,31.8,74.96,0.60%,25.30%,8.25,318.10%,14.54%,21.40%,14.71%,7.60%,32.10%,23.30%,362.2,230.0,0.20%,-80.77%,90.70%,-0.82%,0.96%,1.78,14.60%,52.70%,18.60%,1.8,1.3,0.87,0.91,76.10%,16.70%,17.80%,6.50%,1.18%,5.01%,18.73%,43.90%,32.85%,1.01,9.7,3.37%,2.27%,3.49%,7.91%,12.90%,-0.47%,18.81%,-0.47%,53.53%,61.78,0.72%,-0.01%,2.1,1237.27,0.73,356.15,0.71%,908623,11/2/2021 8:30:00 AM,372.23,11/17/1995,356.15,0.00%,66.0,77,1.13,356.15,344.58,330.98,315.76,231.97,357.82,16.0,4.51,53.0,True
2367,ENPH,"Enphase Energy, Inc.",Technology,Solar,USA,32502.66,194.38,73.87,4.47,26.34,46.27,23.31,111.65,,0.00%,1.15,-22.90%,31.34%,31.30%,43.50%,16.70%,-44.40%,96.90%,134.72,126.42,1.10%,-17.92%,73.60%,1.45%,3.53%,1.91,8.60%,27.10%,24.70%,4.5,4.3,1.45,1.58,41.60%,14.70%,13.40%,-10.98%,-6.45%,36.22%,62.49%,72.10%,26.84%,1.33,14.68,7.46%,5.86%,-7.76%,7.75%,31.28%,-20.13%,57.28%,-20.13%,107.21%,46.86,0.29%,1.07%,2.1,2329.25,0.7,225.61,1.37%,1624873,10/26/2021 4:30:00 PM,263.36,3/30/2012,225.61,0.00%,66.0,90,1.39,225.61,243.89,210.89,172.08,108.88,282.46,24.0,16.73,60.0,True
2396,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,USA,35057.4,82.55,53.12,2.9,10.39,14.41,27.68,93.81,,0.00%,7.21,23.70%,27.50%,28.10%,28.50%,23.80%,28.00%,51.60%,56.65,54.77,2.40%,-2.98%,93.10%,-1.31%,0.87%,1.68,14.50%,19.80%,16.30%,3.3,3.3,0.01,0.0,34.10%,14.50%,12.60%,-2.23%,-15.61%,-5.45%,20.69%,84.16%,66.04%,1.44,27.45,4.60%,4.04%,10.04%,10.99%,31.27%,-3.48%,26.82%,-3.48%,122.92%,61.08,8.55%,8.40%,2.0,282.37,13.25,700.14,17.67%,3741981,11/4/2021 8:30:00 AM,780.53,2/8/2012,700.7,0.08%,69.0,95,1.71,700.14,635.4,633.45,534.99,314.08,725.4,21.0,11.48,61.666666666666664,True
2483,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,68073.94,33.11,23.03,1.79,3.49,4.26,103.14,114.22,1.78%,58.00%,5.15,-33.60%,12.77%,-3.70%,18.45%,-3.10%,41.20%,8.80%,398.9,397.81,0.10%,-35.95%,82.90%,-0.32%,0.71%,1.8,6.00%,13.50%,6.80%,1.3,0.8,0.53,0.57,32.10%,15.20%,10.60%,5.26%,-0.41%,4.43%,16.52%,45.31%,41.99%,1.19,3.94,2.83%,1.93%,-0.08%,3.70%,11.11%,-3.30%,15.32%,-3.30%,49.33%,54.31,-0.57%,0.18%,2.1,1571.02,1.26,169.92,-0.39%,1982604,11/2/2021 8:30:00 AM,180.2,7/1/1923,169.92,0.00%,66.0,77,1.13,169.92,169.83,164.17,153.11,113.79,175.72,18.0,6.05,53.666666666666664,True
