Company,Recommendations
CUE,1.3
BILI,1.6
SE,1.6
AMZN,1.7
ZEN,1.7
TWLO,1.7
SKLZ,1.7
DOCU,1.7
CLLS,1.7
RGEN,1.7
FUBO,1.7
RIOT,1.7
ETSY,1.8
EQIX,1.8
AXON,1.8
PYPL,1.8
AVAV,1.8
MA,1.8
PAYC,1.8
U,1.9
ASML,1.9
NET,1.9
STAA,1.9
FVRR,1.9
DIS,1.9
CRM,1.9
ATVI,1.9
NVDA,1.9
AAPL,2.0
ROKU,2.0
NNOX,2.0
NEE,2.0
TEAM,2.0
PTON,2.0
UPST,2.0
CHGG,2.0
LRCX,2.0
LOGI,2.1
MTCH,2.1
LULU,2.1
WING,2.1
OKTA,2.1
ZG,2.1
TECK,2.2
PINS,2.2
DDOG,2.2
ZM,2.2
BL,2.2
SHOP,2.2
Z,2.2
TDOC,2.2
BLDP,2.2
SQ,2.3
COUP,2.3
SIVB,2.3
NYT,2.3
W,2.3
GDRX,2.3
PLNT,2.3
TTD,2.4
SNOW,2.4
SAM,2.5
BA,2.5
MRNA,2.5
ABNB,2.5
SOHU,2.5
RDFN,2.6
ECL,2.6
RMD,2.7
LMND,2.8
TSLA,2.8
SNBR,3.0
FSLY,3.0
PLTR,3.2
NTDOY,6.0
ARKK,6.0
ARKG,6.0
APHA,6.0
ETCG,6.0
GWPH,6.0
CRLBF,6.0
LO,6.0
GBTC,6.0
OROCF,6.0
LTCN,6.0
HRVSF,6.0
