no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,259012.37,34.65,11.86,8.45,4.69,19.0,21.15,24.12,3.87%,133.00%,4.2,11.50%,-13.34%,21.91%,4.10%,17.00%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.58%,69.70%,1.97%,0.91%,2.15,4.40%,49.90%,19.60%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.79%,10.29%,25.22%,21.95%,36.97%,7.50%,0.78,3.02,2.05%,2.16%,3.83%,7.13%,21.69%,-1.13%,19.21%,-1.13%,42.64%,69.14,2.08%,-1.00%,7522.48,1.53,145.56,1.06%,11546836,2/2/2022 8:30:00 AM,149.45,12/10/2012,145.21,-0.24%,69.0,91,1.21,145.56,140.86,136.31,119.76,102.05,147.22,12.0,2.67,57.333333333333336,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29523.22,18.25,12.15,1.76,0.13,121.17,8.34,16.42,1.31%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-44.93%,65.70%,1.02%,1.13%,1.55,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,0.27%,6.87%,16.63%,17.45%,32.02%,5.77%,0.46,3.13,1.92%,2.45%,1.73%,5.36%,14.02%,-2.54%,17.29%,-2.54%,39.57%,58.6,-0.76%,0.10%,1095.06,0.9,140.56,-0.66%,985381,2/2/2022 8:30:00 AM,153.92,4/4/1995,140.56,0.00%,63.0,90,1.2,140.56,138.62,133.79,123.38,100.71,144.22,13.0,9.5,55.333333333333336,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,4004.86,16.36,15.93,5.45,4.73,0.66,39.65,,1.54%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.20%,-12.45%,91.70%,-4.66%,2.68%,3.97,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,-1.27%,10.28%,7.13%,14.79%,30.94%,13.47%,1.13,1.53,2.12%,2.81%,2.70%,8.18%,13.97%,-4.81%,26.75%,-4.81%,45.88%,57.29,0.48%,-0.89%,447.2,0.99,56.96,-0.42%,442917,2/24/2022 4:30:00 PM,61.0,4/23/2004,56.96,0.00%,78.0,89,1.17,56.96,55.72,52.82,50.02,41.1,59.84,37.0,7.09,68.0,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,50864.6,9.67,10.1,0.32,1.07,0.78,23.14,9.79,2.08%,11.60%,6.37,257.40%,14.68%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,829.46,0.10%,-0.84%,91.40%,-2.44%,0.98%,1.59,1.60%,14.50%,11.70%,,,0.46,0.46,,28.10%,19.60%,4.44%,7.48%,12.12%,13.76%,38.86%,8.35%,1.3,1.93,2.79%,3.44%,2.94%,5.46%,12.97%,-3.04%,18.82%,-3.04%,46.43%,57.56,-0.63%,0.44%,5135.35,1.12,61.61,-0.19%,5749547,2/16/2022 4:30:00 PM,65.62,4/3/1972,62.0,0.63%,63.0,91,1.22,61.61,60.06,58.56,54.59,43.63,63.54,15.0,6.51,56.333333333333336,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1239.75,36.1,17.6,1.44,3.0,2.91,10.82,27.86,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.86,0.60%,-32.27%,62.50%,4.81%,5.25%,7.01,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,0.19%,5.45%,27.25%,36.15%,46.88%,12.07%,0.69,1.08,2.63%,5.10%,1.87%,7.57%,25.27%,-4.61%,23.52%,-4.61%,54.35%,55.03,-0.57%,0.15%,276.09,0.84,26.1,-0.42%,230947,,28.25,6/25/2014,26.1,0.00%,53.0,94,1.28,26.1,25.69,24.36,20.87,16.91,27.36,12.0,8.24,53.0,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1303.96,13.56,14.98,1.69,0.1,1.28,6.01,,1.81%,26.00%,2.94,-69.00%,-5.57%,18.80%,8.00%,13.90%,,59.00%,33.28,30.77,2.60%,-25.42%,81.30%,4.05%,1.61%,2.58,2.20%,9.00%,0.00%,1.4,0.9,0.53,0.9,4.70%,1.00%,0.70%,2.73%,6.52%,8.97%,28.64%,50.34%,2.92%,0.71,1.44,5.04%,3.81%,4.35%,4.72%,20.93%,-3.88%,16.15%,-3.88%,59.94%,59.85,1.79%,0.05%,191.45,2.13,39.84,1.84%,406976,2/15/2022 4:30:00 PM,45.75,2/20/1996,39.84,0.00%,69.0,94,1.29,39.84,38.26,38.15,32.99,25.07,41.45,16.0,14.83,59.666666666666664,True
690,AXP,American Express Company,Financial,Credit Services,USA,146752.82,19.26,16.95,0.56,3.43,6.66,6.88,12.6,0.89%,17.20%,9.99,166.10%,17.14%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.00%,87.00%,-2.10%,1.33%,2.34,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,0.05%,21.23%,10.89%,19.94%,40.53%,17.63%,1.11,4.99,1.81%,2.95%,3.50%,10.57%,13.74%,-3.56%,25.90%,-3.56%,48.61%,61.32,-1.30%,0.05%,4313.49,0.79,192.44,-1.25%,3419521,1/25/2022 8:30:00 AM,196.6,4/4/1972,193.02,0.30%,56.0,92,1.24,192.44,187.61,174.53,169.36,133.79,199.55,12.0,2.16,53.333333333333336,True
791,BCOR,"Blucora, Inc.",Financial,Asset Management,USA,980.2,134.76,9.21,8.98,1.11,2.69,5.28,12.81,,,0.15,-831.20%,12.27%,47.75%,15.00%,45.00%,-4.60%,-0.70%,48.71,47.6,1.90%,8.42%,95.60%,3.52%,2.61%,3.18,-1.60%,-5.00%,-34.70%,2.1,2.1,1.54,1.54,45.80%,6.40%,-2.00%,8.91%,24.51%,13.20%,22.89%,22.89%,14.38%,1.57,0.75,5.03%,4.37%,15.29%,15.63%,18.38%,-3.13%,31.19%,-3.13%,39.41%,77.26,1.90%,-0.46%,390.45,1.02,19.81,1.43%,398855,2/16/2022 8:30:00 AM,23.67,12/15/1998,19.81,0.00%,69.0,83,1.08,19.81,17.37,17.18,16.76,14.21,20.45,15.0,19.49,55.666666666666664,True
935,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,29708.82,,16.58,,1.45,1.55,6.07,32.08,2.52%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.95%,88.90%,4.85%,8.21%,7.73,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,0.21%,4.99%,26.83%,32.90%,19.62%,18.87%,1.47,1.18,3.71%,4.37%,2.80%,8.95%,17.47%,-5.00%,25.63%,-5.00%,52.53%,57.51,-3.83%,2.16%,8691.53,1.76,28.6,-1.75%,15259494,1/20/2022 8:30:00 AM,32.41,10/3/1961,28.6,0.00%,69.0,78,1.03,28.6,27.9,26.33,24.37,18.75,30.11,3.0,13.32,50.0,True
1281,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,4087.78,43.05,11.24,3.63,1.13,5.19,22.84,,2.04%,81.90%,1.69,199.60%,11.62%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-4.56%,92.40%,-0.51%,2.15%,2.96,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,4.16%,30.54%,22.54%,36.50%,44.17%,29.22%,1.46,2.28,2.85%,3.74%,12.87%,21.73%,27.82%,-3.01%,42.14%,-3.01%,52.60%,71.11,-1.34%,-0.66%,408.03,1.15,72.62,-2.00%,467958,1/31/2022 4:30:00 PM,77.33,8/23/1968,72.62,0.00%,69.0,93,1.27,72.62,65.18,59.99,56.86,47.59,74.87,8.0,6.49,56.666666666666664,True
