no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,10996.96,13.88,9.14,,0.98,2.88,7.57,244.38,0.67%,0.00%,4.29,85.00%,3.85%,28.00%,,-3.70%,769.80%,31.50%,187.0,184.17,0.10%,-49.91%,77.60%,0.28%,8.01%,1.83,5.60%,23.00%,5.60%,1.5,0.9,0.44,0.44,22.00%,12.60%,7.30%,-4.13%,10.98%,11.08%,60.77%,161.08%,0.08%,2.42,2.9,4.79%,4.54%,2.31%,15.24%,38.72%,-4.85%,41.59%,-4.85%,254.05%,60.8,-1.21%,3.97%,1.8,8040.18,1.97,61.25,2.72%,15829556,1/19/2022 4:30:00 PM,62.85,10/18/2016,61.25,0.00%,75.0,99,2.63,61.25,60.09,53.4,44.3,17.3,64.37,12.0,2.61,62.0,True
419,APA,APA Corporation,Energy,Oil & Gas E&P,USA,11338.83,20.42,6.04,,1.64,,30.08,3.95,1.54%,6.30%,1.59,-36.40%,30.13%,14.80%,,-7.40%,,83.80%,379.0,362.15,0.30%,-1.87%,88.90%,0.12%,3.22%,1.23,4.60%,-48.50%,-60.50%,1.2,0.9,,,64.30%,27.50%,8.70%,1.19%,32.81%,20.55%,75.79%,85.35%,20.42%,4.63,1.41,4.76%,4.65%,6.84%,12.11%,37.90%,-9.14%,36.22%,-9.14%,122.74%,58.85,-1.67%,-1.85%,2.4,9469.2,0.92,31.25,-3.49%,8694038,11/3/2021 4:30:00 PM,35.95,8/2/1963,31.25,0.00%,56.0,97,1.61,31.25,29.55,27.89,22.73,14.03,34.4,17.0,15.04,56.666666666666664,True
1635,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,110976.52,25.98,11.19,,3.07,2.64,10.56,19.26,1.74%,51.00%,3.36,-139.20%,32.70%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.86,0.10%,-10.42%,80.40%,0.11%,1.13%,1.94,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,4.41%,27.56%,16.20%,53.49%,92.95%,20.92%,1.55,2.35,2.86%,2.75%,10.14%,15.33%,35.31%,-3.91%,29.98%,-3.91%,116.29%,70.13,-0.75%,-1.15%,1.8,7705.05,0.99,85.63,-1.89%,7624974,2/3/2022 8:30:00 AM,92.73,1/13/1978,85.68,0.06%,75.0,97,1.7,85.63,78.56,74.59,63.61,39.7,89.11,14.0,8.29,62.0,True
1793,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,USA,2130.1,7.77,10.66,0.78,2.96,1.93,1.92,6.86,,0.00%,8.8,82.30%,-29.20%,13.80%,10.00%,16.80%,116.90%,73.90%,32.45,29.57,6.70%,-25.45%,86.50%,3.00%,4.27%,2.67,1.30%,25.10%,5.30%,,,0.35,0.35,,83.90%,35.30%,-3.76%,19.80%,47.90%,80.46%,197.48%,4.57%,1.57,3.67,6.46%,4.88%,-4.35%,4.87%,44.53%,-14.28%,21.57%,-14.28%,211.21%,47.51,-4.35%,-0.19%,2.1,472.16,1.22,65.26,-4.53%,575184,1/24/2022 4:30:00 PM,73.25,2/21/2012,65.2,-0.09%,66.0,99,2.52,65.26,68.48,62.36,45.32,20.97,76.13,21.0,12.24,62.0,True
2180,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,32632.4,28.3,9.32,1.13,3.66,3.68,14.06,11.86,0.90%,26.40%,1.73,3855.60%,55.22%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.77,0.20%,-7.73%,90.50%,-1.79%,2.61%,1.55,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,-1.75%,24.82%,25.49%,94.60%,160.71%,11.08%,3.0,2.01,3.94%,4.31%,4.43%,12.10%,51.96%,-6.46%,36.79%,-6.46%,221.30%,60.56,0.87%,-1.47%,1.8,10826.83,1.22,48.63,-0.61%,13230212,11/2/2021 4:30:00 PM,52.55,3/17/1992,48.6,-0.06%,75.0,99,2.27,48.63,46.93,44.09,33.24,16.11,51.99,30.0,8.06,68.0,True
2259,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,USA,1825.32,6.65,7.5,0.51,1.26,1.42,11.54,,,0.00%,9.88,25.30%,-19.66%,21.00%,13.00%,5.70%,55.20%,-7.10%,30.23,28.76,0.60%,-33.70%,,-0.07%,15.71%,10.76,6.60%,23.80%,9.40%,,,2.0,2.0,77.60%,40.10%,21.50%,7.33%,12.51%,29.44%,39.79%,100.40%,5.83%,1.4,1.97,4.46%,2.86%,3.30%,6.48%,27.42%,-6.08%,15.79%,-6.08%,118.45%,58.53,-2.92%,0.00%,2.2,420.01,1.17,63.81,-2.92%,489976,11/3/2021 4:30:00 PM,69.0,7/9/1999,63.81,0.00%,63.0,97,1.66,63.81,61.98,60.0,50.2,29.21,67.94,17.0,8.13,59.0,True
2432,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,59396.35,20.33,10.54,0.27,3.83,2.81,13.84,11.77,2.85%,31.00%,5.17,-122.20%,15.25%,33.90%,74.16%,4.80%,,105.70%,585.09,583.05,0.30%,1.90%,88.00%,-0.32%,0.87%,1.19,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,2.87%,25.15%,19.31%,45.00%,80.97%,18.35%,1.94,3.23,3.25%,3.29%,8.67%,14.16%,29.50%,-4.16%,28.30%,-4.16%,114.16%,68.99,-0.23%,-1.32%,2.0,4277.47,1.13,103.5,-1.55%,4829347,11/4/2021 4:30:00 PM,114.06,10/4/1989,103.69,0.18%,69.0,97,1.62,103.5,96.1,91.82,82.01,50.08,107.99,13.0,10.2,59.666666666666664,True
2651,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,USA,89110.11,31.84,11.08,,0.66,2.45,1.92,8.25,1.78%,13.90%,0.7,363.40%,6.02%,-16.80%,,-3.20%,-23.80%,-4.80%,3995.0,3914.51,0.10%,8.72%,53.90%,-0.18%,1.84%,0.66,1.10%,8.40%,-2.40%,1.2,1.0,2.66,3.95,10.10%,1.00%,2.10%,-7.80%,13.56%,45.59%,58.21%,106.72%,8.09%,1.03,1.11,5.65%,4.29%,-4.14%,3.36%,38.06%,-16.31%,16.31%,-16.31%,112.46%,45.84,-1.59%,-2.00%,2.5,108359.09,1.38,21.65,-3.56%,150059571,2/3/2022 4:30:00 PM,21.14,6/1/1972,21.39,-1.20%,53.0,97,1.61,21.65,22.69,20.98,15.73,10.36,25.87,17.0,-2.36,55.666666666666664,True
2662,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,21871.03,65.24,7.39,1.07,3.94,1.98,47.86,7.6,1.59%,82.70%,1.93,269.40%,51.41%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.99%,89.40%,0.76%,2.82%,1.84,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,1.09%,22.73%,13.31%,58.44%,107.37%,16.56%,2.45,4.94,3.90%,3.98%,4.59%,9.35%,31.75%,-7.47%,28.30%,-7.47%,117.19%,57.25,-1.27%,-1.77%,1.9,2766.28,0.95,121.91,-3.02%,2631587,11/1/2021 4:30:00 PM,137.03,10/12/2012,121.77,-0.11%,72.0,97,1.72,121.91,117.41,111.61,92.76,56.13,131.75,22.0,12.4,63.666666666666664,True
2689,FBP,First BanCorp.,Financial,Banks - Regional,USA,3153.78,13.19,8.58,0.92,3.97,1.5,1.17,8.77,2.55%,21.70%,1.19,-39.70%,35.00%,35.50%,14.40%,2.70%,181.20%,17.50%,206.72,202.02,1.30%,-2.77%,97.00%,1.62%,1.77%,2.09,1.30%,11.60%,17.10%,,,0.09,0.09,,96.80%,32.10%,-0.06%,19.47%,16.28%,31.46%,56.01%,14.01%,1.23,0.47,3.23%,2.78%,3.37%,7.79%,17.61%,-8.12%,22.70%,-8.12%,71.96%,56.34,-2.37%,-0.45%,2.0,1711.24,0.77,15.27,-2.80%,1321969,1/26/2022 8:30:00 AM,23.3,1/13/1987,15.25,-0.13%,69.0,93,1.33,15.27,14.87,14.19,13.0,8.88,16.62,12.0,52.59,58.0,True
