,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
0,OAS,3.1489998368862193,Oasis Petroleum Inc.,99.01,141.3,78.72,0.8,113.04,43.6,1.0
1,TRNS,13.346819558817197,"Transcat, Inc.",63.41,73.0,333.67,5.26,383.98,15.08,2.0
3,NVDA,18.217343223615774,NVIDIA Corporation,206.99,221.0,455.43,2.2,486.2,6.76,3.0
8,CSR,3.4975007590446467,Centerspace,96.95,99.72,87.44,0.9,89.75,2.64,4.0
2,STKS,0.754224247543215,"The ONE Group Hospitality, Inc.",11.02,9.98,18.86,1.71,17.07,-9.49,5.0
11,RPD,11.435714767184116,"Rapid7, Inc.",113.71,102.51,285.89,2.51,257.3,-10.0,6.0
6,INTU,9.938939198308999,Intuit Inc.,545.01,439.32,248.47,0.46,202.09,-18.67,7.0
5,NAVI,0.34843105995712936,Navient Corporation,22.35,16.63,8.71,0.39,6.49,-25.49,8.0
7,NOTV,6.451608010385702,"Inotiv, Inc.",31.49,20.74,161.29,5.12,106.19,-34.16,9.0
9,CRL,16.903384618291007,"Charles River Laboratories International, Inc.",417.71,259.54,422.58,1.01,262.14,-37.97,10.0
10,BSY,10.3092153337035,"Bentley Systems, Incorporated",61.03,36.44,257.73,4.22,153.78,-40.33,11.0
4,CROX,5.64781938626248,"Crocs, Inc.",150.63,70.14,141.2,0.94,65.93,-53.31,12.0
