,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
2,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,1005.2,75.0,14.0,98,1.82,33.45,34.0,1.64,-0.26%,10.53%,34.51%,60.49%,116.56%,0.29%,34.39,,25.34,13.63,36.72,62.333333333333336,True
3,APA,APA Corporation,Energy,Oil & Gas E&P,11637.76,56.0,17.0,96,1.52,32.6,35.12,7.73,8.34%,28.62%,22.39%,78.48%,74.88%,19.34%,29.26,,22.66,14.03,34.4,56.333333333333336,True
5,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,6205.33,63.0,17.0,99,2.22,18.81,27.44,45.88,9.08%,22.18%,1.84%,50.60%,173.90%,13.94%,18.66,,15.41,6.29,21.99,59.666666666666664,True
6,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,1499.66,69.0,7.0,97,1.64,102.49,121.17,18.23,4.78%,16.50%,1.73%,70.79%,90.79%,6.15%,93.62,,72.41,39.02,105.58,57.666666666666664,True
9,BPOP,"Popular, Inc.",Financial,Banks - Regional,7412.08,75.0,50.0,92,1.3,94.5,104.33,10.4,6.83%,22.14%,20.69%,33.18%,54.21%,16.19%,87.35,,78.32,54.01,99.49,72.33333333333333,True
11,BY,"Byline Bancorp, Inc.",Financial,Banks - Regional,1072.19,56.0,17.0,95,1.42,28.28,30.0,6.08,-0.59%,5.76%,16.57%,24.42%,72.47%,4.68%,27.95,,24.52,14.59,29.15,56.0,True
12,CCB,Coastal Financial Corporation,Financial,Banks - Regional,620.37,78.0,3.0,99,1.94,50.46,53.67,6.36,-2.13%,26.20%,56.94%,78.68%,139.14%,2.47%,51.46,,34.72,19.61,54.41,60.0,True
14,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,846.29,69.0,32.0,99,2.2,25.5,29.33,15.02,3.21%,18.09%,-23.96%,34.05%,156.41%,7.49%,24.25,,20.9,7.99,36.23,66.66666666666667,True
15,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,7931.11,69.0,33.0,91,1.26,68.27,94.4,38.27,5.03%,13.56%,9.51%,39.81%,,8.65%,67.03,,57.43,40.0,73.66,64.33333333333333,True
16,CIO,"City Office REIT, Inc.",Real Estate,REIT - Office,874.58,59.0,13.0,97,1.64,19.29,21.83,13.17,-5.74%,14.38%,8.55%,60.79%,106.70%,1.67%,19.92,,15.23,9.31,21.7,56.333333333333336,True
