no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29915.25,18.81,12.52,1.82,0.14,124.86,8.45,16.64,1.27%,22.80%,7.7,144.40%,7.22%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-43.57%,65.90%,1.40%,1.30%,1.82,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,1.62%,5.05%,24.05%,15.74%,34.72%,8.99%,0.45,3.41,2.13%,2.19%,2.32%,5.98%,16.52%,-1.81%,14.40%,-1.81%,42.22%,61.35,-1.40%,-0.28%,1064.51,1.33,144.84,-1.67%,1411547,2/2/2022 8:30:00 AM,153.92,4/4/1995,144.84,0.00%,63.0,90,1.22,147.3,141.55,136.67,124.31,107.72,147.51,14.0,4.49,55.666666666666664,True
407,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,107882.7,18.39,14.1,1.43,0.78,3.05,22.11,17.48,0.99%,18.10%,24.72,37.60%,13.23%,21.80%,12.86%,10.30%,111.10%,15.20%,242.3,239.89,0.20%,-1.30%,92.30%,-0.99%,0.92%,2.01,6.30%,17.40%,11.70%,,,0.59,0.64,,6.30%,4.40%,0.59%,0.61%,15.07%,20.01%,33.85%,-1.94%,1.04,13.38,3.45%,2.71%,0.12%,0.69%,11.14%,-4.80%,8.03%,-4.80%,40.83%,50.87,-3.45%,-1.27%,1095.09,1.4,454.53,-4.68%,1529156,1/26/2022 8:30:00 AM,490.38,10/30/2001,455.12,0.13%,72.0,93,1.3,476.84,453.99,451.42,408.98,329.75,477.47,20.0,2.84,61.666666666666664,True
1073,BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,18609.31,32.01,25.94,2.42,6.1,4.37,20.68,23.55,0.62%,18.30%,2.07,22.70%,9.10%,17.90%,13.22%,11.60%,4.90%,15.00%,276.58,233.61,2.20%,0.06%,75.70%,2.30%,2.38%,3.37,6.10%,14.30%,10.30%,1.2,1.2,0.47,0.48,,26.80%,18.80%,-2.04%,-0.62%,1.56%,12.37%,42.89%,-5.76%,0.74,1.88,2.35%,2.58%,-1.33%,-1.30%,9.59%,-6.39%,8.04%,-6.39%,48.70%,47.5,-2.34%,-0.86%,1650.0,0.94,66.23,-3.19%,1548813,1/24/2022 4:30:00 PM,71.12,11/1/1982,66.23,0.00%,53.0,94,1.35,68.41,67.12,67.1,60.43,44.54,70.75,16.0,3.96,54.333333333333336,True
1571,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,47944.97,36.8,13.23,3.44,0.38,1.84,3.57,16.75,,0.00%,2.27,-0.60%,16.53%,16.60%,10.69%,37.30%,2.30%,11.40%,583.24,576.13,1.90%,-1.39%,95.50%,0.89%,1.24%,2.03,1.00%,2.80%,4.70%,,,0.7,0.71,,1.20%,0.60%,1.05%,2.40%,17.51%,29.70%,35.27%,1.32%,0.51,2.43,3.08%,2.77%,0.35%,2.88%,14.86%,-3.82%,12.12%,-3.82%,41.87%,53.65,-2.74%,-0.24%,3521.01,0.86,83.49,-2.98%,3039486,2/8/2022 8:30:00 AM,95.33,12/13/2001,82.94,-0.65%,69.0,92,1.27,86.05,83.2,81.15,72.69,59.33,86.81,19.0,10.78,60.0,True
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,127849.32,16.69,13.03,4.29,2.79,2.93,23.36,13.73,1.40%,32.50%,6.07,342.80%,-12.73%,32.60%,3.89%,13.70%,376.60%,175.40%,1315.13,1298.37,0.10%,-25.60%,80.10%,-1.93%,1.13%,1.73,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,6.76%,11.44%,42.81%,80.57%,72.76%,40.30%,1.42,3.46,3.41%,3.60%,9.52%,17.72%,46.40%,0.93%,45.36%,0.93%,112.23%,72.88,0.27%,0.73%,8480.84,1.63,101.27,1.00%,13782018,2/3/2022 8:30:00 AM,104.6,1/13/1978,101.27,0.00%,75.0,97,1.58,100.27,92.47,86.05,69.31,47.85,100.34,-4.0,4.32,56.0,True
1787,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,21466.62,15.84,11.3,0.21,6.22,1.87,20.72,134.17,1.67%,36.40%,1.71,358.90%,-13.19%,35.20%,74.49%,24.40%,251.80%,386.90%,813.62,800.39,1.10%,-5.94%,94.50%,73.63%,4.17%,3.85,13.70%,24.80%,8.20%,1.8,1.7,0.27,0.27,76.20%,45.30%,33.60%,17.62%,19.57%,35.71%,59.09%,48.58%,44.43%,-0.22,1.12,4.83%,4.49%,16.93%,25.40%,43.89%,2.60%,49.22%,2.60%,98.42%,75.28,-0.18%,3.60%,8677.28,1.97,27.0,3.41%,17108078,2/23/2022 4:30:00 PM,27.32,2/8/1990,27.49,1.81%,59.0,92,1.28,26.11,23.45,21.87,19.37,14.28,26.32,30.0,4.63,60.333333333333336,True
1793,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,44939.34,21.4,17.06,1.86,2.43,3.81,16.53,26.33,1.25%,23.70%,4.05,57.30%,11.44%,9.70%,11.49%,6.50%,84.70%,14.20%,527.0,523.9,0.10%,-4.26%,94.60%,1.09%,1.17%,2.04,12.50%,18.70%,16.80%,2.1,2.1,0.05,0.06,37.30%,15.30%,11.50%,0.55%,0.63%,10.29%,13.13%,19.14%,-2.39%,1.1,2.62,2.91%,2.82%,-1.08%,-0.57%,10.64%,-6.32%,6.95%,-6.32%,30.84%,49.09,-2.28%,-0.29%,3004.35,1.5,86.6,-2.57%,4495726,2/2/2022 4:30:00 PM,94.78,6/19/1998,86.6,0.00%,56.0,83,1.09,88.88,87.55,87.09,78.27,66.19,92.44,24.0,6.64,54.333333333333336,True
2063,DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,32352.72,24.29,15.86,1.36,1.23,4.37,46.13,48.62,,0.00%,5.8,62.90%,13.48%,34.90%,17.87%,10.50%,-30.50%,3.90%,224.9,221.94,1.34%,-0.64%,97.00%,9.89%,2.09%,1.8,7.10%,20.60%,13.40%,1.3,0.2,0.45,0.45,29.40%,7.90%,5.70%,-0.86%,6.84%,2.79%,51.77%,30.34%,0.24%,0.73,5.25,5.21%,3.65%,1.33%,3.16%,23.98%,-5.32%,13.95%,-5.70%,67.17%,53.74,-1.81%,-0.01%,2584.15,1.67,140.86,-1.82%,4303212,3/2/2022 8:30:00 AM,158.17,3/7/1995,140.54,-0.23%,53.0,89,1.19,140.86,139.37,136.64,113.78,84.26,149.37,4.0,12.29,48.666666666666664,True
2434,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,68880.79,15.04,11.03,0.2,3.7,3.16,13.22,11.68,2.50%,24.80%,7.99,864.80%,-5.71%,43.20%,73.84%,20.10%,483.80%,104.40%,584.0,583.22,0.30%,0.71%,87.90%,-0.53%,1.19%,1.57,12.60%,21.80%,17.70%,2.1,2.0,0.23,0.23,63.80%,32.80%,25.00%,4.55%,7.49%,42.97%,80.83%,66.92%,35.26%,1.79,4.49,3.26%,3.85%,6.17%,13.96%,39.83%,-0.32%,41.55%,-0.32%,95.74%,67.52,0.11%,1.07%,4450.3,1.24,120.15,1.18%,5513635,2/25/2022 8:30:00 AM,120.66,10/4/1989,120.0,-0.12%,69.0,96,1.47,118.75,113.16,105.43,87.45,62.81,120.53,19.0,1.61,61.333333333333336,True
2623,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,41843.63,25.2,18.31,1.58,1.15,1.25,35.4,,3.08%,87.90%,1.74,-13.40%,6.73%,7.60%,16.00%,3.00%,8.60%,18.70%,982.0,977.41,0.10%,-26.30%,82.40%,0.34%,1.34%,1.2,1.30%,5.20%,3.10%,0.9,0.8,1.04,1.23,55.00%,7.50%,4.70%,2.98%,0.09%,16.55%,23.38%,51.06%,6.42%,0.46,1.03,2.30%,2.26%,3.40%,6.35%,19.80%,-1.02%,14.53%,-1.02%,57.08%,64.33,-0.63%,-0.38%,10935.93,0.92,43.83,-1.02%,10065147,,48.35,7/6/1943,43.7,-0.30%,66.0,94,1.36,44.28,42.39,41.22,36.6,28.92,44.28,21.0,9.19,60.333333333333336,True
2664,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,23215.1,11.05,7.92,1.09,3.42,2.0,35.5,6.45,1.49%,14.30%,12.17,141.40%,-9.29%,50.00%,10.12%,66.80%,218.90%,162.90%,180.18,176.52,0.20%,-13.55%,91.00%,-1.41%,3.22%,2.07,9.70%,19.30%,17.50%,1.0,1.0,0.55,0.55,81.00%,57.80%,32.10%,-2.65%,3.90%,26.83%,77.92%,59.72%,24.65%,2.31,6.55,4.67%,4.94%,2.12%,7.60%,33.90%,-5.38%,30.55%,-5.38%,103.91%,55.38,-3.36%,0.95%,2743.81,1.55,134.44,-2.44%,4259239,2/22/2022 4:30:00 PM,149.39,10/12/2012,133.08,-1.01%,72.0,97,1.55,137.8,131.65,124.94,100.4,65.93,142.09,25.0,8.41,64.66666666666667,True
3051,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,USA,46980.5,80.2,48.89,4.58,14.06,60.7,18.41,39.03,,0.00%,3.63,24.70%,20.28%,81.90%,17.50%,21.20%,34.40%,28.80%,162.9,131.31,11.60%,-0.30%,70.10%,-2.45%,1.79%,1.49,10.70%,61.70%,35.90%,1.6,1.5,1.26,0.0,76.60%,19.50%,18.20%,-15.43%,-1.90%,-3.78%,-9.00%,75.30%,-18.93%,1.17,18.78,6.93%,5.79%,-8.84%,-8.31%,-2.15%,-21.63%,10.85%,-21.63%,80.83%,41.68,-12.69%,-0.52%,1575.98,1.64,291.37,-13.14%,2578805,2/3/2022 4:30:00 PM,363.2,11/18/2009,290.99,-0.13%,63.0,98,1.74,335.46,319.63,317.77,297.78,167.08,371.77,13.0,8.27,58.0,True
3543,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,30019.79,53.72,16.98,1.14,4.02,4.75,11.07,12.43,1.03%,55.00%,1.81,117.80%,12.47%,15.90%,47.10%,9.40%,369.00%,69.30%,308.3,278.01,0.30%,-32.89%,84.30%,-2.03%,2.23%,2.22,2.90%,9.70%,8.40%,1.4,1.3,1.29,1.38,70.50%,24.90%,7.50%,-3.90%,5.57%,27.99%,38.92%,31.63%,31.19%,1.77,3.96,4.16%,3.85%,0.99%,8.30%,18.50%,-5.70%,34.18%,-5.70%,56.82%,55.28,-2.58%,-1.46%,2798.95,1.86,97.12,-4.00%,5205602,1/26/2022 8:30:00 AM,113.17,5/24/1962,97.12,0.00%,63.0,93,1.31,101.17,96.16,89.68,81.96,61.93,102.99,9.0,11.86,55.0,True
