rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_sp1500
3,75.0,SGH,"SMART Global Holdings, Inc.",52.0,1.7,84,1.47,49.86,69.0,38.39,$24.37,$58.39,47.52,47.14,46.76,89.0,True
4,74.16666666666667,BNED,"Barnes & Noble Education, Inc.",43.0,2.0,98,3.17,9.98,11.5,15.23,$2.10,$12.01,10.7,9.75,8.23,81.5,True
6,73.66666666666667,GDEN,"Golden Entertainment, Inc.",35.0,1.7,97,2.8,48.73,61.5,26.21,$12.30,$54.86,49.86,48.01,37.38,89.0,True
7,72.66666666666667,CDMO,"Avid Bioservices, Inc.",33.0,1.7,96,2.42,26.0,28.25,8.65,$6.99,$28.36,23.21,22.99,21.17,89.0,True
9,71.83333333333333,PDCE,"PDC Energy, Inc.",31.0,1.8,98,3.05,52.6,60.06,14.18,$10.61,$53.30,48.91,44.48,38.82,86.5,True
16,69.66666666666667,AGO,Assured Guaranty Ltd.,36.0,1.7,84,1.47,54.72,58.0,5.99,$24.02,$55.68,50.29,49.11,45.71,89.0,True
19,69.33333333333333,AKR,Acadia Realty Trust,46.0,2.3,88,1.63,22.54,24.14,7.1,$9.10,$23.00,21.75,21.17,20.22,74.0,True
28,68.16666666666667,OLN,Olin Corporation,22.0,1.8,96,2.5,56.4,62.25,10.37,$16.03,$56.41,50.13,48.75,41.85,86.5,True
35,67.33333333333333,PXD,Pioneer Natural Resources Company,28.0,1.9,90,1.71,191.62,207.44,8.26,$76.99,$196.64,183.96,163.57,153.78,84.0,True
36,67.16666666666667,KFY,Korn Ferry,15.0,1.4,90,1.72,73.06,97.75,33.79,$29.95,$77.93,74.84,72.63,65.32,96.5,True
41,66.66666666666667,KRG,Kite Realty Group Trust,41.0,2.1,80,1.37,21.13,23.15,9.56,$10.00,$23.14,21.52,20.71,20.07,79.0,True
46,66.33333333333333,TPX,"Tempur Sealy International, Inc.",32.0,2.1,88,1.65,47.92,53.33,11.29,$21.19,$50.51,46.22,46.02,39.04,79.0,True
51,65.83333333333333,CHX,ChampionX Corporation,11.0,1.6,95,2.26,25.19,28.44,12.9,$6.87,$30.48,24.7,23.34,22.58,91.5,True
52,65.66666666666667,CZR,"Caesars Entertainment, Inc.",26.0,1.9,87,1.56,112.05,126.91,13.26,$43.07,$119.81,114.61,106.05,96.3,84.0,True
53,65.5,AX,"Axos Financial, Inc.",21.0,1.6,84,1.46,53.17,56.0,5.32,$25.50,$55.71,52.78,49.52,47.14,91.5,True
63,64.83333333333333,ACLS,"Axcelis Technologies, Inc.",20.0,1.8,88,1.63,49.29,57.17,15.99,$21.69,$52.80,48.09,47.83,41.6,86.5,True
69,64.5,TALO,Talos Energy Inc.,27.0,1.6,75,1.28,12.63,17.44,38.08,$5.71,$18.93,13.22,12.43,12.4,91.5,True
72,64.33333333333333,SLB,Schlumberger Limited,20.0,1.9,89,1.68,33.91,35.94,5.99,$13.70,$36.87,32.14,29.55,29.01,84.0,True
74,64.16666666666667,OII,"Oceaneering International, Inc.",19.0,2.2,97,2.86,15.4,16.83,9.29,$3.35,$18.20,14.57,13.26,12.94,76.5,True
