,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
1,OAS,0.6742156675291225,Oasis Petroleum Inc.,108.4,141.3,16.86,0.16,22.61,34.1,1.0
4,VG,12.479177346227152,Vonage Holdings Corp.,16.14,20.06,311.98,19.33,387.76,24.29,2.0
11,MCB,10.07484397728043,Metropolitan Bank Holding Corp.,88.4,100.59,251.87,2.85,286.68,13.82,3.0
5,OTTR,7.356868333860993,Otter Tail Corporation,58.24,62.34,183.92,3.16,196.99,7.11,4.0
0,ATEX,2.8293429781934094,Anterix Inc.,60.05,57.38,70.73,1.18,67.71,-4.27,5.0
10,MRVL,3.0906358517380688,"Marvell Technology, Inc.",67.17,63.09,77.27,1.15,72.55,-6.11,6.0
12,ARES,8.663120570760462,Ares Management Corporation,76.09,71.25,216.58,2.85,203.06,-6.24,7.0
9,JLL,5.796969013680713,Jones Lang LaSalle Incorporated,254.44,223.6,144.92,0.57,127.45,-12.05,8.0
6,TBI,0.5891345492728121,"TrueBlue, Inc.",30.93,26.55,14.73,0.48,12.74,-13.51,9.0
7,VVV,14.897140584948756,Valvoline Inc.,34.74,29.5,372.43,10.72,316.24,-15.09,10.0
13,TECH,14.078328230855647,Bio-Techne Corporation,499.49,400.84,351.96,0.7,280.59,-20.28,11.0
2,STKS,2.697281316228679,"The ONE Group Hospitality, Inc.",14.17,9.98,67.43,4.76,47.5,-29.56,12.0
3,FULC,0.466009518828155,"Fulcrum Therapeutics, Inc.",23.04,16.01,11.65,0.51,8.17,-29.87,13.0
8,SKIN,16.30693206059561,The Beauty Health Company,26.95,17.64,407.67,15.13,266.89,-34.53,14.0
