no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,10996.96,13.88,9.14,,0.98,2.88,7.57,244.38,0.67%,0.00%,4.29,85.00%,3.85%,28.00%,,-3.70%,769.80%,31.50%,187.0,184.17,0.10%,-49.91%,77.60%,0.28%,8.01%,1.83,5.60%,23.00%,5.60%,1.5,0.9,0.44,0.44,22.00%,12.60%,7.30%,-4.13%,10.98%,11.08%,60.77%,161.08%,0.08%,2.42,2.9,4.79%,4.54%,2.31%,15.24%,38.72%,-4.85%,41.59%,-4.85%,254.05%,60.8,-1.21%,3.97%,1.8,8040.18,1.97,61.25,2.72%,15829556,1/19/2022 4:30:00 PM,62.85,10/18/2016,61.25,0.00%,75.0,99,2.63,61.25,60.09,53.4,44.3,17.3,64.37,12.0,2.61,62.0,True
376,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1234.01,22.6,16.75,,5.01,1.51,5.77,30.17,0.18%,0.00%,1.47,-103.50%,20.04%,-16.20%,,4.60%,900.60%,-0.80%,37.13,26.15,0.80%,-10.17%,32.00%,0.19%,1.39%,3.35,0.70%,7.00%,21.20%,,,0.15,0.15,,,22.70%,-3.83%,-7.07%,24.24%,50.09%,121.62%,-4.17%,1.41,1.26,2.67%,3.50%,-2.59%,4.03%,32.13%,-8.82%,19.87%,-8.82%,145.65%,49.72,7.51%,-5.95%,1.8,108.51,1.45,33.48,1.12%,157403,1/20/2022 8:30:00 AM,34.33,8/29/2018,33.48,0.00%,75.0,99,2.04,33.48,34.33,32.25,25.41,13.63,36.72,14.0,2.54,62.666666666666664,True
419,APA,APA Corporation,Energy,Oil & Gas E&P,USA,11338.83,20.42,6.04,,1.64,,30.08,3.95,1.54%,6.30%,1.59,-36.40%,30.13%,14.80%,,-7.40%,,83.80%,379.0,362.15,0.30%,-1.87%,88.90%,0.12%,3.22%,1.23,4.60%,-48.50%,-60.50%,1.2,0.9,,,64.30%,27.50%,8.70%,1.19%,32.81%,20.55%,75.79%,85.35%,20.42%,4.63,1.41,4.76%,4.65%,6.84%,12.11%,37.90%,-9.14%,36.22%,-9.14%,122.74%,58.85,-1.67%,-1.85%,2.4,9469.2,0.92,31.25,-3.49%,8694038,11/3/2021 4:30:00 PM,35.95,8/2/1963,31.25,0.00%,56.0,97,1.61,31.25,29.55,27.89,22.73,14.03,34.4,17.0,15.04,56.666666666666664,True
449,APTS,Preferred Apartment Communities,Real Estate,REIT - Residential,USA,901.13,,,,1.93,0.85,16.5,8.27,4.06%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.51,0.40%,-0.13%,53.10%,0.30%,1.12%,1.06,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,-0.69%,19.74%,39.85%,67.12%,122.32%,-4.60%,1.23,0.64,3.05%,4.29%,-2.71%,10.84%,40.98%,-11.26%,32.97%,-11.26%,142.90%,52.75,-1.16%,0.41%,2.3,541.96,0.76,17.1,-0.75%,412532,11/8/2021 4:30:00 PM,14.75,4/1/2011,17.02,-0.47%,59.0,98,1.94,17.1,17.61,15.51,12.16,7.04,19.27,17.0,-13.74,58.0,True
472,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1546.84,98.86,2.65,,0.88,3.71,7.37,,0.99%,0.00%,1.02,-268.30%,96.78%,30.20%,,-10.60%,139.00%,55.50%,15.3,14.99,1.40%,-0.80%,,0.50%,29.24%,8.58,1.80%,10.00%,-41.40%,1.5,1.1,1.01,1.35,18.80%,3.10%,1.80%,2.54%,15.48%,5.09%,70.46%,96.60%,10.21%,0.95,4.49,4.63%,4.54%,0.13%,7.47%,29.35%,-10.55%,27.35%,-11.30%,140.02%,52.24,-6.39%,-0.60%,2.0,510.84,1.28,93.65,-6.95%,653370,10/26/2021 8:30:00 AM,122.0,10/5/2016,93.0,-0.69%,69.0,97,1.59,93.65,93.7,87.23,72.64,39.02,105.58,7.0,30.27,57.666666666666664,True
1278,CCB,Coastal Financial Corporation,Financial,Banks - Regional,USA,595.61,25.36,26.14,,7.88,3.71,0.88,26.24,,0.00%,1.96,14.60%,-9.16%,36.30%,,20.50%,59.80%,19.50%,12.0,9.61,2.60%,0.00%,55.70%,0.47%,1.95%,3.92,1.20%,16.20%,17.40%,,,0.17,0.0,,93.60%,32.20%,-5.82%,3.79%,48.52%,69.33%,136.58%,-1.62%,1.25,2.04,2.97%,3.96%,-4.96%,3.39%,40.80%,-10.16%,25.33%,-10.16%,149.26%,46.53,-1.79%,-0.06%,1.7,47.8,0.96,48.88,-1.85%,45688,,63.38,7/18/2018,48.88,0.00%,78.0,98,1.97,48.88,51.33,47.41,34.83,19.61,54.41,3.0,29.66,59.666666666666664,True
1580,CNOB,"ConnectOne Bancorp, Inc.",Financial,Banks - Regional,USA,1395.34,11.59,11.7,1.16,4.68,1.43,3.24,12.0,1.46%,12.90%,3.08,-13.80%,-4.69%,5.60%,10.00%,16.90%,29.20%,-0.30%,39.65,35.53,3.00%,-5.99%,73.90%,-0.08%,0.77%,2.08,1.60%,12.90%,19.60%,,,0.15,0.15,,85.10%,41.10%,0.48%,11.37%,10.27%,39.42%,64.21%,8.99%,1.28,1.1,4.36%,3.07%,3.04%,4.32%,18.80%,-4.81%,14.50%,-4.81%,80.62%,56.85,-0.87%,-0.34%,1.6,130.88,4.12,35.22,-1.21%,539753,1/27/2022 8:30:00 AM,39.0,6/4/1996,35.22,0.00%,81.0,95,1.43,35.22,34.35,33.77,29.7,19.5,37.0,13.0,10.73,63.0,True
1635,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,110976.52,25.98,11.19,,3.07,2.64,10.56,19.26,1.74%,51.00%,3.36,-139.20%,32.70%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.86,0.10%,-10.42%,80.40%,0.11%,1.13%,1.94,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,4.41%,27.56%,16.20%,53.49%,92.95%,20.92%,1.55,2.35,2.86%,2.75%,10.14%,15.33%,35.31%,-3.91%,29.98%,-3.91%,116.29%,70.13,-0.75%,-1.15%,1.8,7705.05,0.99,85.63,-1.89%,7624974,2/3/2022 8:30:00 AM,92.73,1/13/1978,85.68,0.06%,75.0,97,1.7,85.63,78.56,74.59,63.61,39.7,89.11,14.0,8.29,62.0,True
1687,CRC,California Resources Corporation,Energy,Oil & Gas E&P,USA,3478.87,0.51,8.3,0.04,2.24,3.34,18.41,12.29,1.58%,0.00%,83.93,,-13.87%,19.30%,14.00%,-8.30%,-43.20%,43.80%,81.6,79.72,0.84%,-92.55%,98.66%,0.06%,3.96%,4.35,116.50%,362.10%,125.40%,0.7,0.6,0.56,0.0,55.80%,,,-2.87%,1.41%,1.10%,60.75%,73.45%,0.80%,,1.98,4.54%,4.68%,-0.69%,0.11%,22.24%,-8.52%,17.04%,-9.15%,96.70%,48.67,0.37%,-0.81%,2.0,726.3,1.26,42.86,-0.44%,918466,11/11/2021 8:30:00 AM,57.6,10/28/2020,42.5,-0.84%,69.0,96,1.49,42.86,43.25,42.75,35.16,21.79,47.18,8.0,34.39,57.666666666666664,True
1793,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,USA,2130.1,7.77,10.66,0.78,2.96,1.93,1.92,6.86,,0.00%,8.8,82.30%,-29.20%,13.80%,10.00%,16.80%,116.90%,73.90%,32.45,29.57,6.70%,-25.45%,86.50%,3.00%,4.27%,2.67,1.30%,25.10%,5.30%,,,0.35,0.35,,83.90%,35.30%,-3.76%,19.80%,47.90%,80.46%,197.48%,4.57%,1.57,3.67,6.46%,4.88%,-4.35%,4.87%,44.53%,-14.28%,21.57%,-14.28%,211.21%,47.51,-4.35%,-0.19%,2.1,472.16,1.22,65.26,-4.53%,575184,1/24/2022 4:30:00 PM,73.25,2/21/2012,65.2,-0.09%,66.0,99,2.52,65.26,68.48,62.36,45.32,20.97,76.13,21.0,12.24,62.0,True
