,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
6,HSY,19.980727408965436,The Hershey Company,172.09,204.69,499.52,2.9,593.6,18.83,1.0
12,AFG,8.657518807583516,"American Financial Group, Inc.",125.86,136.34,216.44,1.72,234.5,8.34,2.0
11,LSI,5.226468987806771,"Life Storage, Inc.",125.99,131.16,130.66,1.04,136.41,4.4,3.0
2,AIZ,1.0457801567190141,"Assurant, Inc.",167.1,169.95,26.14,0.16,27.19,4.02,4.0
4,ZTS,2.372466637703849,Zoetis Inc.,207.23,185.29,59.31,0.29,53.73,-9.41,5.0
0,POOL,14.551175934424727,Pool Corporation,491.05,442.1,363.78,0.74,327.15,-10.07,6.0
9,CRAI,3.234464817539818,"CRA International, Inc.",94.77,84.13,80.86,0.85,71.51,-11.56,7.0
10,UFPT,8.76665729890704,"UFP Technologies, Inc.",66.82,58.83,219.17,3.28,192.96,-11.96,8.0
8,RPD,0.4106206317258033,"Rapid7, Inc.",123.24,102.51,10.27,0.08,8.2,-20.16,9.0
3,EQIX,5.25286585639029,"Equinix, Inc.",881.76,693.55,131.32,0.15,104.03,-20.78,10.0
5,CARR,20.730550375033502,Carrier Global Corporation,55.93,43.22,518.26,9.27,400.65,-22.69,11.0
7,BSY,0.3132657969954107,"Bentley Systems, Incorporated",68.99,36.44,7.83,0.11,4.01,-48.79,12.0
1,EPAM,9.45743729020482,"EPAM Systems, Inc.",627.12,200.14,236.44,0.38,76.05,-67.84,13.0
