rank,my_score,ticker,company,sentiment_score,analyst_recom,rs_rating,returns_multiple,current_price,target_price,est_gl,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,in_sp500
5,70.0,GNRC,Generac Holdings Inc.,20.0,94.0,96,2.38,404.95,497.0,22.73,$132.23,$452.92,417.37,361.28,289.13,True
24,64.5,ENPH,"Enphase Energy, Inc.",22.0,76.5,95,2.12,155.36,197.73,27.27,$56.28,$229.04,177.31,152.08,151.83,True
42,62.83,DFS,Discover Financial Services,21.0,76.5,91,1.84,127.19,135.94,6.88,$47.42,$127.65,120.14,119.13,94.71,True
44,62.67,SYF,Synchrony Financial,20.0,84.0,84,1.54,49.91,56.95,14.11,$21.67,$50.96,48.24,47.83,38.28,True
45,62.67,TGT,Target Corporation,19.0,84.0,85,1.56,228.42,279.74,22.47,$119.04,$254.53,244.41,231.55,193.05,True
51,61.17,ALGN,"Align Technology, Inc.",20.0,81.5,82,1.49,662.06,745.36,12.58,$279.83,$653.86,618.66,598.62,534.9,True
53,60.5,CRL,"Charles River Laboratories International, Inc.",14.0,86.5,81,1.47,416.69,448.0,7.51,$190.02,$386.57,373.55,350.57,288.22,True
55,60.5,JCI,Johnson Controls International plc,27.0,76.5,78,1.42,69.02,81.25,17.72,$36.07,$70.81,68.38,66.61,54.94,True
57,59.67,TRMB,Trimble Inc.,19.0,84.0,76,1.37,84.14,95.25,13.2,$43.23,$84.87,81.48,79.08,70.21,True
59,59.17,INTU,Intuit Inc.,19.0,86.5,72,1.31,543.97,596.52,9.66,$281.19,$511.69,493.39,459.97,394.69,True
61,59.0,NVDA,NVIDIA Corporation,18.0,84.0,75,1.36,207.42,226.4,9.15,$391.08,$835.00,786.58,696.7,583.77,True
62,58.83,HCA,"HCA Healthcare, Inc.",11.0,81.5,84,1.53,247.79,266.62,7.6,$103.17,$221.71,212.37,210.41,176.69,True
66,58.17,ZBRA,Zebra Technologies Corporation,14.0,81.5,79,1.44,510.98,580.0,13.51,$246.83,$549.98,526.49,508.09,431.52,True
68,58.17,CARR,Carrier Global Corporation,16.0,81.5,77,1.39,52.46,59.82,14.03,$25.60,$49.75,47.95,46.17,40.15,True
69,58.17,PYPL,"PayPal Holdings, Inc.",17.0,86.5,71,1.29,264.65,327.67,23.81,$166.50,$309.14,293.22,271.69,243.82,True
71,57.67,IDXX,"IDEXX Laboratories, Inc.",10.0,84.0,79,1.44,623.98,717.5,14.99,$334.59,$669.20,640.59,587.5,508.09,True
75,56.33,PTC,PTC Inc.,14.0,84.0,71,1.3,120.51,164.71,36.68,$79.31,$149.50,140.66,135.33,123.79,True
76,56.0,APTV,Aptiv PLC,13.0,79.0,76,1.37,152.7,171.0,11.98,$76.18,$160.53,154.93,150.72,135.1,True
79,55.0,EXR,Extra Space Storage Inc.,11.0,79.0,75,1.36,168.94,192.86,14.16,$94.10,$174.89,167.8,157.25,129.07,True
80,54.83,WELL,Welltower Inc.,12.0,76.5,76,1.37,83.85,89.35,6.56,$48.90,$89.37,84.62,79.33,68.29,True
