no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,253905.81,22.91,12.01,5.59,4.52,17.0,25.83,19.95,3.82%,80.30%,6.45,137.00%,-12.99%,12.20%,4.10%,17.00%,11133.30%,7.40%,1773.0,1766.31,0.10%,-22.57%,69.00%,1.10%,0.87%,1.98,7.70%,83.00%,17.90%,0.8,0.7,4.17,4.98,69.20%,31.90%,20.40%,2.60%,8.68%,26.83%,23.57%,36.31%,9.14%,0.76,3.24,2.35%,2.03%,3.50%,7.43%,22.90%,-1.72%,15.81%,-1.72%,44.80%,66.12,0.98%,-2.14%,7786.53,1.42,147.77,-1.18%,11087836,2/2/2022 8:30:00 AM,150.69,12/10/2012,147.62,-0.10%,69.0,90,1.22,147.77,143.27,137.9,120.39,102.05,150.36,11.0,1.98,56.666666666666664,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,28954.97,18.51,12.32,1.79,0.13,122.87,8.17,16.11,1.29%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.31%,65.80%,1.31%,1.30%,1.76,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,0.73%,5.82%,18.55%,18.88%,38.15%,7.25%,0.46,3.44,2.32%,2.35%,1.98%,5.74%,15.26%,-1.17%,16.38%,-1.17%,41.53%,61.1,2.31%,-1.84%,1103.6,1.12,142.53,0.43%,1241223,2/2/2022 8:30:00 AM,153.92,4/4/1995,142.53,0.00%,63.0,90,1.23,142.53,140.06,135.17,123.77,101.84,144.22,12.0,7.99,55.0,True
236,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,47699.84,5.64,9.85,0.18,0.92,0.78,21.7,9.18,2.09%,11.60%,10.86,257.40%,17.05%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,813.92,0.10%,-1.85%,93.00%,-2.61%,0.73%,1.15,1.60%,14.50%,11.70%,,,0.46,0.46,,25.70%,18.00%,-0.79%,8.54%,9.26%,11.33%,35.16%,7.70%,1.28,2.18,3.27%,3.02%,0.90%,3.80%,11.85%,-3.62%,18.11%,-3.62%,40.36%,53.08,-0.02%,-3.02%,5179.86,1.47,61.24,-3.04%,7596583,2/16/2022 4:30:00 PM,67.54,4/3/1972,60.43,-1.32%,63.0,90,1.21,61.24,60.91,59.14,54.81,44.54,63.54,14.0,10.29,55.666666666666664,True
688,AXP,American Express Company,Financial,Credit Services,USA,143636.66,19.47,17.2,0.56,3.35,6.74,6.74,12.33,0.88%,17.20%,9.99,166.10%,16.68%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.77%,87.00%,-2.19%,1.36%,2.4,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,-0.17%,13.17%,24.05%,15.35%,40.25%,18.91%,1.1,5.59,3.27%,2.59%,2.31%,10.48%,14.51%,-2.51%,27.28%,-2.51%,45.41%,61.93,2.53%,-2.05%,4308.8,1.34,194.54,0.43%,5787432,1/25/2022 8:30:00 AM,199.0,4/4/1972,194.2,-0.17%,56.0,91,1.25,194.54,191.01,176.74,170.09,135.13,199.55,14.0,2.29,53.666666666666664,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,29389.11,,17.03,,1.43,1.59,6.01,31.74,2.45%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.99%,88.80%,4.92%,2.74%,2.55,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,0.93%,7.62%,27.41%,27.35%,17.61%,22.11%,1.45,1.17,4.19%,3.86%,4.46%,10.49%,20.23%,-2.41%,29.06%,-2.41%,56.69%,60.99,0.34%,-0.75%,8770.32,1.26,29.38,-0.41%,11034156,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.38,0.00%,69.0,79,1.05,29.38,28.24,26.7,24.46,18.75,30.11,-2.0,10.31,48.666666666666664,True
1573,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,46610.9,36.41,13.07,3.4,0.37,1.82,3.47,16.28,,0.00%,2.27,-0.60%,16.69%,16.60%,10.69%,37.30%,2.30%,11.40%,583.24,576.13,1.90%,-1.41%,95.50%,0.87%,1.24%,1.97,1.00%,2.80%,4.70%,,,0.7,0.71,,1.20%,0.60%,0.68%,8.33%,11.80%,29.13%,39.11%,0.27%,0.51,2.35,2.65%,2.74%,1.06%,1.98%,14.23%,-4.83%,10.95%,-4.83%,42.25%,53.97,1.99%,-3.01%,3618.43,0.75,82.62,-1.08%,2718470,2/8/2022 8:30:00 AM,95.33,12/13/2001,82.62,0.00%,69.0,91,1.24,82.62,82.02,81.01,72.4,58.37,86.81,19.0,15.38,59.666666666666664,True
1646,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,118491.52,15.63,12.18,4.02,2.59,2.75,21.65,12.72,1.50%,32.50%,6.07,342.80%,-13.67%,32.60%,3.89%,13.70%,376.60%,175.40%,1315.13,1298.37,0.10%,-21.00%,80.10%,-1.96%,1.13%,1.77,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,5.84%,5.80%,33.08%,67.65%,80.81%,31.42%,1.43,3.58,5.14%,3.67%,4.57%,13.92%,39.21%,-0.07%,44.00%,-0.07%,98.79%,64.74,4.62%,-0.66%,8273.47,1.82,94.86,3.93%,15092283,2/3/2022 8:30:00 AM,103.56,1/13/1978,94.96,0.11%,75.0,97,1.61,94.86,91.0,83.79,68.48,47.85,95.07,4.0,9.17,58.666666666666664,True
1788,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,18587.94,13.68,9.12,0.18,5.39,4.01,243.62,83.28,1.93%,59.90%,1.71,-69.30%,-18.64%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.40%,94.50%,73.35%,4.18%,3.99,5.90%,11.90%,1.70%,1.0,0.9,0.41,0.41,76.20%,11.20%,7.90%,3.28%,11.15%,11.10%,54.12%,27.73%,22.79%,-0.2,1.04,6.08%,4.19%,2.43%,9.24%,23.60%,-4.35%,26.86%,-4.35%,68.69%,57.75,2.78%,-0.04%,8377.4,1.77,23.33,2.73%,14809431,2/23/2022 4:30:00 PM,27.48,2/8/1990,23.33,0.00%,59.0,83,1.1,23.33,22.86,21.42,19.22,14.28,24.39,30.0,17.79,57.333333333333336,True
2064,DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,30926.55,23.98,18.98,1.61,1.19,4.41,44.09,87.51,,0.00%,5.92,62.90%,33.72%,34.90%,14.90%,10.50%,-30.50%,3.90%,224.9,221.94,1.34%,-0.67%,97.00%,10.53%,2.09%,1.79,6.60%,19.00%,14.20%,1.3,0.2,0.45,0.45,29.80%,7.40%,5.30%,-0.53%,10.74%,0.69%,56.32%,43.18%,1.11%,0.74,4.52,3.93%,2.98%,4.17%,4.42%,25.96%,-1.65%,14.93%,-4.88%,68.62%,59.05,1.03%,-0.04%,2597.55,1.27,142.08,0.99%,3289176,3/2/2022 8:30:00 AM,154.26,3/7/1995,142.08,0.00%,53.0,92,1.28,142.08,137.08,136.1,112.96,84.26,149.37,7.0,8.57,50.666666666666664,True
2435,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,69006.01,22.22,11.17,0.3,4.45,3.03,13.25,11.71,2.61%,24.80%,5.17,864.80%,-4.21%,43.20%,73.84%,20.10%,483.80%,104.40%,584.0,582.89,0.30%,1.79%,87.80%,-0.51%,1.20%,1.55,12.60%,21.80%,17.70%,2.1,2.0,0.23,0.23,60.80%,39.30%,30.00%,2.96%,4.71%,34.51%,68.88%,83.27%,29.37%,1.78,4.96,6.00%,4.00%,2.64%,12.37%,35.21%,-1.75%,42.46%,-1.75%,87.77%,60.69,5.54%,1.50%,4489.82,1.73,114.92,7.12%,7781777,2/25/2022 8:30:00 AM,118.33,10/4/1989,114.2,-0.63%,69.0,97,1.58,114.92,112.22,102.87,86.76,62.81,116.97,18.0,2.97,61.333333333333336,True
