rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
2,77.0,SKIN,The Beauty Health Company,50.0,1.7,92,1.9,27.04,30.0,10.95,$9.71,$28.62,26.33,25.5,16.57,89.0,True
3,76.83333333333333,NOTV,"Inotiv, Inc.",25.0,1.0,99,4.91,33.73,64.5,91.22,$4.85,$50.33,32.7,31.32,24.35,106.5,True
4,75.66666666666667,BPOP,"Popular, Inc.",52.0,1.7,86,1.57,83.5,97.25,16.47,$38.05,$83.81,80.1,76.91,72.97,89.0,True
5,75.16666666666667,HCCI,"Heritage-Crystal Clean, Inc",44.0,1.4,85,1.56,33.2,37.6,13.25,$14.72,$35.09,30.06,29.16,28.1,96.5,True
6,75.0,SGH,"SMART Global Holdings, Inc.",52.0,1.7,84,1.52,49.86,72.0,44.4,$24.37,$58.39,47.52,47.14,46.76,89.0,True
7,74.5,AMRK,"A-Mark Precious Metals, Inc.",54.0,2.0,88,1.65,67.91,71.5,5.29,$25.08,$71.07,64.88,57.24,44.58,81.5,True
8,74.16666666666667,BNED,"Barnes & Noble Education, Inc.",43.0,2.0,98,3.41,9.98,11.5,15.23,$2.10,$12.01,10.7,9.75,8.23,81.5,True
10,73.66666666666667,GDEN,"Golden Entertainment, Inc.",35.0,1.7,97,2.78,48.73,63.0,29.28,$12.30,$54.86,49.86,48.01,37.38,89.0,True
11,72.66666666666667,CDMO,"Avid Bioservices, Inc.",33.0,1.7,96,2.62,26.0,28.25,8.65,$6.99,$28.36,23.21,22.99,21.17,89.0,True
13,71.83333333333333,PDCE,"PDC Energy, Inc.",31.0,1.8,98,3.26,52.6,63.88,21.44,$10.61,$53.30,48.91,44.48,38.82,86.5,True
14,71.83333333333333,FANG,"Diamondback Energy, Inc.",32.0,1.8,97,3.03,109.33,122.26,11.83,$23.63,$114.73,105.12,87.95,80.08,86.5,True
16,71.5,AJX,Great Ajax Corp.,55.0,2.0,78,1.37,14.35,17.4,21.25,$7.57,$14.40,13.93,13.77,12.44,81.5,True
19,70.83333333333333,RWT,"Redwood Trust, Inc.",49.0,1.6,72,1.25,13.9,15.25,9.71,$7.99,$14.10,13.46,12.86,11.27,91.5,True
21,70.5,CNXC,Concentrix Corporation,15.0,1.0,90,1.77,185.23,208.67,12.65,$80.00,$186.04,180.2,173.27,150.97,106.5,True
23,69.83333333333333,CARE,"Carter Bankshares, Inc.",42.0,2.0,86,1.58,14.88,16.17,8.67,$6.73,$16.28,14.62,13.64,13.0,81.5,True
24,69.66666666666667,SB,"Safe Bulkers, Inc.",41.0,2.5,99,3.83,4.67,5.6,19.91,$0.82,$5.44,4.89,4.46,3.42,69.0,True
25,69.66666666666667,AGO,Assured Guaranty Ltd.,36.0,1.7,84,1.5,54.72,58.0,5.99,$24.02,$55.68,50.29,49.11,45.71,89.0,True
26,69.33333333333333,AKR,Acadia Realty Trust,46.0,2.3,88,1.68,22.54,24.29,7.76,$9.10,$23.00,21.75,21.17,20.22,74.0,True
28,69.16666666666667,DVN,Devon Energy Corporation,23.0,1.8,98,3.5,40.44,44.26,9.45,$7.73,$41.98,38.67,32.75,26.3,86.5,True
29,69.0,NOG,"Northern Oil and Gas, Inc.",19.0,1.7,99,4.41,24.95,29.62,18.72,$3.35,$27.87,24.1,19.73,16.18,89.0,True
30,68.83333333333333,KE,"Kimball Electronics, Inc.",10.0,1.0,90,1.76,29.12,33.0,13.32,$11.60,$29.99,27.64,25.66,23.25,106.5,True
32,68.66666666666667,ESTE,"Earthstone Energy, Inc.",30.0,2.1,97,2.87,9.85,16.61,68.63,$2.41,$13.15,10.35,9.07,8.6,79.0,True
33,68.66666666666667,ASIX,AdvanSix Inc.,18.0,1.5,94,2.2,45.27,50.0,10.45,$14.10,$45.91,43.33,39.11,31.35,94.0,True
34,68.66666666666667,LPLA,LPL Financial Holdings Inc.,29.0,1.7,88,1.65,174.9,193.89,10.86,$75.25,$175.37,166.05,154.23,141.98,89.0,True
