,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return
3,AAP,1.3964399450350886,"Advance Auto Parts, Inc.",205.5800018310547,204.0800018310547,34.91,0.17,34.69,-0.63
2,BK,0.6449806201952979,The Bank of New York Mellon Corporation,50.86000061035156,50.0,16.12,0.32,16.0,-0.74
9,DXCM,15.04264917663701,"DexCom, Inc.",413.69000244140625,390.260009765625,376.07,0.91,355.14,-5.57
5,EFX,20.750902691606022,Equifax Inc.,225.94000244140625,223.89999389648438,518.77,2.3,514.97,-0.73
6,GOOG,3.9120767906047975,Alphabet Inc.,2679.989990234375,2609.510009765625,97.8,0.04,104.38,6.73
7,INTU,20.906677162410123,Intuit Inc.,457.57000732421875,439.32000732421875,522.67,1.14,500.82,-4.18
4,IT,13.236124628987916,"Gartner, Inc.",282.19000244140625,279.8299865722656,330.9,1.17,327.4,-1.06
0,LLY,20.26821594519631,Eli Lilly and Company,265.07000732421875,266.29998779296875,506.71,1.91,508.63,0.38
8,MPWR,0.22872443188844332,"Monolithic Power Systems, Inc.",418.989990234375,395.739990234375,5.72,0.01,3.96,-30.77
1,SEE,3.613208607439002,Sealed Air Corporation,64.69999694824219,64.7699966430664,90.33,1.4,90.68,0.39
