"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",37967.00,32.54,24.22,2.32,6.01,7.16,24.11,35.78,0.66%,19.10%,3.94,71.00%,10.21%,22.90%,14.00%,8.50%,102.30%,11.90%,301.00,299.66,0.20%,-18.00%,91.10%,0.22%,1.75%,2.80,11.70%,24.30%,14.70%,2.20,1.70,0.51,0.51,53.90%,21.30%,19.10%,-5.18%,-4.77%,-17.21%,-26.05%,4.95%,-19.73%,1.06,4.43,4.06%,3.08%,-6.45%,-11.43%,-15.63%,-21.20%,1.75%,-28.64%,13.94%,34.32,3.27%,-1.52%,,1871.20,1.83,128.15,1.71%,3430140,2/22/2022 4:30:00 PM,175.32,11/18/1999,128.15,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",13410.97,33.24,10.21,,1.10,3.53,9.24,,0.55%,0.00%,2.21,85.00%,-9.51%,28.00%,,-3.70%,769.80%,31.50%,187.00,186.96,0.70%,-30.43%,83.90%,8.22%,5.18%,1.19,3.00%,12.10%,5.00%,1.50,0.90,0.44,0.44,24.70%,8.10%,3.50%,-5.83%,19.75%,49.53%,74.27%,186.78%,23.03%,2.28,4.11,6.12%,5.77%,8.00%,18.22%,53.17%,-8.47%,55.30%,-8.47%,210.07%,60.50,-2.49%,-0.20%,2.00,8121.57,1.43,73.30,-2.68%,11609484,1/19/2022 4:30:00 PM,71.36,10/18/2016,73.20,-0.14%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40%,2.67%,5.96%,5.90%,7.04%,3.74%,,0.21,1.27%,0.89%,3.15%,4.14%,4.80%,-0.68%,8.08%,-0.74%,13.00%,66.17,-2.83%,2.32%,,473.72,4.72,18.86,-0.58%,2233978,,,8/15/2018,18.86,0.00%
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1219.43,43.53,,,,1.30,1354.92,,,,0.22,,,,,,,,125.00,100.00,,,74.60%,8.07%,0.14%,0.51,,,,1.70,1.70,0.00,0.00,,,,0.10%,0.31%,-0.81%,0.62%,,0.10%,,0.03,0.24%,0.29%,0.07%,-0.01%,-0.17%,-0.51%,0.52%,-2.50%,2.63%,51.31,0.21%,-0.10%,,274.37,0.22,9.75,0.10%,60132,,,3/25/2021,,
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",46.85,,,,1.56,1.40,3.94,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.10%,-2.26%,0.25%,0.11,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,-13.55%,-22.09%,-22.54%,-49.05%,-73.52%,25.18%,1.38,0.15,13.15%,10.21%,-12.79%,-15.51%,-43.25%,-54.42%,34.00%,-77.89%,34.00%,38.81,11.67%,-4.76%,1.50,672.72,0.05,1.34,6.35%,33066,,32.50,1/29/2008,1.28,-4.48%
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",204.13,,,,,1.36,510.34,,,,-0.09,,,,,,,,20.71,15.16,26.79%,0.00%,59.70%,,1.23%,4.68,,,,0.40,0.40,0.00,0.00,,,,-0.51%,-0.81%,,,,0.10%,,0.05,0.30%,0.29%,-0.43%,-0.08%,-0.03%,-1.51%,4.93%,-1.51%,4.93%,45.88,-0.91%,0.61%,,39.89,0.21,9.80,-0.31%,8444,,,11/10/2021,9.79,-0.10%
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,,,,,,-0.09,,,,,,,,,10.72,,,8.30%,,0.00%,0.09,,,,,,,,,,,0.30%,-0.10%,1.26%,,,-0.10%,,0.10,0.04%,0.36%,0.05%,0.41%,0.77%,-4.84%,2.24%,-4.84%,2.66%,51.38,0.00%,0.00%,,5.15,0.04,10.02,0.00%,0,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,58.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.12%,-39.28%,,,,-48.17%,,0.05,12.55%,15.68%,-14.14%,-35.08%,-36.82%,-56.70%,37.90%,-56.70%,37.90%,36.49,-3.33%,-3.23%,,29.81,3.42,0.29,-6.45%,101800,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",359.31,,,,3593.13,1.05,2.23,,,,-11.63,82.30%,52.60%,30.90%,,,-705.00%,,20.89,13.65,0.10%,0.00%,59.60%,9.33%,4.53%,3.52,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,-13.81%,-13.77%,-31.28%,-49.79%,-37.02%,-30.77%,1.53,1.39,7.42%,7.01%,-10.42%,-22.13%,-36.20%,-37.14%,0.42%,-66.43%,16.83%,36.53,4.96%,-4.32%,1.60,175.67,1.03,16.72,0.42%,181478,,48.75,8/8/2017,16.72,0.00%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.12%,-3.13%,-8.51%,-13.05%,-12.57%,-9.14%,,1.25,1.76%,1.34%,-6.00%,-6.83%,-10.07%,-10.13%,1.07%,-15.83%,1.07%,33.22,3.16%,-4.97%,,3.91,0.65,58.38,-1.97%,2558,,,7/21/2010,,
