Company,Recommendations
VVR,1.0
PETQ,1.3
RLMD,1.3
GSL,1.3
NCNA,1.4
ASIX,1.5
DNMR,1.5
KNSA,1.6
LRN,1.6
LX,1.6
BTRS,1.6
ARAY,1.6
ATEN,1.7
DLTH,1.7
DAC,1.7
PRPL,1.7
DAO,1.8
ACBI,1.8
TLMD,1.8
BRBR,1.8
DEA,1.9
NEX,1.9
HARP,1.9
RAAS,2.0
IMAX,2.0
KOS,2.0
ERF,2.0
AZRE,2.0
DRD,2.0
COE,2.0
TTMI,2.0
PRVB,2.0
LZB,2.0
PING,2.0
APPH,2.0
BGFV,2.0
PLYA,2.0
MDGL,2.1
SAND,2.2
VLDR,2.2
IO,2.2
ZUMZ,2.2
CSII,2.3
EPAY,2.3
LPI,2.3
AVID,2.4
DHT,2.4
NTGR,2.4
CHMA,2.4
FNKO,2.4
REAL,2.4
BRMK,2.5
SEAC,2.5
FGEN,2.5
SFL,2.5
CBD,2.5
BRY,2.6
NS,2.6
GOL,2.6
FCF,2.6
LBRT,2.6
LLNW,2.7
DK,2.7
LC,2.7
YELL,2.7
AFIN,2.7
DBI,2.8
HMLP,2.8
INSG,2.8
NWBI,2.8
BEST,2.8
SSYS,2.9
CCO,2.9
GNW,3.0
FSM,3.0
BTU,3.0
CANG,3.0
CENX,3.0
LCI,3.0
WPG,3.0
NFH,3.0
SPWH,3.0
LTRPA,3.0
HYLN,3.0
BGS,3.1
ORBC,3.2
FOE,3.2
DHC,3.3
YPF,3.6
SKT,3.6
ORPH,4.0
GCI,4.3
GILT,6.0
LITB,6.0
KNDI,6.0
FHS,6.0
INST,6.0
GSAH,6.0
SCR,6.0
HUT,6.0
