Company,Recommendations
IEP,1.0
CUE,1.3
LOPE,1.5
CRNT,1.5
GRWG,1.6
NEO,1.6
ERIC,1.7
DRNA,1.7
PFGC,1.7
WIX,1.7
CLLS,1.7
RIOT,1.7
EXAS,1.7
BABA,1.7
MARA,1.7
ZEN,1.7
NLOK,1.8
V,1.8
NFE,1.8
UBER,1.8
VRTX,1.8
ET,1.8
RUN,1.8
BZUN,1.8
SAIL,1.8
RDS-B,1.8
FUN,1.9
DG,1.9
MCK,1.9
AMT,1.9
MU,1.9
GOLD,1.9
HAS,1.9
MRVL,1.9
NVDA,1.9
WMT,1.9
YETI,1.9
LSCC,1.9
NET,1.9
BUD,2.0
NFLX,2.0
TTWO,2.0
IIPR,2.0
BCO,2.0
CROX,2.0
BZH,2.0
JLL,2.0
LULU,2.1
MRK,2.1
MKL,2.1
DLR,2.1
EGHT,2.1
OKTA,2.1
EA,2.1
SIX,2.1
DAL,2.1
CX,2.1
CVS,2.1
Z,2.2
BLDP,2.2
BRK-B,2.2
CCI,2.2
GS,2.2
LBTYA,2.2
FTNT,2.2
DPZ,2.2
COLM,2.2
POOL,2.3
ENB,2.3
CSCO,2.3
CAMP,2.3
GDOT,2.3
HUYA,2.3
BIIB,2.3
SWKS,2.3
AEIS,2.3
SPG,2.4
STOR,2.4
GRMN,2.4
AIG,2.4
BRKR,2.4
CMI,2.4
HSY,2.4
EBAY,2.4
EXPE,2.4
SYY,2.5
ALB,2.5
BE,2.5
SAM,2.5
CNK,2.5
MRNA,2.5
F,2.5
PFE,2.6
FSLR,2.6
NUVA,2.6
GKOS,2.6
PFPT,2.7
NOK,2.7
IBM,2.7
VZ,2.7
TRIP,2.8
INSG,2.8
BYND,2.8
VRA,2.8
ORCL,2.8
FAST,2.9
EQR,2.9
BLCM,3.0
HA,3.0
IRBT,3.0
NVCR,3.0
GRUB,3.0
SPWR,3.1
FCEL,3.3
AMC,3.6
"VWEHX, VSMAX",6.0
VEUSX,6.0
VTSAX,6.0
XLE,6.0
VFSTX,6.0
VIPSX,6.0
VPADX,6.0
VGSLX,6.0
VEMAX,6.0
IMPUY,6.0
SYAAF,6.0
AMKBY,6.0
BRPHF,6.0
BYDDY,6.0
CRLBF,6.0
CURLF,6.0
CZZ,6.0
DEM,6.0
EMF,6.0
GDX,6.0
GTBIF,6.0
INCR-U,6.0
KHRNF,6.0
LIT,6.0
LUN-T,6.0
LVGO,6.0
MGPHF,6.0
NGPHF,6.0
PCLOF,6.0
PSHZF,6.0
TDF,6.0
ZEST,6.0
