no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,258496.35,34.58,11.84,8.43,4.69,18.96,21.1,24.07,3.88%,133.00%,4.2,11.50%,-13.34%,21.91%,4.10%,17.00%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.58%,69.70%,1.97%,0.91%,2.1,4.40%,49.90%,19.60%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,-0.41%,9.15%,22.20%,20.66%,35.35%,7.29%,0.78,3.05,2.04%,2.01%,2.63%,6.25%,21.15%,-2.08%,16.03%,-2.08%,42.35%,64.87,1.13%,-2.12%,7676.67,1.57,145.27,-1.02%,12069180,2/2/2022 8:30:00 AM,149.45,12/10/2012,145.47,0.14%,69.0,90,1.21,145.27,142.1,137.11,120.06,102.05,148.35,14.0,2.88,57.666666666666664,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,28956.11,17.9,11.91,1.73,0.13,118.84,8.18,16.11,1.33%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-44.49%,65.70%,1.02%,1.13%,1.57,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-3.41%,5.19%,11.48%,16.74%,34.04%,3.74%,0.46,3.27,1.98%,2.36%,-0.85%,2.79%,11.67%,-4.41%,13.93%,-4.41%,36.89%,49.85,0.21%,-1.36%,1084.09,1.67,137.86,-1.15%,1807855,2/2/2022 8:30:00 AM,153.92,4/4/1995,137.29,-0.41%,63.0,90,1.2,137.86,139.41,134.43,123.55,100.71,144.22,13.0,11.65,55.333333333333336,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3951.42,16.14,15.72,5.38,4.67,0.65,39.12,,1.57%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.20%,-12.45%,91.70%,-4.66%,2.68%,3.94,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,-5.42%,7.54%,4.25%,11.53%,28.25%,11.95%,1.13,1.62,2.75%,2.67%,0.47%,6.07%,12.25%,-6.08%,25.06%,-6.08%,36.74%,52.84,2.72%,-3.49%,450.7,1.01,56.2,-0.86%,452959,2/24/2022 4:30:00 PM,61.0,4/23/2004,56.69,0.87%,78.0,87,1.15,56.2,56.16,53.16,50.11,41.1,59.84,37.0,8.54,67.33333333333333,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,49849.13,9.48,9.9,0.31,1.05,0.77,22.68,9.59,2.12%,11.60%,6.37,257.40%,14.68%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,829.46,0.10%,-1.74%,91.40%,-2.44%,0.98%,1.6,1.60%,14.50%,11.70%,,,0.46,0.46,,28.10%,19.60%,0.07%,3.73%,2.51%,9.92%,37.38%,6.19%,1.3,2.06,3.31%,3.18%,0.26%,2.86%,10.51%,-4.97%,16.45%,-4.97%,38.39%,51.02,1.74%,-3.56%,5103.75,1.23,60.38,-1.88%,6276327,2/16/2022 4:30:00 PM,65.62,4/3/1972,59.68,-1.16%,63.0,91,1.23,60.38,60.36,58.83,54.69,43.63,63.54,14.0,8.68,56.0,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1309.1,38.12,18.58,1.52,3.17,3.08,11.42,29.42,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.86,0.60%,-32.27%,62.50%,4.81%,5.25%,6.94,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,3.92%,10.64%,30.12%,46.13%,54.05%,18.33%,0.69,1.17,3.70%,5.13%,6.75%,12.60%,31.78%,-1.22%,30.12%,-1.22%,62.98%,63.25,2.95%,-2.51%,278.94,1.68,27.56,0.36%,467309,,28.25,6/25/2014,27.56,0.00%,53.0,95,1.38,27.56,25.96,24.6,20.96,16.91,27.9,12.0,2.5,53.333333333333336,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1390.04,14.45,15.97,1.81,0.11,1.37,6.41,,1.70%,26.00%,2.94,-69.00%,-5.57%,18.80%,8.00%,13.90%,,59.00%,33.28,30.77,2.60%,-27.06%,81.30%,4.05%,1.61%,2.43,2.20%,9.00%,0.00%,1.4,0.9,0.53,0.9,4.70%,1.00%,0.70%,6.49%,12.38%,14.01%,37.35%,56.72%,9.71%,0.71,1.51,4.35%,3.80%,10.45%,10.95%,28.54%,1.53%,23.28%,1.53%,69.41%,70.72,3.56%,-1.35%,203.91,2.05,42.47,2.17%,418591,2/15/2022 4:30:00 PM,45.75,2/20/1996,42.54,0.16%,69.0,95,1.4,42.47,38.68,38.43,33.09,25.07,42.65,16.0,7.72,60.0,True
690,AXP,American Express Company,Financial,Credit Services,USA,143633.83,18.85,16.59,0.55,3.35,6.52,6.74,12.33,0.91%,17.20%,9.99,166.10%,17.14%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.00%,87.00%,-2.10%,1.33%,2.37,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,-5.06%,8.80%,10.24%,13.34%,37.40%,15.13%,1.11,5.44,2.83%,2.70%,-0.03%,7.65%,11.11%,-5.61%,23.23%,-5.61%,40.78%,54.42,4.54%,-4.65%,4253.74,1.38,188.35,-0.32%,5885808,1/25/2022 8:30:00 AM,196.6,4/4/1972,188.0,-0.19%,56.0,91,1.23,188.35,189.05,175.47,169.68,133.79,199.55,13.0,4.38,53.333333333333336,True
791,BCOR,"Blucora, Inc.",Financial,Asset Management,USA,949.03,130.48,8.92,8.7,1.07,2.6,5.12,12.41,,,0.15,-831.20%,12.27%,47.75%,15.00%,45.00%,-4.60%,-0.70%,48.71,47.6,1.90%,8.42%,95.60%,3.52%,2.61%,3.12,-1.60%,-5.00%,-34.70%,2.1,2.1,1.54,1.54,45.80%,6.40%,-2.00%,-2.89%,22.24%,9.54%,17.31%,12.56%,10.74%,1.57,0.8,4.76%,4.60%,9.33%,11.38%,14.34%,-6.89%,27.02%,-6.89%,34.98%,66.01,2.02%,-1.78%,397.72,1.21,19.18,0.21%,480623,2/16/2022 8:30:00 AM,23.67,12/15/1998,19.18,0.00%,69.0,75,1.01,19.18,17.73,17.26,16.79,14.21,20.6,15.0,23.41,53.0,True
935,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,29833.47,,16.65,,1.46,1.55,6.1,32.22,2.51%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.95%,88.90%,4.85%,8.21%,7.69,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,-3.33%,2.83%,20.88%,28.44%,16.13%,19.37%,1.47,1.22,3.96%,4.10%,2.74%,8.80%,17.76%,-4.60%,26.16%,-4.60%,53.17%,57.32,-2.68%,1.58%,8735.05,1.36,28.72,-1.14%,11865676,1/20/2022 8:30:00 AM,32.41,10/3/1961,28.71,-0.03%,69.0,78,1.04,28.72,28.01,26.48,24.41,18.75,30.11,1.0,12.85,49.333333333333336,True
1281,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,4058.51,42.74,11.16,3.6,1.12,5.16,22.67,,2.05%,81.90%,1.69,199.60%,11.62%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-4.56%,92.40%,-0.51%,2.15%,2.94,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,-3.23%,29.91%,20.85%,32.59%,44.78%,28.29%,1.46,2.38,2.79%,3.67%,9.24%,19.55%,26.68%,-3.70%,41.12%,-3.70%,51.50%,68.74,3.40%,-3.11%,411.12,1.35,72.1,0.18%,555679,1/31/2022 4:30:00 PM,77.33,8/23/1968,72.1,0.00%,69.0,93,1.29,72.1,66.87,60.66,56.97,47.59,74.87,9.0,7.25,57.0,True
