no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
23,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2754.63,5.61,7.4,0.56,0.72,1.06,,3.73,,0.00%,17.07,218.90%,-26.13%,115.40%,10.00%,12.00%,40.70%,25.50%,29.02,27.18,0.30%,-45.02%,,1.16%,15.51%,8.22,8.20%,20.50%,7.80%,0.8,0.8,0.64,0.9,57.00%,16.90%,13.20%,2.97%,10.17%,11.93%,44.68%,78.06%,1.76%,1.12,2.54,2.35%,2.65%,6.67%,8.97%,26.91%,-0.54%,20.31%,-0.54%,90.72%,70.91,-0.48%,1.51%,2.0,512.99,0.95,95.78,1.02%,488127,11/3/2021 8:30:00 AM,105.57,7/21/2004,95.78,0.00%,69.0,93,1.4,95.78,90.22,88.19,75.65,50.22,97.13,27.0,10.22,63.0,True
79,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2448.85,33.15,20.49,1.66,4.23,4.91,9.03,24.86,,0.00%,2.26,190.80%,36.73%,24.70%,20.00%,9.50%,155.80%,60.10%,33.54,32.69,2.40%,-6.81%,89.40%,0.91%,2.96%,2.4,11.80%,15.70%,9.80%,4.2,2.7,0.09,0.09,43.20%,16.40%,13.40%,4.98%,21.01%,63.18%,97.63%,154.95%,0.56%,1.52,3.33,4.00%,4.96%,10.49%,19.11%,56.74%,-2.84%,53.08%,-2.84%,163.55%,65.78,-2.50%,0.17%,1.8,402.89,1.95,74.98,-2.33%,785052,11/3/2021 4:30:00 PM,79.33,7/11/2000,75.25,0.36%,75.0,98,1.95,74.98,68.44,63.46,48.02,28.45,77.6,20.0,5.8,64.33333333333333,True
334,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,175918.0,44.71,43.29,1.27,11.84,24.56,48.76,59.35,,0.00%,3.23,604.70%,26.65%,34.80%,35.32%,19.60%,133.20%,54.00%,1214.0,1202.52,0.50%,-18.02%,70.40%,0.98%,5.79%,1.27,38.90%,59.90%,40.90%,2.2,1.7,0.0,0.04,46.80%,19.90%,26.70%,-5.70%,0.28%,41.85%,59.51%,55.68%,0.36%,1.86,7.47,4.79%,4.93%,0.88%,1.39%,37.50%,-12.19%,22.26%,-12.19%,99.20%,50.01,-4.36%,0.51%,2.3,54648.78,1.46,144.42,-3.87%,79940231,10/26/2021 4:30:00 PM,142.5,10/15/1979,144.16,-0.18%,59.0,88,1.24,144.42,143.43,142.93,105.36,72.5,164.46,13.0,-1.33,53.333333333333336,True
345,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA,5678.52,26.26,19.66,1.36,1.75,5.52,41.45,26.04,,0.00%,4.59,-38.10%,-13.35%,-2.40%,19.35%,10.30%,181.60%,59.10%,47.74,46.88,0.30%,-20.16%,96.70%,-0.06%,2.03%,1.85,8.50%,23.70%,7.60%,1.4,1.4,0.81,0.81,33.30%,10.40%,6.80%,0.04%,9.31%,2.26%,23.76%,73.78%,-1.38%,0.27,4.37,3.15%,3.72%,3.32%,8.15%,20.20%,-6.57%,28.12%,-6.57%,78.99%,58.22,0.58%,-0.71%,1.7,512.38,1.09,120.64,-0.13%,556262,11/4/2021 4:30:00 PM,133.33,11/13/2001,120.96,0.27%,78.0,90,1.31,120.64,117.24,112.04,100.58,69.13,129.12,16.0,10.52,61.333333333333336,True
382,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,42429.96,56.32,40.03,3.08,15.31,11.03,12.53,46.4,,0.00%,2.46,-24.90%,24.78%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.42,0.10%,-89.20%,65.90%,0.95%,1.74%,1.75,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,-4.30%,14.41%,57.14%,48.08%,93.92%,-3.54%,1.19,4.25,2.35%,3.22%,1.95%,8.75%,42.20%,-6.67%,43.76%,-6.67%,111.63%,55.48,-2.52%,0.01%,2.3,2243.03,1.0,138.66,-2.52%,2245146,11/1/2021 4:30:00 PM,135.51,6/6/2014,139.27,0.44%,59.0,94,1.51,138.66,136.86,128.33,97.84,65.52,148.57,16.0,-2.27,56.333333333333336,True
456,ARCB,ArcBest Corporation,Industrials,Trucking,USA,2880.73,18.03,12.91,0.77,0.8,3.08,6.15,13.2,0.28%,4.80%,6.41,78.10%,14.81%,10.00%,23.30%,2.00%,115.20%,27.90%,25.63,25.16,0.80%,-6.45%,92.40%,-0.77%,5.55%,3.15,9.40%,19.40%,6.90%,1.5,1.5,0.18,0.25,77.00%,6.20%,4.80%,-4.05%,11.30%,31.88%,93.63%,160.28%,-3.66%,1.54,6.01,5.69%,5.14%,5.07%,8.24%,45.21%,-7.63%,32.82%,-7.63%,171.93%,55.96,2.17%,0.30%,1.9,443.36,0.85,115.46,2.48%,376347,11/2/2021 8:30:00 AM,128.56,5/13/1992,115.46,0.00%,72.0,98,2.02,115.46,110.52,107.21,79.75,43.1,125.0,24.0,11.35,64.66666666666667,True
486,ARLO,"Arlo Technologies, Inc.",Industrials,Security & Protection Services,USA,891.04,,1766.67,,2.19,7.91,5.36,,,,-0.79,-13.30%,87.50%,,,,18.30%,0.80%,83.81,83.65,3.20%,-2.12%,68.00%,-0.63%,3.02%,2.74,-18.10%,-51.90%,-78.80%,1.5,1.3,0.0,0.0,24.80%,-16.80%,-15.80%,4.13%,33.84%,70.14%,65.11%,36.77%,1.05%,1.73,0.48,4.28%,5.57%,11.08%,28.15%,54.20%,-2.57%,65.11%,-2.57%,93.40%,74.68,2.22%,-0.19%,2.4,924.32,1.21,10.6,2.02%,1122509,11/9/2021 4:30:00 PM,10.5,8/3/2018,10.6,0.00%,56.0,75,1.04,10.6,9.66,8.35,6.88,5.48,10.88,16.0,-0.94,49.0,True
685,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,42686.73,20.15,17.81,1.44,2.82,,44.41,14.76,,0.00%,103.26,32.30%,10.52%,18.50%,14.00%,6.60%,38.10%,16.30%,20.99,20.52,0.20%,-68.47%,95.00%,-0.02%,2.12%,2.74,15.90%,-126.70%,63.10%,0.8,0.2,,,52.60%,20.40%,15.10%,0.99%,11.66%,25.98%,34.27%,76.24%,-0.77%,0.88,48.94,2.31%,2.57%,3.08%,8.77%,27.52%,-1.41%,17.69%,-1.41%,87.12%,62.41,1.07%,0.64%,2.2,158.74,0.93,2080.25,1.72%,148056,12/7/2021 8:30:00 AM,2177.35,4/2/1991,2080.25,0.00%,63.0,91,1.32,2080.25,2028.19,1917.41,1634.98,1111.71,2110.0,16.0,4.67,56.666666666666664,True
822,BFS,"Saul Centers, Inc.",Real Estate,REIT - Retail,USA,1284.2,37.52,,4.94,5.37,5.02,107.92,28.16,4.02%,146.90%,1.46,-20.50%,,-2.50%,7.60%,2.00%,55.10%,2.60%,23.69,12.98,0.60%,-27.72%,46.50%,-0.09%,1.13%,4.12,2.00%,14.50%,3.80%,,,4.41,4.41,74.00%,23.90%,14.40%,3.39%,7.66%,19.26%,20.82%,73.56%,3.11%,1.08,1.35,1.76%,2.21%,5.23%,7.60%,19.17%,0.39%,20.87%,0.39%,84.38%,65.97,1.49%,0.37%,2.3,35.73,0.9,54.67,1.86%,32287,11/4/2021 4:30:00 PM,54.33,8/19/1993,54.67,0.00%,59.0,91,1.35,54.67,52.08,50.97,45.95,29.65,55.44,13.0,-0.62,54.333333333333336,True
888,BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Defensive,Discount Stores,USA,9472.09,21.83,19.53,4.2,0.58,15.63,111.83,18.51,,0.00%,3.0,124.70%,4.97%,73.10%,5.20%,4.40%,3.80%,14.30%,135.58,135.52,0.60%,-19.53%,98.50%,-3.58%,5.17%,5.59,7.60%,92.80%,34.80%,0.8,0.2,1.32,1.32,18.60%,3.70%,2.60%,-1.22%,0.74%,20.18%,38.94%,75.91%,-2.18%,0.43,2.1,2.50%,3.23%,-0.83%,1.88%,22.25%,-11.58%,16.30%,-11.58%,76.86%,50.22,-0.30%,0.03%,2.2,1254.04,0.86,65.51,-0.27%,1083784,11/18/2021 8:30:00 AM,78.21,6/28/2018,65.74,0.35%,63.0,92,1.37,65.51,65.92,64.39,53.69,37.15,74.09,18.0,19.39,57.666666666666664,True
