,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return
8,ACN,4.984212592271172,Accenture plc,314.4100036621094,311.5799865722656,124.61,0.4,124.63,0.02
3,AZO,12.11972754892988,"AutoZone, Inc.",1870.719970703125,1864.5899658203125,302.99,0.16,298.33,-1.54
2,COST,25.4650440576017,Costco Wholesale Corporation,536.6199951171875,527.4199829101562,636.63,1.19,627.63,-1.41
7,DHR,23.855196400600367,Danaher Corporation,265.510009765625,262.5199890136719,596.38,2.25,590.67,-0.96
6,DRE,0.4565532473994598,Duke Realty Corporation,54.939998626708984,53.630001068115234,11.41,0.21,11.26,-1.31
9,INTU,2.9562825898139216,Intuit Inc.,457.57000732421875,439.32000732421875,73.91,0.16,70.29,-4.9
5,IT,6.221064776093495,"Gartner, Inc.",282.19000244140625,279.8299865722656,155.53,0.55,153.91,-1.04
4,LOW,5.794914016237845,"Lowe's Companies, Inc.",223.89999389648438,222.2100067138672,144.87,0.65,144.44,-0.3
0,TSN,16.157010770393008,"Tyson Foods, Inc.",90.33999633789062,87.63999938964844,403.93,4.47,391.75,-3.02
1,WFC,1.989994000659148,Wells Fargo & Company,49.66999816894531,48.470001220703125,49.75,1.0,48.47,-2.57
