no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,253905.81,22.91,12.01,5.59,4.52,17.0,25.83,19.95,3.82%,80.30%,6.45,137.00%,-12.99%,12.20%,4.10%,17.00%,11133.30%,7.40%,1773.0,1766.31,0.10%,-22.57%,69.00%,1.10%,0.87%,1.98,7.70%,83.00%,17.90%,0.8,0.7,4.17,4.98,69.20%,31.90%,20.40%,2.60%,8.68%,26.83%,23.57%,36.31%,9.14%,0.76,3.24,2.35%,2.03%,3.50%,7.43%,22.90%,-1.72%,15.81%,-1.72%,44.80%,66.12,0.98%,-2.14%,7786.53,1.42,147.77,-1.18%,11087836,2/2/2022 8:30:00 AM,150.69,12/10/2012,147.62,-0.10%,69.0,90,1.22,147.77,143.27,137.9,120.39,102.05,150.36,11.0,1.98,56.666666666666664,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,28954.97,18.51,12.32,1.79,0.13,122.87,8.17,16.11,1.29%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.31%,65.80%,1.31%,1.30%,1.76,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,0.73%,5.82%,18.55%,18.88%,38.15%,7.25%,0.46,3.44,2.32%,2.35%,1.98%,5.74%,15.26%,-1.17%,16.38%,-1.17%,41.53%,61.1,2.31%,-1.84%,1103.6,1.12,142.53,0.43%,1241223,2/2/2022 8:30:00 AM,153.92,4/4/1995,142.53,0.00%,63.0,90,1.23,142.53,140.06,135.17,123.77,101.84,144.22,12.0,7.99,55.0,True
211,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3822.31,17.8,14.08,5.93,4.52,0.68,31.85,,1.42%,,3.48,19.20%,19.78%,5.91%,3.00%,,-80.20%,6.20%,69.3,66.34,0.20%,-13.95%,91.80%,-5.15%,2.85%,4.08,,,,,,0.27,0.27,,,,8.34%,21.58%,19.54%,22.18%,36.74%,23.45%,1.11,2.11,4.66%,2.95%,9.12%,15.89%,23.43%,-3.14%,37.89%,-3.14%,50.78%,66.98,-0.74%,-1.90%,463.97,1.57,61.97,-2.62%,727940,2/24/2022 4:30:00 PM,62.67,4/23/2004,61.97,0.00%,78.0,90,1.22,61.97,57.27,53.75,50.28,41.1,63.98,37.0,1.13,68.33333333333333,True
236,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,47699.84,5.64,9.85,0.18,0.92,0.78,21.7,9.18,2.09%,11.60%,10.86,257.40%,17.05%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,813.92,0.10%,-1.85%,93.00%,-2.61%,0.73%,1.15,1.60%,14.50%,11.70%,,,0.46,0.46,,25.70%,18.00%,-0.79%,8.54%,9.26%,11.33%,35.16%,7.70%,1.28,2.18,3.27%,3.02%,0.90%,3.80%,11.85%,-3.62%,18.11%,-3.62%,40.36%,53.08,-0.02%,-3.02%,5179.86,1.47,61.24,-3.04%,7596583,2/16/2022 4:30:00 PM,67.54,4/3/1972,60.43,-1.32%,63.0,90,1.21,61.24,60.91,59.14,54.81,44.54,63.54,14.0,10.29,55.666666666666664,True
248,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,1542.34,20.71,14.22,1.51,0.89,1.57,36.12,32.4,,0.00%,2.17,84.30%,34.64%,0.00%,13.68%,1.60%,41.30%,8.20%,35.1,33.8,0.10%,-69.25%,98.20%,2.55%,6.08%,5.95,4.70%,7.60%,4.20%,3.0,1.3,0.1,0.1,17.30%,6.00%,4.20%,4.24%,13.20%,30.83%,30.64%,6.85%,15.14%,1.65,1.48,4.32%,3.18%,7.88%,11.01%,20.99%,0.76%,30.98%,-1.21%,45.44%,66.72,1.01%,2.09%,345.37,1.64,44.94,3.12%,565024,12/21/2021 4:30:00 PM,51.0,4/24/1972,44.94,0.00%,69.0,69,0.95,44.94,41.93,40.67,37.17,30.9,45.49,18.0,13.48,52.0,True
362,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1270.23,38.33,18.69,1.53,3.08,3.09,11.08,28.54,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.86,0.60%,-33.06%,62.50%,5.00%,5.56%,7.06,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,5.72%,10.71%,39.18%,43.58%,58.52%,18.98%,0.58,1.26,4.84%,5.41%,5.96%,11.99%,31.92%,-5.07%,29.49%,-5.07%,63.87%,60.26,-3.68%,0.00%,290.36,1.5,27.71,-3.68%,435310,,28.25,6/25/2014,27.71,0.00%,53.0,95,1.41,27.71,26.23,24.85,21.05,16.91,29.19,12.0,1.95,53.333333333333336,True
368,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,789.42,4.01,10.56,,0.1,2.02,40.69,4.69,,0.00%,17.88,312.90%,-13.72%,68.70%,,2.30%,125.40%,28.20%,11.38,8.61,6.50%,-12.93%,44.00%,2.56%,2.61%,2.45,15.40%,51.30%,17.20%,1.5,0.6,0.23,1.18,3.40%,2.70%,2.30%,1.67%,21.92%,1.39%,53.31%,148.75%,17.35%,-0.48,3.16,4.92%,4.68%,4.59%,14.06%,24.49%,-6.88%,31.66%,-11.40%,173.23%,60.94,2.75%,-1.06%,91.9,1.01,71.7,1.66%,92746,2/8/2022 4:30:00 PM,93.5,3/17/2014,70.0,-2.37%,69.0,99,2.15,71.7,69.19,63.1,58.44,27.13,80.93,55.0,30.4,74.33333333333333,True
448,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1330.8,18.66,20.36,,1.16,56.58,6.15,17.53,,0.00%,2.0,195.30%,8.65%,18.20%,,0.30%,268.70%,3.80%,35.31,34.71,1.40%,-95.21%,88.97%,-1.10%,5.06%,2.87,10.50%,,14.00%,1.2,1.2,15.2,16.55,70.40%,9.30%,6.50%,0.24%,0.38%,25.22%,3.43%,82.68%,14.54%,,0.12,0.30%,0.31%,0.17%,6.19%,13.91%,-0.90%,30.67%,-6.65%,86.05%,65.9,-0.03%,0.00%,612.34,1.65,37.34,-0.03%,1010994,,38.33,2/11/2021,37.34,0.00%,75.0,98,1.63,37.34,37.28,35.3,32.83,20.07,40.0,10.0,2.65,61.0,True
467,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,7178.01,,6.72,,1.55,1.25,,4.42,,,-0.63,87.00%,2.31%,26.80%,,22.90%,,82.90%,313.98,274.96,1.70%,-23.52%,77.00%,-0.49%,8.15%,2.89,-1.40%,-3.40%,-0.60%,0.3,0.3,0.37,0.37,72.40%,-2.70%,-4.00%,5.77%,23.75%,24.69%,65.68%,133.98%,31.03%,4.02,1.28,6.64%,6.13%,11.07%,19.17%,36.97%,0.48%,43.49%,0.48%,165.39%,65.69,2.55%,-1.28%,7765.02,1.33,22.93,1.24%,10307896,2/16/2022 4:30:00 PM,29.06,10/10/2013,22.99,0.26%,63.0,99,2.09,22.93,20.81,19.36,16.8,8.64,23.13,17.0,26.73,59.666666666666664,True
477,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1796.52,6.59,6.48,,0.81,2.69,5.29,,0.84%,1.10%,18.11,184.40%,-58.64%,-17.40%,,2.30%,330.40%,123.40%,15.39,15.06,1.30%,-1.26%,,6.95%,36.17%,10.63,17.70%,79.50%,29.20%,1.7,1.4,0.5,0.83,28.50%,16.60%,15.30%,5.39%,21.27%,50.23%,53.83%,153.06%,30.72%,0.81,6.17,5.49%,5.88%,8.90%,19.93%,49.27%,-4.69%,48.88%,-4.69%,205.94%,66.32,2.45%,-0.03%,512.56,1.49,119.37,2.42%,764353,2/15/2022 8:30:00 AM,144.83,10/5/2016,118.72,-0.54%,69.0,99,2.26,119.37,110.68,100.21,80.31,39.02,125.25,7.0,21.33,58.333333333333336,True
