,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
9,GSL,3.947858472998138,"Global Ship Lease, Inc.",27.6200008392334,28.799999237060547,98.7,3.57,102.82,4.17,1.0
6,LQDA,5.673494723774054,Liquidia Corporation,7.190000057220459,7.380000114440918,141.84,19.73,145.61,2.66,2.0
0,CBT,26.0707635009311,Cabot Corporation,69.95999908447266,71.76000213623047,651.77,9.32,668.8,2.61,3.0
5,VIST,5.79764121663563,"Vista Oil & Gas, S.A.B. de C.V.",8.289999961853027,8.5,144.94,17.48,148.58,2.51,4.0
4,NGS,13.010552451893235,"Natural Gas Services Group, Inc.",12.600000381469727,12.90999984741211,325.26,25.81,333.21,2.44,5.0
10,EQT,3.500931098696462,EQT Corporation,26.459999084472656,26.979999542236328,87.52,3.31,89.3,2.03,6.0
1,ANDE,21.502172563625077,"The Andersons, Inc.",43.2400016784668,43.939998626708984,537.55,12.43,546.17,1.6,7.0
3,PXD,13.296089385474861,Pioneer Natural Resources Company,234.3000030517578,237.75,332.4,1.42,337.6,1.56,8.0
12,OAS,1.1793916821849784,Oasis Petroleum Inc.,147.8699951171875,147.69000244140625,29.48,0.2,29.54,0.2,9.0
8,HPK,3.9602731222842955,"HighPeak Energy, Inc.",23.540000915527344,22.350000381469727,99.01,4.21,94.09,-4.97,10.0
11,BCRX,2.0608317815021726,"BioCryst Pharmaceuticals, Inc.",18.139999389648438,16.84000015258789,51.52,2.84,47.83,-7.16,11.0
