,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return
10,BCRX,5.836448420528815,"BioCryst Pharmaceuticals, Inc.",16.940000534057617,16.1200008392334,145.91,8.61,138.79,-4.88
6,DAC,6.913315944684624,Danaos Corporation,93.62000274658203,95.12999725341797,172.83,1.85,175.99,1.83
2,GDEN,5.101382046277277,"Golden Entertainment, Inc.",54.779998779296875,53.5099983215332,127.53,2.33,124.68,-2.23
4,LQDA,8.383944297033926,Liquidia Corporation,7.429999828338623,6.21999979019165,209.6,28.21,175.47,-16.28
7,OAS,2.970050745589251,Oasis Petroleum Inc.,144.80999755859375,141.3000030517578,74.25,0.51,72.06,-2.95
9,OBE,20.034933146183302,Obsidian Energy Ltd.,8.15999984741211,8.039999961853027,500.87,61.38,493.5,-1.47
1,SBLK,12.388529630311291,Star Bulk Carriers Corp.,29.889999389648438,30.1299991607666,309.71,10.36,312.15,0.79
3,SBOW,4.566047663574801,"SilverBow Resources, Inc.",30.329999923706055,30.530000686645508,114.15,3.76,114.79,0.56
5,VIST,3.6800984025311596,"Vista Oil & Gas, S.A.B. de C.V.",8.65999984741211,8.420000076293945,92.0,10.62,89.42,-2.8
8,VRTV,2.35180819095227,Veritiv Corporation,117.2300033569336,118.63999938964844,58.8,0.5,59.32,0.88
0,WFRD,27.773441512333303,Weatherford International plc,35.0,35.66999816894531,694.34,19.84,707.69,1.92
