"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Gross Margin","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research",48451.79,50.52,0.48%,12.00%,5.70%,303.00,0.10%,-25.37%,91.30%,1.16%,1.53%,53.60%,20.40%,2.12%,2.90%,-3.55%,22.57%,53.05%,36.86%,0.99,2.10%,2.39%,0.89%,11.59%,-9.59%,10.84%,-9.70%,54.16%,57.98,,162.16,0.38%,1475809,175.88
"AA","Alcoa Corporation","Basic Materials","Aluminum",8803.04,11.11,0.84%,28.00%,-3.70%,187.00,0.10%,-52.85%,78.10%,-0.83%,4.51%,22.00%,12.60%,-6.85%,-9.16%,26.49%,31.99%,160.23%,106.94%,2.41,4.57%,-1.23%,-2.68%,23.53%,-17.14%,7.24%,-17.14%,175.72%,47.53,1.80,47.70,-0.46%,4345835,58.85
"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,,-0.13%,4.17%,4.34%,-1.07%,-0.64%,-2.32%,,0.69%,2.39%,4.10%,3.79%,-0.40%,8.03%,-4.84%,10.84%,64.93,,18.50,-0.32%,230017,
"AAC","Ares Acquisition Corporation","Financial","Shell Companies",1226.22,101.24,,,,124.87,,,59.30%,0.82%,0.08%,,,-0.20%,0.61%,1.55%,0.41%,,-0.51%,,0.39%,-0.09%,0.35%,0.37%,-0.41%,1.24%,-1.80%,3.37%,52.59,,9.82,0.05%,528638,
"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services",60.84,,,-36.60%,-17.20%,33.68,18.70%,0.00%,16.70%,0.08%,0.16%,42.90%,-51.50%,-12.22%,-20.49%,-24.81%,-33.79%,67.24%,63.03%,1.68,5.21%,-14.95%,-18.92%,-41.08%,-33.33%,-5.37%,-90.18%,73.21%,26.89,1.00,1.94,-5.37%,36618,30.50
"AACI","ARMADA ACQUISITION CORP I","Financial","Shell Companies",,,,,,,25.41%,,,,,,,0.20%,,,,,0.51%,,,0.33%,0.33%,0.33%,-0.20%,0.82%,-0.20%,0.82%,,,9.80,0.15%,94874,
"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,41.98%,,,,,0.20%,0.45%,,,,2.14%,,0.35%,0.70%,1.08%,1.08%,-0.20%,2.56%,-0.20%,2.56%,59.42,,10.01,0.91%,27307,
"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology",482.28,,,30.90%,,20.87,0.10%,0.00%,14.60%,34.49%,1.35%,,,7.85%,-15.45%,-26.85%,-22.51%,-11.56%,59.73%,1.42,6.03%,-10.10%,-14.69%,-11.12%,-28.83%,9.16%,-52.85%,64.06%,39.34,1.70,23.48,-7.85%,114346,47.67
"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund",,,0.31%,,,,,,,,,,,-1.06%,-2.19%,-4.92%,-0.74%,8.72%,6.40%,,0.57%,-1.11%,-0.75%,-0.69%,-5.68%,4.16%,-6.59%,15.74%,45.13,,64.79,-0.25%,3211,
"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",118.04,,,7.90%,,31.93,3.10%,2.61%,45.00%,-0.29%,0.84%,62.50%,,-3.38%,-5.34%,-0.27%,-9.27%,22.77%,-1.59%,1.76,1.60%,-3.31%,-2.50%,-5.40%,-7.92%,1.09%,-15.84%,26.53%,36.11,2.70,3.72,-0.53%,142273,4.62
"AAL","American Airlines Group Inc.","Industrials","Airlines",13198.77,,,-29.60%,-15.80%,648.56,0.10%,0.00%,55.20%,2.03%,14.91%,54.10%,-11.40%,-9.10%,-0.67%,4.81%,-14.09%,52.20%,22.95%,1.66,3.11%,-4.36%,-4.32%,-8.45%,-13.24%,4.01%,-25.68%,55.62%,40.42,3.10,19.39,-2.37%,30890171,19.08
"AAMC","Altisource Asset Management Corporation","Financial","Asset Management",45.25,0.62,,-41.60%,,2.05,1.60%,0.00%,25.90%,-3.52%,1.51%,,,-6.17%,-14.44%,67.36%,29.07%,-2.05%,-4.54%,1.11,4.99%,-10.06%,-9.31%,10.94%,-27.43%,6.58%,-29.41%,79.49%,38.73,,22.51,-8.87%,15577,
